#Classification	NS32_bracken_P.kreport
k__Bacteria	3756544
k__Bacteria|p__Firmicutes	2733535
k__Bacteria|p__Actinobacteria	39386
k__Bacteria|p__Bacteroidetes	872600
k__Bacteria|p__Verrucomicrobia	13462
k__Bacteria|p__Proteobacteria	97424
k__Bacteria|p__Spirochaetes	92
k__Bacteria|p__Candidatus_Saccharibacteria	40
k__Eukaryota	121
k__Eukaryota|k__Fungi	84
k__Eukaryota|k__Fungi|p__Ascomycota	84
k__Eukaryota|k__Viridiplantae	36
k__Eukaryota|k__Viridiplantae|p__Streptophyta	36
k__Viruses	18659
k__Viruses|k__Heunggongvirae	18659
k__Viruses|k__Heunggongvirae|p__Uroviricota	18659
