#Classification	S-7-DICUND-B_bracken_P.kreport
k__Bacteria	38551
k__Bacteria|p__Cyanobacteria	12401
k__Bacteria|p__Actinobacteria	864
k__Bacteria|p__Firmicutes	48
k__Bacteria|p__Proteobacteria	20442
k__Bacteria|p__Bacteroidetes	4384
k__Bacteria|p__Acidobacteria	386
k__Bacteria|p__Planctomycetes	21
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	1036
k__Eukaryota|k__Viridiplantae	870
k__Eukaryota|k__Viridiplantae|p__Streptophyta	870
k__Eukaryota|k__Metazoa	134
k__Eukaryota|k__Metazoa|p__Chordata	134
k__Eukaryota|k__Fungi	31
k__Eukaryota|k__Fungi|p__Ascomycota	31
