#Classification	S-15-POLPIL-G_bracken_P.kreport
k__Bacteria	26153
k__Bacteria|p__Proteobacteria	23784
k__Bacteria|p__Actinobacteria	1043
k__Bacteria|p__Firmicutes	2
k__Bacteria|p__Bacteroidetes	666
k__Bacteria|p__Acidobacteria	654
k__Bacteria|p__Planctomycetes	3
k__Eukaryota	13063
k__Eukaryota|k__Metazoa	8168
k__Eukaryota|k__Metazoa|p__Chordata	8168
k__Eukaryota|k__Fungi	48
k__Eukaryota|k__Fungi|p__Ascomycota	48
k__Eukaryota|k__Viridiplantae	4845
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4845
k__Eukaryota|p__Euglenozoa	1
k__Archaea	2
k__Archaea|p__Thaumarchaeota	2
