#Classification	GQ42_bracken_P.kreport
k__Bacteria	11170738
k__Bacteria|p__Bacteroidetes	9629783
k__Bacteria|p__Firmicutes	1499660
k__Bacteria|p__Actinobacteria	25117
k__Bacteria|p__Proteobacteria	16110
k__Bacteria|p__Spirochaetes	48
k__Bacteria|p__Verrucomicrobia	8
k__Bacteria|p__Fusobacteria	7
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Eukaryota	110
k__Eukaryota|k__Viridiplantae	110
k__Eukaryota|k__Viridiplantae|p__Streptophyta	110
k__Viruses	141
k__Viruses|k__Heunggongvirae	141
k__Viruses|k__Heunggongvirae|p__Uroviricota	141
