#Classification	GQ21_bracken_P.kreport
k__Bacteria	5427194
k__Bacteria|p__Firmicutes	4195192
k__Bacteria|p__Actinobacteria	577916
k__Bacteria|p__Tenericutes	77
k__Bacteria|p__Proteobacteria	477961
k__Bacteria|p__Bacteroidetes	101962
k__Bacteria|p__Candidatus_Saccharibacteria	39875
k__Bacteria|p__Fusobacteria	32915
k__Bacteria|p__Spirochaetes	1272
k__Bacteria|p__Synergistetes	20
k__Eukaryota	3403
k__Eukaryota|k__Metazoa	3191
k__Eukaryota|k__Metazoa|p__Chordata	3191
k__Eukaryota|k__Fungi	24
k__Eukaryota|k__Fungi|p__Basidiomycota	24
k__Eukaryota|k__Viridiplantae	185
k__Eukaryota|k__Viridiplantae|p__Streptophyta	185
k__Eukaryota|p__Apicomplexa	2
k__Viruses	22
k__Viruses|k__Heunggongvirae	22
k__Viruses|k__Heunggongvirae|p__Uroviricota	15
k__Viruses|k__Heunggongvirae|p__Peploviricota	7
