#Classification	NS58_bracken_P.kreport
k__Bacteria	2239642
k__Bacteria|p__Firmicutes	2142015
k__Bacteria|p__Actinobacteria	93171
k__Bacteria|p__Bacteroidetes	2905
k__Bacteria|p__Proteobacteria	1520
k__Bacteria|p__Fusobacteria	21
k__Bacteria|p__Candidatus_Saccharibacteria	7
k__Bacteria|p__Spirochaetes	1
k__Eukaryota	31623
k__Eukaryota|k__Fungi	31534
k__Eukaryota|k__Fungi|p__Ascomycota	31534
k__Eukaryota|k__Viridiplantae	88
k__Eukaryota|k__Viridiplantae|p__Streptophyta	88
k__Viruses	1077
k__Viruses|k__Heunggongvirae	1077
k__Viruses|k__Heunggongvirae|p__Uroviricota	1077
