#Classification	S-8-DICUND-G_bracken_G.kreport
k__Bacteria	33287
k__Bacteria|p__Cyanobacteria	14862
k__Bacteria|p__Cyanobacteria|o__Nostocales	14862
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	12368
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Nostoc	12368
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae	1338
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae|g__Anabaenopsis	268
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae|g__Dolichospermum	1069
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Rivulariaceae	810
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Rivulariaceae|g__Microchaete	810
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae	189
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae|g__Calothrix	189
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae	146
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae|g__Scytonema	146
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Hapalosiphonaceae	9
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Hapalosiphonaceae|g__Fischerella	9
k__Bacteria|p__Actinobacteria	5981
k__Bacteria|p__Actinobacteria|c__Actinomycetia	5889
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	5450
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae	5450
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__Streptacidiphilus	5445
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces	5
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	307
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	307
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	307
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	67
