feature	Abiotrophia	Acidaminococcus	Acinetobacter	Actinomyces	Acutalibacter	Adlercreutzia	Aggregatibacter	Akkermansia	Alistipes	Alkalihalobacillus	Amedibacterium	Aminipila	Anaerobutyricum	Anaerococcus	Anaerostipes	Anaerotignum	Arachnia	Bacillus	Bacteroides	Barnesiella	Berryella	Bifidobacterium	Blautia	Bradyrhizobium	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Carnobacterium	Christensenella	Cloacibacillus	Cloacibacterium	Clostridioides	Clostridium	Collinsella	Coprobacter	Coprococcus	Corynebacterium	Cruoricaptor	Cupriavidus	Cutibacterium	Cytobacillus	Desulfovibrio	Dialister	Dolosigranulum	Duncaniella	Dysosmobacter	Eggerthella	Eikenella	Enterocloster	Enterococcus	Erysipelatoclostridium	Escherichia	Eubacterium	Ezakiella	Faecalibacillus	Faecalibacterium	Faecalibaculum	Faecalicatena	Faecalitalea	Fannyhessea	Fastidiosipila	Filifactor	Finegoldia	Flavonifractor	Flintibacter	Fusobacterium	Gardnerella	Gemella	Gordonibacter	Granulicatella	Haemophilus	Helcococcus	Hungatella	Intestinibaculum	Intestinimonas	Jeotgalibaca	Klebsiella	Komagataeibacter	Lachnoanaerobaculum	Lachnoclostridium	Lachnospira	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus	Lancefieldella	Latilactobacillus	Lautropia	Lawsonella	Leptotrichia	Leuconostoc	Ligilactobacillus	Limosilactobacillus	Longibaculum	Longicatena	Mageeibacillus	Massilistercora	Mediterraneibacter	Megamonas	Megasphaera	Mesorhizobium	Methylobacterium	Methylorubrum	Minimicrobia	Mobiluncus	Mogibacterium	Monoglobus	Murdochiella	Muribaculum	Nanosynbacter	Ndongobacter	Neisseria	Niallia	Novisyntrophococcus	Odoribacter	Olsenella	Oscillibacter	Paeniclostridium	Pandoraea	Parabacteroides	Paraprevotella	Parolsenella	Parvimonas	Pauljensenia	Peptacetobacter	Peptoniphilus	Phascolarctobacterium	Phocaeicola	Phoenicibacter	Porphyromonas	Prevotella	Propionibacterium	Propionimicrobium	Pseudobutyrivibrio	Pseudomonas	Pusillimonas..ex.Kitahara.et.al..2021.	Ralstonia	Romboutsia	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Ruthenibacterium	Sarcina	Schaalia	Sodaliphilus	Solibaculum	Sphingobium	Staphylococcus	Streptobacillus	Streptococcus	Sutterella	Treponema	Trueperella	Turicibacter	Turicimonas	Veillonella	Vescimonas	Weissella
NS10	14	413	0	9	0	265	0	111	230	0	45	0	72940	0	82656	2	4	1	3518	0	276	202472	179159	0	81	2	0	759	0	184	0	15	18617	47715	386805	0	349097	0	0	0	0	0	0	0	0	0	1943	837	0	2443	6164	1381	13085	1108	0	1292	537786	0	232	17097	2	0	89	35	1277	408	21	0	22	1899	0	0	0	11	0	260	0	0	6	28	9939	4065	208	0	50	11	3160	0	4	0	0	0	0	0	0	1442	4460	32	268	211370	1	4556	0	0	0	1	0	3	51	4	0	2	0	0	0	38	12	9	1495	43	0	1510	151	8	0	0	6	14	322	10691	1	0	6660	4	7	2	351	1983	0	183	19949	0	0	17	4687	0	13	0	89	0	0	0	1466	147	15	0	19	0	2	2988	0
NS11	0	1100	0	1	2	26	0	4117	23939	0	43	0	5822	0	17495	0	0	0	488876	10	11	27958	5754	0	33	877	0	27	0	311	0	5	239	3295	9306	0	14240	0	0	0	0	0	8	9	0	22	4402	391	0	888	1747	156	24331	539	0	47	172960	0	44	2198	0	0	13	0	1041	573	0	0	27	78	17	102	0	9	0	232	0	0	7	6	276	354	109	0	0	1	714	0	0	0	0	0	0	2919	0	77	51	12	49	7458	2	116164	0	0	0	3	0	1	33	7	0	0	1	0	0	0	10462	3	956	4	0	203211	42	4	0	1	0	0	2494	491867	0	0	547657	0	0	0	6693	742	0	65	6711	4	0	58	5027	0	11	103	164	0	24	0	922	2576	9	0	26	0	3	3959	2
NS13	0	0	0	13	9	1	0	12	14656	0	92	0	297307	61	649213	0	0	35	290916	0	0	106	242454	0	14	116	0	387	0	23	0	0	177878	23356	12	1	76789	0	0	0	0	0	0	0	0	0	1349	7722	0	1232	1516	3891	0	485	0	680	296507	0	592	623	1	0	0	117	3196	6	0	0	12	68	25	13	0	185	0	38	0	0	16	17	6700	2212	3206	0	17	37	542	0	0	0	1	0	0	14	0	736	8	0	1241	17969	0	1	0	0	0	0	0	9	3401	2	0	0	3	0	0	3	41	0	759	0	0	2381	39	0	0	0	0	21	1	76058	0	1	105	0	0	0	0	78	0	0	10990	0	0	9	316	0	7	0	67	0	20	0	4778	0	27	0	623	0	15	1228	0
NS21	13	0	0	5	2	0	3	17	165	0	35	1	5816	0	210699	1	4	3	334123	1	0	2064	19732	0	30	3804	0	845	0	20	0	0	4338	17142	13	0	24577	767	0	0	0	0	4	0	0	0	3986	1659	0	3779	207	607	18989	74	0	55	736737	0	372	141	2	0	0	0	45364	0	5	0	54	0	11	281	0	5	0	37	0	95	4	3	727	500	401	0	0	0	83	0	0	4	0	0	0	6	2	149	8303	46	256	44785	0	5	0	0	0	2	0	10	20	0	0	1	0	0	0	1	32	0	6027	0	0	14132	0	0	0	0	0	3	10	564912	0	0	42	0	1	2	0	54	0	33	135776	2	0	921	3169	0	5	0	13	0	0	5	4721	12	26	0	4	0	3327	179	0
NS25	4	16384	0	2	6	0	0	11	826	0	173	0	4657	0	46358	17	5	0	473754	43	0	3244	12775	0	13	180	0	4015	0	29	0	0	2242	13546	3	0	22647	0	0	0	0	0	12	0	0	2	13490	794	0	3543	40783	1237	843	1518	0	692	773950	4	161	88	6	0	0	1	86817	35	2	0	1	32	0	18	0	30	0	655	0	0	23	14	2737	159	467	0	5	0	31	0	0	0	0	0	1	5	0	548	280	0	82	30566	0	0	0	0	0	0	0	0	58475	0	2	0	0	0	0	5	750	0	13218	4	0	20784	92	0	73	0	1	3	11737	532995	0	0	37	0	2	0	1395	3335	0	261	15879	2	0	7	1334	0	0	0	1760	0	0	0	202	1925	15	0	170	2	7	355	0
NS27	62	200	0	5	0	177	3	12247	10317	0	38	0	60302	7	388380	0	4	0	229819	5	32	227356	37398	0	3	21	0	1495	0	331	0	0	1243	19922	15808	0	34509	0	897	0	0	0	0	6653	0	0	10495	316	0	641	189	2015	0	745	0	112	787525	0	329	29322	0	0	0	1	696	2	2	0	29	137	18	1544	0	0	0	140	0	0	12	23	203	1672	1055	7	3	593	340	0	0	0	0	3	1	1	0	101	265	38	55	19855	0	89	0	0	0	0	0	12	49	2	0	0	0	0	0	4	3	440	406	0	0	23370	624	1	59	0	0	4	6	181277	3	2	22	0	1	0	0	1268	0	948	48984	1	0	19857	252	291	1	0	66	0	55	0	34836	1235	14	0	29	1	359	5118	0
NS28	0	248	0	6	5	54	4	132909	29990	0	280	0	29347	15	109282	0	0	0	110154	25	4	20277	12955	0	7	384	2	45937	0	100	2	0	1960	10135	1205	4	93679	70	239	0	0	30	0	23577	50	0	5496	105	0	332	1430	193	16061	365	14	1156	726329	0	90	381	1	1	0	3	610	8	199	0	0	4	41	922	0	0	3	1210	0	0	5	35	581	6715	3515	56	0	43	1081	0	0	0	6	0	0	46	0	1746	425	56	75	9197	0	103	0	0	0	0	13	7	63	12	0	0	5	0	0	2	4972	473	2733	0	0	78242	632	0	33	0	0	65	5296	21262	0	68	602003	0	2	0	16	2643	0	49	78152	0	0	746	670	82	363	154	148	0	0	0	4816	14398	13	1	157	0	320	5045	0
NS29	0	2123	0	34	3	0	0	19	5221	7	5574	0	1628	11	164634	0	5	1886	43582	0	0	491425	70563	0	4	0	0	2166	0	949	0	0	16634	140393	1589	1	12022	25	0	0	0	44	0	0	0	0	5982	46412	0	29447	7799	37218	3424	12764	1	289	328720	0	808	3039	0	0	0	11	8700	0	21	0	22	1775	17	6	0	3743	0	796	3	0	0	7	72320	3601	111571	4	2	3	3814	0	9	0	0	0	30	83	17	908	215202	0	398	61661	27	6	0	0	0	4	3	163	28197	1	0	3	0	0	0	8	2	9	14158	2	0	638	54	0	1432	0	7	0	1	88094	0	1	189	0	3	0	0	2112	0	7726	38107	7	7	91	112496	14	58	0	2770	0	0	0	6499	0	9	0	446	0	33	718	0
NS30	14	570	75	45	0	2	0	55	965	5	1589	0	66132	15	134252	0	20	35	45313	0	0	114617	118533	0	0	4	0	536	0	23	0	0	22654	76625	1320	0	37266	0	0	0	0	0	1	0	5	0	1171	6818	0	5423	18068	5956	150599	4647	61	51	503736	0	118	544	3	0	44	6	315	10	2	0	56	578	58	0	0	18	530	17	0	0	47	13	1447	1951	5588	10	0	9	275	1	0	0	0	0	1	366	0	181	14677	11	481	497017	3	6	3	5	0	183	0	13	2243	1	0	23	0	0	0	0	5	2	1654	0	0	294	5	0	107	0	22	10	1	8430	2	0	367	0	0	0	0	119	0	560	361533	4	0	127	259	9	16	0	186	0	0	0	6251	0	65	0	74	43	72	1118	18
NS32	0	0	0	11	23	95	0	7929	19901	0	100	0	29094	11	14533	1	1	5	179069	9	2	18289	16956	0	9	5708	0	33494	0	342	0	0	769	52819	3928	57	525564	10	0	0	0	0	330	0	0	0	14925	91	0	1736	6034	350	20050	608	1	212	812203	0	194	500	0	0	3	0	847	3	0	404	17	320	0	13	0	10	2	867	0	0	48	5	713	2983	1262	0	0	1	49	0	3	0	0	0	5	9449	7	265	60	116	237	36168	2	0	0	0	0	17	1	9	28	3	0	0	0	0	0	4	6817	1	7415	0	0	17849	0	1	7	1	2	0	1923	86138	0	17	200726	0	0	2	0	2318	0	140	50360	1	0	12161	3590	0	25	49	1425	0	0	0	2370	4367	24	0	93	1	9	7651	0
