#Classification	SRR20002426_bracken_P.kreport
k__Bacteria	386717
k__Bacteria|p__Proteobacteria	354591
k__Bacteria|p__Actinobacteria	27017
k__Bacteria|p__Firmicutes	4771
k__Bacteria|p__Deinococcus-Thermus	181
k__Bacteria|p__Tenericutes	4
k__Bacteria|p__Cyanobacteria	1
k__Bacteria|p__Bacteroidetes	94
k__Bacteria|p__Verrucomicrobia	47
k__Bacteria|p__Chlamydiae	7
k__Bacteria|p__Spirochaetes	1
k__Bacteria|p__Fusobacteria	1
k__Eukaryota	3723
k__Eukaryota|k__Metazoa	2782
k__Eukaryota|k__Metazoa|p__Chordata	2782
k__Eukaryota|k__Fungi	754
k__Eukaryota|k__Fungi|p__Basidiomycota	746
k__Eukaryota|k__Fungi|p__Ascomycota	7
k__Eukaryota|k__Viridiplantae	187
k__Eukaryota|k__Viridiplantae|p__Streptophyta	187
k__Viruses	34
k__Viruses|k__Heunggongvirae	34
k__Viruses|k__Heunggongvirae|p__Uroviricota	34
