#Classification	S-1-POLCOM-G_bracken_O.kreport
k__Bacteria	108903
k__Bacteria|p__Proteobacteria	89962
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	45969
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	18212
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	18314
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	9354
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	63
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	23
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	31292
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	31267
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	24
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	12643
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	10893
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	1264
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	479
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	56
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	56
k__Bacteria|p__Proteobacteria|c__Oligoflexia	2
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	2
k__Bacteria|p__Actinobacteria	13703
k__Bacteria|p__Actinobacteria|c__Actinomycetia	12808
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	6709
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2164
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	916
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	2021
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	233
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	156
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	375
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	191
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	38
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	711
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	711
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	180
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	180
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	3
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	3
k__Bacteria|p__Cyanobacteria	176
k__Bacteria|p__Cyanobacteria|o__Nostocales	176
k__Bacteria|p__Firmicutes	3
