#Classification	S-8-POLCOM-G_bracken_P.kreport
k__Bacteria	790188
k__Bacteria|p__Proteobacteria	605956
k__Bacteria|p__Actinobacteria	141885
k__Bacteria|p__Cyanobacteria	1783
k__Bacteria|p__Firmicutes	7076
k__Bacteria|p__Armatimonadetes	10
k__Bacteria|p__Deinococcus-Thermus	10
k__Bacteria|p__Chloroflexi	9
k__Bacteria|p__Tenericutes	3
k__Bacteria|p__Acidobacteria	20131
k__Bacteria|p__Bacteroidetes	11347
k__Bacteria|p__Gemmatimonadetes	22
k__Bacteria|p__Planctomycetes	1346
k__Bacteria|p__Verrucomicrobia	217
k__Bacteria|p__Chlamydiae	49
k__Bacteria|p__Candidatus_Saccharibacteria	14
k__Bacteria|p__Spirochaetes	323
k__Bacteria|p__Nitrospirae	1
k__Eukaryota	47139
k__Eukaryota|k__Viridiplantae	40704
k__Eukaryota|k__Viridiplantae|p__Streptophyta	40647
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	56
k__Eukaryota|k__Metazoa	4821
k__Eukaryota|k__Metazoa|p__Chordata	4821
k__Eukaryota|k__Fungi	1602
k__Eukaryota|k__Fungi|p__Ascomycota	1289
k__Eukaryota|k__Fungi|p__Basidiomycota	312
k__Eukaryota|p__Apicomplexa	7
k__Eukaryota|p__Cercozoa	2
k__Eukaryota|p__Evosea	1
k__Archaea	13
k__Archaea|p__Euryarchaeota	13
k__Viruses	6
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Uroviricota	4
k__Viruses|k__Bamfordvirae	2
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	2
