#Classification	SRR20002484_bracken_O.kreport
k__Bacteria	185264
k__Bacteria|p__Proteobacteria	154069
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	144999
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	128010
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	16219
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	408
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	161
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	147
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	25
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	6
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	11
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	5640
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	5608
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	28
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	3186
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	1895
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	629
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	531
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	71
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	59
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	241
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	241
k__Bacteria|p__Actinobacteria	14579
k__Bacteria|p__Actinobacteria|c__Actinomycetia	14498
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	12248
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	1188
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	750
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	167
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	122
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	13
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	4
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	1
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	81
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	73
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	7
k__Bacteria|p__Firmicutes	13837
k__Bacteria|p__Firmicutes|c__Bacilli	13257
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	12361
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	896
k__Bacteria|p__Firmicutes|c__Clostridia	545
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	545
k__Bacteria|p__Firmicutes|c__Negativicutes	34
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	34
k__Bacteria|p__Deinococcus-Thermus	2496
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	2496
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales	2476
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales	20
k__Bacteria|p__Bacteroidetes	274
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	255
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	255
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	19
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	19
k__Bacteria|p__Spirochaetes	2
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	1
k__Bacteria|p__Aquificae	1
k__Bacteria|p__Aquificae|c__Aquificae	1
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales	1
