feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Alcaligenaceae	Group	eczema	-0.00797145706779685	0.0111795799795693	69	13	0.478298875791584	0.797164792985973
Comamonadaceae	Group	eczema	-0.00236153573057176	0.00276167835463301	69	12	0.395538394211013	0.797164792985973
Corynebacteriaceae	Group	eczema	0.0630299752493043	0.0882136385880973	69	16	0.477390879170911	0.797164792985973
Enterobacteriaceae	Group	eczema	-0.0949153866981865	0.0548240062765776	69	9	0.088005613911299	0.797164792985973
FGB796	Group	eczema	-0.0127894040107288	0.013068777204151	69	15	0.331286835637799	0.797164792985973
Micrococcaceae	Group	eczema	0.0262851003829517	0.0167216767094742	69	24	0.12068048172307	0.797164792985973
Oxalobacteraceae	Group	eczema	0.00317546345143525	0.00366079641281692	69	21	0.388805786257243	0.797164792985973
Prevotellaceae	Group	eczema	0.0446595069045869	0.039237473651677	69	8	0.259096859790689	0.797164792985973
Propionibacteriaceae	Group	eczema	0.0468359720720917	0.0502137271792526	69	62	0.354307296366657	0.797164792985973
Staphylococcaceae	Group	eczema	-0.10656625579333	0.110185609036658	69	34	0.33694619263876	0.797164792985973
Streptococcaceae	Group	eczema	-0.0264633038540707	0.034077643444428	69	19	0.440151910506214	0.797164792985973
Thermaceae	Group	eczema	-0.0264444720784874	0.0244534391681606	69	19	0.283386790249805	0.797164792985973
Alicyclobacillaceae	Group	eczema	-0.0017462255109923	0.00291453953662477	69	10	0.551098227879535	0.820919686775204
Pseudomonadaceae	Group	eczema	0.0557783363758846	0.0988994501781895	69	68	0.574643780742643	0.820919686775204
Bacillaceae	Group	eczema	-0.000315905821241264	0.00528056900813403	69	15	0.952473736055952	0.952473736055952
Burkholderiaceae	Group	eczema	-0.00178024400798412	0.0157886781743063	69	52	0.910562374114451	0.952473736055952
Burkholderiales.unclassified	Group	eczema	-0.00188065246519163	0.0246484402045773	69	63	0.939408564908804	0.952473736055952
Lactobacillaceae	Group	eczema	-0.00358344207685857	0.0102002714947433	69	9	0.726459287718188	0.952473736055952
Lawsonellaceae	Group	eczema	0.00127866572713344	0.0100861557220871	69	17	0.899498702250771	0.952473736055952
Moraxellaceae	Group	eczema	0.0042774264234986	0.0151734267129867	69	48	0.7788872225132	0.952473736055952
