#Classification	SRR5091565_bracken_P.kreport
k__Bacteria	2541241
k__Bacteria|p__Bacteroidetes	2140650
k__Bacteria|p__Firmicutes	354110
k__Bacteria|p__Actinobacteria	1701
k__Bacteria|p__Proteobacteria	44611
k__Bacteria|p__Verrucomicrobia	144
k__Bacteria|p__Spirochaetes	12
k__Bacteria|p__Fusobacteria	3
k__Bacteria|p__Synergistetes	6
k__Archaea	26
k__Archaea|p__Euryarchaeota	26
k__Eukaryota	16
k__Eukaryota|k__Metazoa	14
k__Eukaryota|k__Metazoa|p__Chordata	14
k__Eukaryota|k__Viridiplantae	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2
k__Viruses	352
k__Viruses|k__Heunggongvirae	352
k__Viruses|k__Heunggongvirae|p__Uroviricota	352
