#Classification	S-11-POLPIL-G_bracken_O.kreport
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	7
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	4
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	1
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	1249
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	1147
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	101
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	628
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	628
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	225
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	36
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	188
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	104
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	104
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	21
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	12
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egibacterales	6
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egicoccales	2
k__Bacteria|p__Cyanobacteria	17224
k__Bacteria|p__Cyanobacteria|o__Nostocales	15821
k__Bacteria|p__Cyanobacteria|o__Chroococcales	416
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	81
k__Bacteria|p__Cyanobacteria|o__Synechococcales	201
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	661
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	20
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales	12
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	8
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	8
k__Bacteria|p__Cyanobacteria|o__Gloeomargaritales	1
k__Bacteria|p__Firmicutes	3226
k__Bacteria|p__Firmicutes|c__Bacilli	2836
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2277
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	558
k__Bacteria|p__Firmicutes|c__Clostridia	277
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	269
k__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales	3
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	2
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	2
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	97
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	97
k__Bacteria|p__Firmicutes|c__Negativicutes	14
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	3
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	10
k__Bacteria|p__Firmicutes|c__Limnochordia	1
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	1
k__Bacteria|p__Chloroflexi	229
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	157
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales	157
k__Bacteria|p__Chloroflexi|c__Chloroflexia	59
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	59
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	4
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales	2
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales	2
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	3
k__Bacteria|p__Chloroflexi|c__Ardenticatenia|o__Ardenticatenales	3
k__Bacteria|p__Chloroflexi|c__Tepidiformia	2
k__Bacteria|p__Chloroflexi|c__Tepidiformia|o__Tepidiformales	2
k__Bacteria|p__Chloroflexi|c__Anaerolineae	2
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales	2
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	1
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	1
k__Bacteria|p__Deinococcus-Thermus	89
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	89
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales	73
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales	11
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Trueperales	3
k__Bacteria|p__Armatimonadetes	65
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	50
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales	50
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	15
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales	15
k__Bacteria|p__Tenericutes	19
k__Bacteria|p__Tenericutes|c__Mollicutes	19
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales	7
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	3
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	8
k__Bacteria|p__Acidobacteria	26970
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	26930
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	26842
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	88
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	39
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|o__Vicinamibacterales	39
k__Bacteria|p__Bacteroidetes	9733
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	6501
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	6501
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1855
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	1855
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	739
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	739
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	364
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	361
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales	3
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	241
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	241
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis	28
k__Bacteria|p__Bacteroidetes|c__Saprospiria	2
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales	2
k__Bacteria|p__Rhodothermaeota	36
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	36
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia|o__Rhodothermales	36
k__Bacteria|p__Chlorobi	7
k__Bacteria|p__Chlorobi|c__Chlorobia	7
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	7
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	1
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales	1
k__Bacteria|p__Gemmatimonadetes	95
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	95
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	95
k__Bacteria|p__Planctomycetes	4634
k__Bacteria|p__Planctomycetes|c__Planctomycetia	4495
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	1838
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	1790
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	727
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales	138
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	139
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Tepidisphaerales	102
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Phycisphaerales	32
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Sedimentisphaerales	4
k__Bacteria|p__Verrucomicrobia	574
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	309
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	309
k__Bacteria|p__Verrucomicrobia|c__Opitutae	262
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	165
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales	96
k__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae	3
k__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae|o__Methylacidiphilales	3
k__Bacteria|p__Kiritimatiellaeota	188
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae	186
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae|o__Kiritimatiellales	186
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia	2
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia|o__Tichowtungiales	2
k__Bacteria|p__Chlamydiae	18
k__Bacteria|p__Chlamydiae|c__Chlamydiia	18
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	17
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales	1
k__Bacteria|p__Spirochaetes	150
k__Bacteria|p__Spirochaetes|c__Spirochaetia	150
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	129
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	20
k__Bacteria|p__Chrysiogenetes	84
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	84
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales	84
k__Bacteria|p__Fusobacteria	29
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	29
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	29
k__Bacteria|p__Thermotogae	13
k__Bacteria|p__Thermotogae|c__Thermotogae	13
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales	9
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales	4
k__Bacteria|p__Nitrospirae	12
k__Bacteria|p__Nitrospirae|c__Nitrospira	10
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	10
k__Bacteria|p__Nitrospirae|c__Thermodesulfovibrionia	2
k__Bacteria|p__Nitrospirae|c__Thermodesulfovibrionia|o__Thermodesulfovibrionales	2
k__Bacteria|p__Candidatus_Absconditabacteria	1
k__Bacteria|p__Candidatus_Absconditabacteria|o__Candidatus_Absconditabacterales	1
k__Bacteria|c__Candidatus_Babeliae	1
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales	1
k__Bacteria|p__Synergistetes	3
k__Bacteria|p__Synergistetes|c__Synergistia	3
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	3
k__Bacteria|p__Deferribacteres	1
k__Bacteria|p__Deferribacteres|c__Deferribacteres	1
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	1
k__Bacteria|p__Aquificae	1
k__Bacteria|p__Aquificae|c__Aquificae	1
k__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales	1
k__Eukaryota	211728
k__Eukaryota|k__Viridiplantae	178569
k__Eukaryota|k__Viridiplantae|p__Streptophyta	178246
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	108636
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	108636
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	69610
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales	15819
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales	9889
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales	428
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales	142
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales	57
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Celastrales	50
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malvales	403
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales	2293
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Sapindales	178
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Myrtales	5458
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Vitales	115
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales	5907
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales	3047
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Gentianales	46
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales	2338
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Apiales	43
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales	89
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	9198
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Zingiberales	3384
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Arecales	9342
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asparagales	105
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Dioscoreales	933
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Proteales	141
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Ranunculales	113
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Nymphaeales	86
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	323
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae	283
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales	283
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae	40
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales	40
k__Eukaryota|k__Metazoa	25931
k__Eukaryota|k__Metazoa|p__Chordata	25931
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	25931
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	25931
k__Eukaryota|k__Fungi	7102
k__Eukaryota|k__Fungi|p__Ascomycota	6776
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	2170
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	1090
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales	423
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	580
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales	75
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	1151
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	1151
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	1748
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	1748
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	1235
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales	1235
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	463
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	463
k__Eukaryota|k__Fungi|p__Ascomycota|c__Schizosaccharomycetes	8
k__Eukaryota|k__Fungi|p__Ascomycota|c__Schizosaccharomycetes|o__Schizosaccharomycetales	8
k__Eukaryota|k__Fungi|p__Basidiomycota	325
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	210
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales	165
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales	45
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	16
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales	16
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	93
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales	93
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	4
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	4
k__Eukaryota|p__Apicomplexa	54
k__Eukaryota|p__Apicomplexa|c__Conoidasida	27
