#Classification	GQ6_bracken_O.kreport
k__Bacteria	10674651
k__Bacteria|p__Firmicutes	3957904
k__Bacteria|p__Firmicutes|c__Bacilli	3092547
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2725591
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	366955
k__Bacteria|p__Firmicutes|c__Negativicutes	841971
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	813219
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	28752
k__Bacteria|p__Firmicutes|c__Clostridia	22391
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	22391
k__Bacteria|p__Firmicutes|c__Tissierellia	922
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	922
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	71
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	71
k__Bacteria|p__Actinobacteria	847705
k__Bacteria|p__Actinobacteria|c__Actinomycetia	846126
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	779801
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	46705
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	12930
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	6619
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	68
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1578
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	1562
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	15
k__Bacteria|p__Tenericutes	247
k__Bacteria|p__Tenericutes|c__Mollicutes	247
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	245
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	1
k__Bacteria|p__Chloroflexi	9
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	9
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	9
k__Bacteria|p__Bacteroidetes	3148372
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	3072631
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	3072631
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	75738
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	75738
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	2
k__Bacteria|p__Proteobacteria	2326531
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1523171
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1465420
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	57750
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	725074
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	722341
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	2459
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	84
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	147
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	12
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	22
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	1
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	78238
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	78238
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	45
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	17
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	10
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	8
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	2
k__Bacteria|p__Fusobacteria	366444
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	366444
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	366444
k__Bacteria|p__Candidatus_Saccharibacteria	23689
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	23689
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	23689
k__Bacteria|p__Spirochaetes	3746
k__Bacteria|p__Spirochaetes|c__Spirochaetia	3746
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	3746
k__Bacteria|p__Verrucomicrobia	2
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2
k__Eukaryota	5657
k__Eukaryota|k__Metazoa	4939
k__Eukaryota|k__Metazoa|p__Chordata	4939
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	4939
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	4939
k__Eukaryota|k__Fungi	325
k__Eukaryota|k__Fungi|p__Basidiomycota	325
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	325
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	325
k__Eukaryota|p__Apicomplexa	270
k__Eukaryota|p__Apicomplexa|c__Conoidasida	270
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida	270
k__Eukaryota|k__Viridiplantae	121
k__Eukaryota|k__Viridiplantae|p__Streptophyta	121
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	121
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	67
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales	46
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Apiales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Sapindales	2
k__Viruses	378
k__Viruses|k__Heunggongvirae	378
k__Viruses|k__Heunggongvirae|p__Uroviricota	347
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	347
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes|o__Caudovirales	347
k__Viruses|k__Heunggongvirae|p__Peploviricota	31
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	31
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes|o__Herpesvirales	31
