#Classification	GQ25_bracken_P.kreport
k__Bacteria	2164052
k__Bacteria|p__Firmicutes	932076
k__Bacteria|p__Actinobacteria	251332
k__Bacteria|p__Tenericutes	39
k__Bacteria|p__Deinococcus-Thermus	5
k__Bacteria|p__Bacteroidetes	569974
k__Bacteria|p__Proteobacteria	355148
k__Bacteria|p__Fusobacteria	47895
k__Bacteria|p__Candidatus_Saccharibacteria	4859
k__Bacteria|p__Spirochaetes	2719
k__Bacteria|p__Synergistetes	1
k__Eukaryota	8214
k__Eukaryota|k__Metazoa	6453
k__Eukaryota|k__Metazoa|p__Chordata	6453
k__Eukaryota|k__Fungi	103
k__Eukaryota|k__Fungi|p__Basidiomycota	84
k__Eukaryota|k__Fungi|p__Ascomycota	19
k__Eukaryota|k__Viridiplantae	1627
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1626
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Eukaryota|p__Apicomplexa	31
k__Viruses	863
k__Viruses|k__Heunggongvirae	863
k__Viruses|k__Heunggongvirae|p__Uroviricota	859
k__Viruses|k__Heunggongvirae|p__Peploviricota	4
