#Classification	SRR5091620_bracken_P.kreport
k__Bacteria	4203183
k__Bacteria|p__Bacteroidetes	3395953
k__Bacteria|p__Firmicutes	695460
k__Bacteria|p__Actinobacteria	32985
k__Bacteria|p__Deinococcus-Thermus	1
k__Bacteria|p__Proteobacteria	78502
k__Bacteria|p__Fusobacteria	275
k__Bacteria|p__Spirochaetes	2
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	31
k__Eukaryota|k__Viridiplantae	21
k__Eukaryota|k__Viridiplantae|p__Streptophyta	21
k__Eukaryota|k__Metazoa	10
k__Eukaryota|k__Metazoa|p__Chordata	10
k__Viruses	126
k__Viruses|k__Heunggongvirae	126
k__Viruses|k__Heunggongvirae|p__Uroviricota	126
