#Classification	W-1-POLJUN-G_bracken_O.kreport
k__Bacteria	1085
k__Bacteria|p__Proteobacteria	701
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	660
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	439
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	220
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	35
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	35
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	6
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	6
k__Bacteria|p__Actinobacteria	333
k__Bacteria|p__Actinobacteria|c__Actinomycetia	333
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	332
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	1
k__Bacteria|p__Acidobacteria	47
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	47
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	47
k__Bacteria|p__Bacteroidetes	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	2
k__Eukaryota	10
k__Eukaryota|k__Metazoa	10
k__Eukaryota|k__Metazoa|p__Chordata	10
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	10
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	10
