# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-23-POLPIL-B/S-23-POLPIL-B_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-23-POLPIL-B/S-23-POLPIL-B_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-23-POLPIL-B/S-23-POLPIL-B_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-23-POLPIL-B/S-23-POLPIL-B_unmatched_2.fastq.gz -n S-23-POLPIL-B -t 24 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	S-23-POLPIL-B
ref_mOTU_v31_00781	Mesorhizobium loti	381	1
ref_mOTU_v31_01131	Methylobacterium brachiatum [Methylobacterium sp. GXF4/Methylobacterium sp. ARG-1/Methylobacterium brachiatum]	269660	1
ref_mOTU_v31_01174	Bradyrhizobium sp. [Bradyrhizobium sp. LTSP849/Bradyrhizobium sp. LTSP857]	NA	1
ref_mOTU_v31_02530	Amycolatopsis sp. [Amycolatopsis keratiniphila/Amycolatopsis sp. MJM2582/Amycolatopsis sp. CB00013/Amycolatopsis japonica/Amycolatopsis decaplanina/Amycolatopsis orientalis/Amycolatopsis lurida/Amycolatopsis azurea/Amycolatopsis alba]	NA	1
ref_mOTU_v31_03448	Caballeronia udeis	1232866	1
ref_mOTU_v31_03450	Caballeronia sordidicola [Burkholderia sp. PAMC 26561/Burkholderia sp. PAMC 28687/Caballeronia sordidicola]	196367	4
ref_mOTU_v31_05354	Mycobacterium sp. [Mycobacterium sp. Root135/Mycobacterium sp. AT1]	NA	1
ref_mOTU_v31_10367	Pseudonocardia sp. 73-21	1895809	3
ref_mOTU_v31_10380	Solirubrobacterales bacterium 70-9	1895833	1
ref_mOTU_v31_11307	Catenulispora acidiphila	304895	3
ref_mOTU_v31_11649	Nostoc punctiforme	272131	4
ref_mOTU_v31_11779	Sphingomonas sp. PR090111-T3T-6A	685778	1
ext_mOTU_v31_29927	Acidobacteriaceae species incertae sedis	NA	4
ext_mOTU_v31_32744	Thermoleophilia species incertae sedis	NA	7
unassigned	unassigned	NA	30
