#Classification	SRR5091537_bracken_P.kreport
k__Bacteria	5245565
k__Bacteria|p__Bacteroidetes	4332736
k__Bacteria|p__Firmicutes	769999
k__Bacteria|p__Actinobacteria	1312
k__Bacteria|p__Proteobacteria	85245
k__Bacteria|p__Verrucomicrobia	56267
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Bacteria|p__Spirochaetes	1
k__Bacteria|p__Fusobacteria	1
k__Eukaryota	34
k__Eukaryota|k__Fungi	24
k__Eukaryota|k__Fungi|p__Ascomycota	24
k__Eukaryota|k__Viridiplantae	9
k__Eukaryota|k__Viridiplantae|p__Streptophyta	9
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	26
k__Viruses|k__Heunggongvirae	26
k__Viruses|k__Heunggongvirae|p__Uroviricota	26
