#Classification	SRR20002418_bracken_P.kreport
k__Bacteria	501614
k__Bacteria|p__Proteobacteria	339721
k__Bacteria|p__Actinobacteria	78732
k__Bacteria|p__Firmicutes	80619
k__Bacteria|p__Deinococcus-Thermus	1852
k__Bacteria|p__Cyanobacteria	1
k__Bacteria|p__Bacteroidetes	631
k__Bacteria|p__Verrucomicrobia	44
k__Bacteria|p__Chlamydiae	7
k__Bacteria|p__Fusobacteria	3
k__Bacteria|p__Spirochaetes	1
k__Bacteria|p__Nitrospirae	1
k__Eukaryota	6333
k__Eukaryota|k__Metazoa	3614
k__Eukaryota|k__Metazoa|p__Chordata	3614
k__Eukaryota|k__Fungi	2550
k__Eukaryota|k__Fungi|p__Basidiomycota	2286
k__Eukaryota|k__Fungi|p__Ascomycota	264
k__Eukaryota|k__Viridiplantae	166
k__Eukaryota|k__Viridiplantae|p__Streptophyta	166
k__Eukaryota|p__Euglenozoa	2
k__Archaea	55
k__Archaea|p__Euryarchaeota	55
k__Viruses	38
k__Viruses|k__Heunggongvirae	38
k__Viruses|k__Heunggongvirae|p__Uroviricota	38
