#Classification	W-2-POLJUN-G_bracken_P.kreport
k__Bacteria	228756
k__Bacteria|p__Proteobacteria	166436
k__Bacteria|p__Actinobacteria	30653
k__Bacteria|p__Cyanobacteria	18
k__Bacteria|p__Firmicutes	2339
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Deinococcus-Thermus	1
k__Bacteria|p__Bacteroidetes	16366
k__Bacteria|p__Acidobacteria	12893
k__Bacteria|p__Planctomycetes	30
k__Bacteria|p__Verrucomicrobia	13
k__Bacteria|p__Chlamydiae	2
k__Eukaryota	66347
k__Eukaryota|k__Viridiplantae	64087
k__Eukaryota|k__Viridiplantae|p__Streptophyta	64076
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	10
k__Eukaryota|k__Metazoa	2019
k__Eukaryota|k__Metazoa|p__Chordata	2019
k__Eukaryota|k__Fungi	240
k__Eukaryota|k__Fungi|p__Ascomycota	87
k__Eukaryota|k__Fungi|p__Basidiomycota	153
