#Classification	S-5-DICUND-B_bracken_O.kreport
k__Bacteria	1184145
k__Bacteria|p__Proteobacteria	681038
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	289647
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	168523
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	42956
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	51704
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	19372
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	6202
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	270
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	40
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	344
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	27
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	26
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	113
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	61
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	195931
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	111845
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	17670
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	47181
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2649
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	3217
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	5444
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	592
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	236
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	3087
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	377
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	216
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	89
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	431
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2107
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	63
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	413
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	186
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	35
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	34
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	50
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	185474
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	171417
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	7743
