#Classification	GQ16_bracken_P.kreport
k__Bacteria	357547
k__Bacteria|p__Firmicutes	145403
k__Bacteria|p__Actinobacteria	104218
k__Bacteria|p__Tenericutes	48
k__Bacteria|p__Proteobacteria	95408
k__Bacteria|p__Bacteroidetes	9909
k__Bacteria|p__Fusobacteria	2462
k__Bacteria|p__Candidatus_Saccharibacteria	35
k__Bacteria|p__Spirochaetes	55
k__Bacteria|p__Synergistetes	4
k__Eukaryota	2217
k__Eukaryota|k__Metazoa	2184
k__Eukaryota|k__Metazoa|p__Chordata	2184
k__Eukaryota|k__Viridiplantae	33
k__Eukaryota|k__Viridiplantae|p__Streptophyta	33
