#Classification	SRR20002390_bracken_P.kreport
k__Bacteria	17411886
k__Bacteria|p__Proteobacteria	15950843
k__Bacteria|p__Actinobacteria	970714
k__Bacteria|p__Firmicutes	439063
k__Bacteria|p__Deinococcus-Thermus	26
k__Bacteria|p__Bacteroidetes	51238
k__Eukaryota	329
k__Eukaryota|k__Fungi	216
k__Eukaryota|k__Fungi|p__Basidiomycota	213
k__Eukaryota|k__Fungi|p__Ascomycota	3
k__Eukaryota|k__Metazoa	73
k__Eukaryota|k__Metazoa|p__Chordata	73
k__Eukaryota|k__Viridiplantae	35
k__Eukaryota|k__Viridiplantae|p__Streptophyta	35
k__Eukaryota|p__Apicomplexa	4
k__Viruses	519
k__Viruses|k__Heunggongvirae	519
k__Viruses|k__Heunggongvirae|p__Uroviricota	519
