feature	Absiella	Acidaminococcus	Actinobacteria.gen...Trueperella.Streptomyces.	Actinobacteria.gen...Xylanimonas.Schaalia.Sanguibacter.	Actinomyces	Adlercreutzia	Akkermansia	Alistipes	Anaerococcus	Anaerofustis	Anaeromassilibacillus	Anaerostipes	Anaerotignum	Anaerotruncus	Atopobiaceae.gen..incertae.sedis	Atopobium	Bacteria.gen..incertae.sedis	Bacteroidales.gen..incertae.sedis	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Bittarella	Blautia	Bradyrhizobium	Butyricicoccus	Campylobacter	Catabacter	Christensenella	Clostridia.gen..incertae.sedis	Clostridiaceae.gen..incertae.sedis	Clostridiales.Family.XIII..Incertae.Sedis.gen..incertae.sedis	Clostridiales.gen...Clostridium.Eubacterium.	Clostridiales.gen...Clostridium.Flavonifractor.	Clostridiales.gen...Ruminococcus.Blautia.	Clostridiales.gen...Ruminococcus.Clostridium.Blautia.	Clostridiales.gen...Ruminococcus.Clostridium.	Clostridiales.gen...Ruminococcus.Eubacterium.	Clostridiales.gen...Sellimonas.Drancourtella.	Clostridiales.gen..incertae.sedis	Clostridium	Collinsella	Coprobacillus	Coprococcus	Coriobacteriia.gen..incertae.sedis	Corynebacterium	Desulfovibrio	Dialister	Dielma	Dorea	Eggerthella	Eggerthellaceae.gen..incertae.sedis	Eisenbergiella	Erysipelatoclostridium	Erysipelotrichaceae.gen..incertae.sedis	Escherichia	Eubacterium	Faecalibacterium	Faecalicatena	Faecalitalea	Fenollaria	Finegoldia	Firmicutes.gen...Carnobacterium.Phascolarctobacterium.	Firmicutes.gen...Catenibacterium.Roseburia.	Firmicutes.gen...Clostridium.Eubacterium.	Firmicutes.gen...Coprobacillus.Clostridium.	Firmicutes.gen...Erysipelatoclostridium.Clostridioides.	Firmicutes.gen...Lactobacillus.Lachnospira.	Firmicutes.gen..incertae.sedis	Flavonifractor	Fusicatenibacter	Gemella	Gemmiger	Haemophilus	Holdemanella	Holdemania	Hungatella	Intestinibacter	Intestinimonas	Lachnoclostridium	Lachnospira	Lachnospiraceae.gen..incertae.sedis	Lactobacillus	Lactococcus	Leuconostoc	Massilimaliae	Massilioclostridium	Massiliomicrobiota	Mediterraneibacter	Megamonas	Megasphaera	Merdibacter	Merdimonas	Mesorhizobium	Mobiluncus	Mogibacterium	Neglecta	Odoribacter	Oscillibacter	Parabacteroides	Paraprevotella	Parasutterella	Parvimonas	Peptoniphilaceae.gen..incertae.sedis	Peptoniphilus	Peptostreptococcaceae.gen..incertae.sedis	Peptostreptococcus	Phascolarctobacterium	Phocea	Porphyromonas	Prevotella	Pseudoflavonifractor	Ralstonia	Romboutsia	Roseburia	Rothia	Ruminococcaceae.gen..incertae.sedis	Ruminococcus	Ruthenibacterium	Saccharibacteria.gen..incertae.sedis	Senegalimassilia	Solobacterium	Staphylococcus	Stoquefichus	Streptococcus	Sutterella	Sutterellaceae.gen..incertae.sedis	Tissierellia.gen..incertae.sedis	Turicibacter	Tyzzerella	Urmitella	Veillonella	Veillonellaceae.gen..incertae.sedis
NS34	0	0	0	0	0	0	45	135	17	2	2	2	0	5	0	1	2	2	2365	0	160	0	0	369	0	2	6	0	0	0	0	8	4	0	0	3	31	1	0	602	105	33	35	8	0	0	0	23	1	15	13	14	28	3	1	102	96	47	2	0	8	2	84	0	0	0	5	0	27	12	1	0	0	0	0	6	319	28	2	57	0	12	0	0	0	0	1	0	1	0	0	0	0	0	5	0	17	39	16	187	0	0	4	18	85	4	5	0	0	77	16	0	0	3	10	0	159	31	17	0	0	0	0	0	4	0	0	14	16	211	24	0	3
NS36	0	0	0	0	0	10	1386	857	0	0	17	61	7	5	0	0	46	86	956	88	208	5	1	108	0	4	0	1	0	0	0	12	453	4	15	14	0	1	12	1231	185	132	7	0	10	0	44	2	2	29	6	8	3	0	4	1	144	73	1	0	1	0	147	0	1	0	1	0	54	85	18	0	0	0	0	16	30	6	65	40	0	210	2	0	0	0	2	0	2	0	0	0	2	0	0	0	31	22	148	168	0	0	0	10	8	4	0	0	2	11	2	0	0	27	5	0	886	431	92	0	0	0	1	2	7	5	0	3	5	56	1	0	0
NS38	0	0	0	0	0	8	604	200	0	0	15	205	0	2	0	0	11	29	930	37	1352	1	1	66	0	3	0	1	1	5	2	8	0	0	0	8	14	3	0	700	376	76	31	66	0	0	8	44	1	22	3	32	1	9	1	11	406	349	1	0	0	0	0	0	1	13	0	4	13	2	10	0	0	2	0	2	0	2	0	10	0	81	15	1	0	0	0	0	0	0	0	0	0	0	0	0	4	17	47	75	0	0	0	0	0	0	0	0	0	0	0	0	0	11	30	1	205	541	12	0	0	0	1	0	2	3	0	0	1	0	0	2	0
NS39	0	0	0	0	1	0	20	216	0	0	3	6	0	0	0	0	386	6	579	28	549	4	1	227	0	19	0	0	3	0	0	13	244	1	2	19	0	4	0	738	954	45	2	187	5	0	0	323	1	123	3	28	0	0	89	1	204	2417	1	0	0	0	19	0	0	0	0	0	477	2	17	0	0	8	14	2	0	2	1	1	2	237	0	0	0	1	1	0	0	50	0	1	0	0	0	0	0	26	131	34	0	0	3	0	0	4	0	0	0	0	183	0	0	3	59	0	809	169	3	0	3	1	0	0	18	4	0	0	2	0	0	20	3
NS4	0	0	0	0	0	0	0	45	0	0	0	659	0	1	0	0	8	0	1498	0	394	2	0	128	0	24	0	0	0	0	0	0	0	0	5	8	0	0	1	493	198	28	0	0	0	0	0	42	0	26	1	0	0	2	0	31	1744	1479	1	0	0	0	0	0	1	0	1	28	5	24	12	0	41	29	0	2	0	1	0	1	2	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	32	17	0	0	1	0	0	0	2	0	0	0	3	0	0	0	637	0	108	152	0	0	0	0	0	1	31	233	0	0	0	0	0	9	0
NS40	0	0	0	0	3	0	0	212	0	1	20	188	0	1	70	1	13	0	285	48	789	0	1	361	0	36	0	2	0	0	1	2	0	0	19	43	0	0	0	2375	268	159	0	151	0	0	0	1	5	417	0	34	1	6	1	3	320	1319	2	0	4	0	0	0	0	0	2	0	23	9	18	1	0	0	61	3	1	2	0	14	2	635	167	0	0	0	1	0	1	43	83	0	0	0	1	1	0	4	267	80	8	0	0	5	4	0	1	18	1	4	231	0	0	1	375	0	1090	2863	29	0	0	2	0	0	9	11	0	2	0	0	0	0	0
NS41	0	0	0	0	0	0	18	489	0	0	0	15	0	0	3	0	1	4	940	114	80	1	1	42	0	18	3	1	0	0	0	11	0	0	11	4	0	0	0	1271	605	24	0	478	2	0	0	1	0	69	0	4	0	0	11	0	74	1823	0	0	0	0	0	3	0	0	0	54	249	6	3	0	1	1	28	3	0	1	2	4	0	1132	38	0	1	0	0	0	0	29	12	0	0	0	0	0	0	19	283	237	17	1	0	1	0	0	0	35	1	2	4050	4	0	3	352	0	176	285	10	0	4	0	0	0	7	57	1	0	0	0	0	0	0
NS46	0	0	1	0	1	52	14	82	0	0	13	209	0	2	0	0	17	9	646	0	387	5	1	583	0	5	2	0	8	2	4	18	799	2	63	20	0	7	0	1015	662	0	44	473	0	0	0	94	1	190	18	110	1	14	2	8	400	340	1	0	1	1	0	0	2	0	2	1	51	6	0	0	31	0	0	5	1	6	1	4	0	656	5	0	0	2	0	1	0	0	0	0	0	0	1	0	0	10	49	17	0	1	0	5	6	7	0	0	0	17	42	0	0	20	138	0	1459	1534	53	0	0	0	3	0	1	0	2	1	41	0	1	1	0
NS51	0	0	0	2	1	0	0	2	3	0	0	1006	0	0	0	0	0	0	138	3	1400	0	1	1889	2	50	1	0	0	0	5	3	0	0	104	37	0	0	3	626	478	318	0	40	0	0	3	1	0	90	0	56	0	8	20	39	824	1227	0	0	4	0	4	0	0	0	4	0	28	4	0	0	219	1	0	2	5	28	0	13	0	1485	19	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	4	1	0	0	16	58	350	0	0	0	54	6	0	7	206	302	1	955	538	1	0	0	0	0	0	104	2	0	7	3	0	1	6	2
NS55	1	0	0	0	1	1	3	4	0	0	0	186	0	0	0	0	449	0	182	0	118	0	1	768	0	27	0	0	1	0	0	0	0	0	84	28	0	0	1	568	125	67	0	15	0	0	0	6	1	115	12	5	0	20	1	3	374	669	0	0	0	0	0	0	0	0	1	0	12	3	0	1	0	0	0	5	1	2	0	3	2	2831	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	15	0	0	0	0	0	1	2	0	0	0	0	0	0	0	46	316	0	348	467	3	0	0	0	0	1	25	1	0	1	1	1	0	0	0
NS58	0	0	1	2	18	0	0	0	0	0	0	1383	0	0	0	1	387	0	4	0	511	0	0	3718	0	8	0	0	0	0	0	1	0	0	111	142	0	12	0	1954	84	146	0	78	0	1	0	0	0	375	1	22	0	24	0	0	146	174	0	0	0	0	0	0	0	0	1	0	0	2	0	9	0	5	0	7	0	10	0	10	0	3458	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	3	0	0	1	0	0	4	0	2	0	0	47	0	6	263	782	2	392	1	2	6	0	1	1	0	250	2	0	0	165	0	0	5	0
NS6	0	0	0	0	0	0	1	482	4	0	0	806	1	3	0	0	90	0	2677	0	0	0	3	730	0	31	0	0	0	0	4	2	238	0	92	43	3	0	0	834	290	53	2	60	0	0	0	17	3	271	15	0	2	2	4	1	357	844	0	0	12	0	0	0	0	0	4	0	25	8	0	0	0	1	0	2	77	5	0	5	0	1187	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	73	197	0	2	0	47	61	1	0	0	0	48	22	0	0	19	179	0	65	75	8	0	0	0	0	0	13	0	2	15	0	1	0	1	0
NS62	0	0	1	0	2	7	63	80	0	2	3	680	0	2	0	0	61	2	44	0	231	0	1	1773	0	6	0	0	2	0	0	8	0	0	0	34	1	0	0	824	354	0	0	368	0	2	0	1	0	125	2	37	1	18	0	0	247	190	1	0	0	0	5	0	12	0	2	15	35	1	101	0	0	0	0	5	1	14	0	11	0	1222	0	4	0	1	0	0	0	0	0	0	0	0	0	0	11	0	1	5	0	1	0	1	0	2	0	0	1	0	0	1	0	21	47	0	616	1081	4	0	0	1	0	0	29	0	0	0	2	0	0	0	0
NS67	0	0	4	0	9	3	52	0	1	2	89	3	0	4	0	0	2	0	68	0	1214	4	0	1689	0	32	0	0	0	0	20	158	0	0	567	17	0	0	3	2087	665	192	0	131	0	0	0	2567	0	433	3	55	13	18	8	16	217	369	9	0	2	1	0	0	11	0	3	0	202	6	6	0	71	1	0	0	5	22	1	41	0	174	153	1	0	0	0	2	0	0	0	0	0	1	1	1	0	0	6	6	0	0	0	0	24	3	0	0	9	0	62	0	2	42	144	0	1451	2710	119	4	0	1	7	0	24	0	0	2	9	32	0	3	0
NS7	0	0	0	3	18	0	0	163	1	0	1	145	0	0	0	0	16	0	65	0	1691	5	0	1121	0	18	0	0	0	0	0	2	0	0	21	31	0	11	0	691	182	366	0	66	0	0	0	89	0	467	12	2	0	0	0	3	525	2298	0	0	0	0	4	0	0	0	0	0	15	1	0	2	0	7	0	1	0	260	0	0	1	563	684	0	0	0	0	0	0	25	96	2	0	0	0	1	0	1	75	8	0	1	0	0	1	37	0	0	0	0	689	0	0	1010	228	1	305	85	0	6	0	2	0	0	125	14	2	0	65	0	0	32	0
NS70	1	1	1	1	3	5	0	2	0	0	0	613	0	0	0	0	185	0	100	0	788	0	0	1283	1	63	0	0	0	0	0	4	0	0	0	113	0	8	0	684	301	264	0	120	0	0	1	0	0	207	5	6	0	2	3	0	1120	1313	0	0	0	0	0	0	0	0	1	0	139	2	0	0	0	2	0	2	0	4	0	5	0	2945	1	2	0	1	1	0	1	0	0	0	0	4	0	1	0	0	13	7	10	0	0	0	0	0	0	8	0	0	943	0	7	60	18	1	105	129	3	0	0	0	1	0	237	2	0	0	18	0	0	9	0
NS71	0	0	1	1	4	4	399	12	0	4	1	908	0	2	0	0	0	0	310	0	1196	0	1	623	0	0	1	0	4	3	0	29	4	1	24	173	0	1	1	3253	605	191	62	25	0	0	0	1	2	120	4	98	2	2	6	0	630	45	7	62	0	0	58	0	2	2	10	1	216	2	19	2	0	0	0	3	1	53	0	30	1	116	4	3	1	1	2	0	1	0	0	12	16	0	0	1	9	1	823	7	0	0	1	1	0	7	0	0	0	1	3	0	0	427	15	1	161	808	97	0	0	1	0	0	64	0	0	0	48	547	0	0	0
NS72	0	0	1	4	32	0	14	1	0	0	0	191	0	0	1	2	290	0	5	0	2952	0	0	2074	0	2	0	0	0	0	0	116	0	0	30	170	0	1	0	511	677	516	0	71	0	0	0	25	0	249	1	80	0	1	4	0	853	27	0	0	0	1	0	3	2	0	0	0	63	0	0	4	0	0	251	0	0	7	0	3	0	619	1180	1	0	0	0	0	0	71	35	0	0	0	0	3	0	0	2	0	0	0	1	0	1	2	0	0	0	0	28	0	0	23	52	1	635	938	2	9	0	2	2	0	270	0	0	0	4	0	0	3	0
NS77	4	69	0	1	2	1	0	170	0	0	0	69	0	2	0	0	36	3	1088	20	76	6	1	489	0	27	0	1	1	0	0	27	0	0	36	3	0	3	0	895	397	84	0	39	0	0	0	0	3	66	0	1	1	0	0	154	336	1431	1	0	0	0	0	0	0	3	1	0	577	15	0	0	22	1	0	4	1	2	0	19	1	472	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	14	526	107	0	0	0	0	0	0	0	271	2	0	1290	0	0	1	278	1	147	12	23	0	0	1	0	0	42	45	0	0	0	0	0	5	0
NS78	0	0	0	0	1	0	0	5	0	0	2	233	0	0	13	0	16	0	4	0	733	0	0	466	0	14	0	0	0	0	0	1	0	0	80	118	0	4	0	818	894	101	0	305	3	0	0	90	0	157	3	16	0	0	63	0	564	188	0	4	0	0	0	179	0	4	0	0	796	0	202	0	0	0	608	1	0	29	0	0	0	749	9	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	5	2	0	0	0	0	0	24	0	0	0	0	31	0	2	100	123	1	153	334	4	0	3	0	1	0	225	0	0	0	8	0	0	0	0
NS79	0	0	0	0	0	0	0	45	0	0	0	277	0	0	0	0	145	0	226	0	1097	2	0	1182	1	31	0	0	0	0	0	1	0	0	74	85	0	22	0	1178	139	127	1	124	0	0	0	0	0	162	6	3	0	0	0	0	624	1107	0	0	0	0	49	0	0	0	1	0	142	3	166	0	77	0	0	0	0	3	0	4	0	585	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	2	36	6	0	11	0	0	0	0	0	0	0	0	0	0	4	3	42	0	292	729	1	0	0	0	0	0	15	0	6	0	0	0	0	0	0
NS81	0	0	0	1	1	0	1	1	0	0	1	526	0	0	0	0	99	0	6	0	259	0	0	737	1	3	0	0	0	0	3	8	1	0	129	75	0	0	1	338	77	0	1	19	0	0	0	45	0	273	17	10	0	22	6	0	417	142	1	0	0	0	0	0	15	0	1	0	2	2	0	1	0	0	0	1	0	123	0	1	0	1518	2	23	1	0	0	1	0	0	4	2	2	6	0	0	0	0	1	1	0	0	0	0	2	53	0	0	0	0	0	0	6	150	58	0	1065	919	6	0	0	1	0	0	30	0	0	0	11	0	0	0	0
NS83	1	18	0	2	8	2	37	36	0	0	0	134	0	4	0	0	115	0	128	3	323	3	1	1045	0	9	0	0	3	0	0	16	0	1	7	153	2	14	0	1098	436	402	0	143	0	0	0	0	1	335	37	40	1	10	2	0	388	1151	1	0	0	0	0	0	0	2	0	21	85	2	0	1	55	1	653	3	0	37	0	3	0	559	83	2	0	0	0	0	0	0	0	0	0	2	0	1	3	2	324	15	0	2	0	0	0	27	0	64	1	0	117	0	1	151	402	1	249	1380	8	0	0	0	0	0	218	4	1	0	19	0	0	0	0
NS86	0	0	0	1	5	0	0	21	0	0	2	1639	0	0	10	0	48	0	12	1	411	0	0	454	0	67	0	0	0	0	0	0	23	0	37	31	0	6	0	2941	265	83	0	494	0	0	0	69	0	126	0	3	0	1	4	2	215	1806	0	9	0	0	0	0	0	3	2	4	96	0	100	1	0	5	0	2	0	7	0	4	0	767	53	1	0	1	0	0	0	0	42	0	0	1	0	0	0	1	23	2	3	0	0	0	0	1	0	0	0	0	53	0	3	71	232	2	258	888	7	0	4	0	2	0	142	1	0	0	0	0	0	0	0
NS9	0	0	0	0	0	1	0	525	0	1	1	367	0	4	0	0	29	0	691	1	10	14	2	711	0	28	0	0	0	1	1	6	0	0	107	38	0	1	2	783	134	63	9	96	0	0	0	0	1	140	3	3	3	6	1	4	1416	688	1	0	0	0	52	0	0	3	3	3	114	5	168	0	0	0	0	8	2	4	1	12	0	885	0	6	1	0	0	0	0	1	0	0	0	0	0	0	10	54	44	104	0	0	0	0	0	0	0	0	1	1	850	3	0	22	206	0	498	472	10	0	0	1	0	0	45	0	0	0	0	4	0	0	0
