#Classification	S-7-DICUND-B_bracken_P.kreport
k__Bacteria	277597
k__Bacteria|p__Cyanobacteria	94802
k__Bacteria|p__Actinobacteria	16050
k__Bacteria|p__Firmicutes	518
k__Bacteria|p__Armatimonadetes	5
k__Bacteria|p__Proteobacteria	119097
k__Bacteria|p__Bacteroidetes	41031
k__Bacteria|p__Acidobacteria	5597
k__Bacteria|p__Planctomycetes	413
k__Bacteria|p__Verrucomicrobia	64
k__Bacteria|p__Chlamydiae	15
k__Eukaryota	11155
k__Eukaryota|k__Viridiplantae	9867
k__Eukaryota|k__Viridiplantae|p__Streptophyta	9866
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Eukaryota|k__Metazoa	997
k__Eukaryota|k__Metazoa|p__Chordata	997
k__Eukaryota|k__Fungi	286
k__Eukaryota|k__Fungi|p__Ascomycota	214
k__Eukaryota|k__Fungi|p__Basidiomycota	71
k__Eukaryota|p__Euglenozoa	3
k__Eukaryota|p__Apicomplexa	1
