#Classification	N-2-POLJUN-G_bracken_C.kreport
k__Bacteria	5376
k__Bacteria|p__Proteobacteria	5262
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	4802
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	318
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	141
k__Bacteria|p__Acidobacteria	107
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	107
k__Bacteria|p__Actinobacteria	6
k__Bacteria|p__Actinobacteria|c__Actinomycetia	6
k__Eukaryota	1
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1
