#Classification	GQ50_bracken_P.kreport
k__Bacteria	28168673
k__Bacteria|p__Bacteroidetes	26204593
k__Bacteria|p__Firmicutes	1072572
k__Bacteria|p__Actinobacteria	23436
k__Bacteria|p__Proteobacteria	617203
k__Bacteria|p__Fusobacteria	250847
k__Bacteria|p__Spirochaetes	11
k__Bacteria|p__Candidatus_Saccharibacteria	7
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	4360
k__Eukaryota|k__Fungi	4040
k__Eukaryota|k__Fungi|p__Ascomycota	4040
k__Eukaryota|k__Metazoa	10
k__Eukaryota|k__Metazoa|p__Chordata	10
k__Eukaryota|k__Viridiplantae	309
k__Eukaryota|k__Viridiplantae|p__Streptophyta	309
k__Viruses	6743
k__Viruses|k__Heunggongvirae	6743
k__Viruses|k__Heunggongvirae|p__Uroviricota	6743
