#Classification	S-7-POLPIL-B_bracken_P.kreport
k__Bacteria	18234
k__Bacteria|p__Proteobacteria	14231
k__Bacteria|p__Actinobacteria	2800
k__Bacteria|p__Cyanobacteria	197
k__Bacteria|p__Firmicutes	2
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	661
k__Bacteria|p__Planctomycetes	275
k__Bacteria|p__Bacteroidetes	64
k__Eukaryota	317
k__Eukaryota|k__Metazoa	194
k__Eukaryota|k__Metazoa|p__Chordata	194
k__Eukaryota|k__Fungi	51
k__Eukaryota|k__Fungi|p__Ascomycota	51
k__Eukaryota|k__Viridiplantae	71
k__Eukaryota|k__Viridiplantae|p__Streptophyta	71
