#Classification	SRR20002449_bracken_P.kreport
k__Bacteria	73020
k__Bacteria|p__Proteobacteria	67417
k__Bacteria|p__Actinobacteria	3488
k__Bacteria|p__Firmicutes	2064
k__Bacteria|p__Deinococcus-Thermus	12
k__Bacteria|p__Cyanobacteria	1
k__Bacteria|p__Bacteroidetes	34
k__Bacteria|p__Chlamydiae	2
k__Eukaryota	2230
k__Eukaryota|k__Metazoa	2006
k__Eukaryota|k__Metazoa|p__Chordata	2006
k__Eukaryota|k__Fungi	194
k__Eukaryota|k__Fungi|p__Basidiomycota	194
k__Eukaryota|k__Viridiplantae	28
k__Eukaryota|k__Viridiplantae|p__Streptophyta	28
k__Eukaryota|p__Euglenozoa	1
k__Viruses	8
k__Viruses|k__Heunggongvirae	8
k__Viruses|k__Heunggongvirae|p__Uroviricota	8
