#Classification	NS21_bracken_P.kreport
k__Bacteria	15498527
k__Bacteria|p__Bacteroidetes	8586411
k__Bacteria|p__Firmicutes	6768809
k__Bacteria|p__Actinobacteria	55380
k__Bacteria|p__Chloroflexi	7
k__Bacteria|p__Proteobacteria	87138
k__Bacteria|p__Verrucomicrobia	380
k__Bacteria|p__Spirochaetes	307
k__Bacteria|p__Candidatus_Saccharibacteria	67
k__Bacteria|p__Fusobacteria	24
k__Bacteria|p__Synergistetes	1
k__Eukaryota	491
k__Eukaryota|k__Fungi	429
k__Eukaryota|k__Fungi|p__Ascomycota	421
k__Eukaryota|k__Fungi|p__Basidiomycota	7
k__Eukaryota|k__Metazoa	12
k__Eukaryota|k__Metazoa|p__Chordata	12
k__Eukaryota|k__Viridiplantae	49
k__Eukaryota|k__Viridiplantae|p__Streptophyta	49
k__Archaea	19
k__Archaea|p__Euryarchaeota	19
k__Viruses	14605
k__Viruses|k__Heunggongvirae	14575
k__Viruses|k__Heunggongvirae|p__Uroviricota	14575
k__Viruses|k__Sangervirae	30
k__Viruses|k__Sangervirae|p__Phixviricota	30
