#Classification	S-20-POLJUN-G_bracken_P.kreport
k__Bacteria	81505
k__Bacteria|p__Proteobacteria	54298
k__Bacteria|p__Cyanobacteria	25094
k__Bacteria|p__Actinobacteria	1384
k__Bacteria|p__Acidobacteria	602
k__Bacteria|p__Bacteroidetes	120
k__Bacteria|p__Planctomycetes	3
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	3384
k__Eukaryota|k__Viridiplantae	2881
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2881
k__Eukaryota|k__Metazoa	486
k__Eukaryota|k__Metazoa|p__Chordata	486
k__Eukaryota|k__Fungi	16
k__Eukaryota|k__Fungi|p__Ascomycota	16
