name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Gilliamella apis	1970738	S	4179	421	4600	0.09757
Gilliamella apicola	1196095	S	3746	1571	5317	0.11278
Gilliamella sp. wkB7	3120264	S	2336	1203	3539	0.07507
Gilliamella sp. B3022	2817969	S	9	9	18	0.00038
Gilliamella sp. ESL0443	2704655	S	3	1	4	0.00008
Gilliamella sp. ESL0405	2704653	S	1	0	1	0.00002
Frischella perrara	1267021	S	3062	903	3965	0.08410
Utexia brackfieldae	3074108	S	2	0	2	0.00004
Orbus wheelerorum	3074111	S	1	0	1	0.00002
Klebsiella pneumoniae	573	S	24	2015	2039	0.04325
Klebsiella variicola	244366	S	9	374	383	0.00812
Klebsiella michiganensis	1134687	S	2	19	21	0.00045
Raoultella planticola	575	S	10	53	63	0.00134
Raoultella ornithinolytica	54291	S	2	197	199	0.00422
Enterobacter hormaechei	158836	S	21	885	906	0.01922
Citrobacter farmeri	67824	S	6	26	32	0.00068
Citrobacter freundii	546	S	2	60	62	0.00132
Citrobacter braakii	57706	S	1	23	24	0.00051
Citrobacter portucalensis	1639133	S	1	14	15	0.00032
Citrobacter koseri	545	S	5	25	30	0.00064
Citrobacter sp. RHB35-C21	2742626	S	2	58	60	0.00127
Escherichia coli	562	S	6	513	519	0.01101
Kluyvera intermedia	61648	S	2	5	7	0.00015
Pluralibacter gergoviae	61647	S	2	1	3	0.00006
Rahnella bonaserana	2816248	S	50	90	140	0.00297
Rahnella aceris	2703885	S	4	8	12	0.00025
Rahnella victoriana	1510570	S	3	5	8	0.00017
Rahnella sikkimica	1805933	S	2	1	3	0.00006
Pantoea agglomerans	549	S	82	15	97	0.00206
Pantoea sp. JZ2	2654189	S	2	4	6	0.00013
Pantoea vagans	470934	S	2	3	5	0.00011
Winslowiella toletana	92490	S	19	3	22	0.00047
Hafnia alvei	569	S	10	15	25	0.00053
Obesumbacterium proteus	82983	S	3	1	4	0.00008
Providencia alcalifaciens	126385	S	2	2	4	0.00008
Morganella morganii	582	S	2	2	4	0.00008
Pseudomonas coleopterorum	1605838	S	2	9	11	0.00023
Pseudomonas sp. CIP-10	2892442	S	1	145	146	0.00310
Stenotrophomonas maltophilia	40324	S	1	4	5	0.00011
Xanthomonas albilineans	29447	S	1	0	1	0.00002
Snodgrassella alvi	1196083	S	2417	717	3134	0.06648
Turicimonas muris	1796652	S	2	0	2	0.00004
Rugosibacter aromaticivorans	1565605	S	26	128	154	0.00327
Commensalibacter melissae	2070537	S	1006	48	1054	0.02236
Bartonella apihabitans	2750929	S	420	89	509	0.01080
Bartonella choladocola	2750995	S	18	6	24	0.00051
Epilithonimonas sp. UC225_85	3350167	S	3	93	96	0.00204
Muribaculum gordoncarteri	2530390	S	16	6	22	0.00047
Muribaculum intestinale	1796646	S	13	1	14	0.00030
Paramuribaculum intestinale	2094151	S	18	3	21	0.00045
Duncaniella dubosii	2518971	S	9	1	10	0.00021
Bacteroides caecimuris	1796613	S	1	7	8	0.00017
Phocaeicola vulgatus	821	S	1	5	6	0.00013
Sediminibacterium sp. KACHI17	1751071	S	1	45	46	0.00098
Paludibaculum fermentans	1473598	S	4	0	4	0.00008
Akkermansia muciniphila	239935	S	2	1	3	0.00006
Lactobacillus helsingborgensis	1218494	S	4384	3703	8087	0.17154
Lactobacillus sp. IBH004	2879107	S	3950	482	4432	0.09401
Lactobacillus sp. wkB8	1545702	S	159	278	437	0.00927
Lactobacillus apis	303541	S	2191	116	2307	0.04894
Lactobacillus panisapium	2012495	S	1069	59	1128	0.02393
Lactobacillus kullabergensis	1218493	S	869	122	991	0.02102
Lactobacillus melliventris	1218507	S	18	350	368	0.00781
Lactobacillus kimbladii	1218506	S	9	17	26	0.00055
Lactobacillus intestinalis	151781	S	3	0	3	0.00006
Apilactobacillus kunkeei	148814	S	176	34	210	0.00445
Apilactobacillus apinorum	1218495	S	27	5	32	0.00068
Bombilactobacillus mellifer	1218492	S	11	4	15	0.00032
Bombilactobacillus bombi	1303590	S	8	11	19	0.00040
Limosilactobacillus mucosae	97478	S	2	0	2	0.00004
Lactiplantibacillus plantarum	1590	S	2	2	4	0.00008
Streptococcus parauberis	1348	S	4	5	9	0.00019
Acutalibacter muris	1796620	S	3	0	3	0.00006
Roseburia intestinalis	166486	S	1	7	8	0.00017
Bifidobacterium asteroides	1684	S	1037	102	1139	0.02416
Bifidobacterium coryneforme	1687	S	62	32	94	0.00199
Dietzia kunjamensis	322509	S	1	50	51	0.00108
Corynebacterium pyruviciproducens	598660	S	1	28	29	0.00062
Mycobacterium canetti	78331	S	1	0	1	0.00002
Curtobacterium flaccumfaciens	2035	S	9	43	52	0.00110
Streptomyces sp. T12	477697	S	3	9	12	0.00025
Candidatus Phytoplasma solani	69896	S	1	0	1	0.00002
Mesotoga prima	1184387	S	2	0	2	0.00004
Candidatus Chromulinivorax destructor	2066483	S	1	0	1	0.00002
Homo sapiens	9606	S	23	189	212	0.00450
Apis mellifera filamentous virus	1100043	S	21	0	21	0.00045
