#Classification	W-1-TORTOR-G_bracken_P.kreport
k__Bacteria	111601
k__Bacteria|p__Cyanobacteria	27663
k__Bacteria|p__Actinobacteria	11215
k__Bacteria|p__Firmicutes	4307
k__Bacteria|p__Deinococcus-Thermus	4
k__Bacteria|p__Proteobacteria	56794
k__Bacteria|p__Acidobacteria	10330
k__Bacteria|p__Bacteroidetes	1269
k__Bacteria|p__Planctomycetes	14
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	6219
k__Eukaryota|k__Viridiplantae	5996
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5996
k__Eukaryota|k__Metazoa	212
k__Eukaryota|k__Metazoa|p__Chordata	212
k__Eukaryota|k__Fungi	9
k__Eukaryota|k__Fungi|p__Ascomycota	7
k__Eukaryota|k__Fungi|p__Basidiomycota	2
