#Classification	S-24-POLPIL-B_bracken_P.kreport
k__Bacteria	858555
k__Bacteria|p__Proteobacteria	545442
k__Bacteria|p__Actinobacteria	160678
k__Bacteria|p__Cyanobacteria	101346
k__Bacteria|p__Chloroflexi	288
k__Bacteria|p__Firmicutes	1960
k__Bacteria|p__Armatimonadetes	59
k__Bacteria|p__Deinococcus-Thermus	19
k__Bacteria|p__Tenericutes	68
k__Bacteria|p__Acidobacteria	26309
k__Bacteria|p__Planctomycetes	12609
k__Bacteria|p__Verrucomicrobia	529
k__Bacteria|p__Chlamydiae	51
k__Bacteria|p__Kiritimatiellaeota	284
k__Bacteria|p__Bacteroidetes	8735
k__Bacteria|p__Rhodothermaeota	33
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	108
k__Bacteria|p__Fibrobacteres	4
k__Bacteria|p__Candidatus_Saccharibacteria	16
k__Bacteria|p__Nitrospirae	5
k__Eukaryota	22506
k__Eukaryota|k__Metazoa	6439
k__Eukaryota|k__Metazoa|p__Chordata	6439
k__Eukaryota|k__Fungi	5257
k__Eukaryota|k__Fungi|p__Ascomycota	4841
k__Eukaryota|k__Fungi|p__Basidiomycota	416
k__Eukaryota|k__Viridiplantae	10789
k__Eukaryota|k__Viridiplantae|p__Streptophyta	10669
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	119
k__Eukaryota|p__Bacillariophyta	10
k__Eukaryota|p__Apicomplexa	3
k__Eukaryota|p__Euglenozoa	6
k__Archaea	8
k__Archaea|p__Euryarchaeota	8
k__Viruses	2
k__Viruses|k__Heunggongvirae	2
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
