#Classification	S-8-POLCOM-B_bracken_P.kreport
k__Bacteria	40414
k__Bacteria|p__Proteobacteria	32129
k__Bacteria|p__Cyanobacteria	3841
k__Bacteria|p__Actinobacteria	3143
k__Bacteria|p__Armatimonadetes	2
k__Bacteria|p__Acidobacteria	918
k__Bacteria|p__Bacteroidetes	214
k__Bacteria|p__Planctomycetes	159
k__Bacteria|p__Chlamydiae	2
k__Bacteria|p__Verrucomicrobia	2
k__Eukaryota	162
k__Eukaryota|k__Metazoa	113
k__Eukaryota|k__Metazoa|p__Chordata	113
k__Eukaryota|k__Fungi	17
k__Eukaryota|k__Fungi|p__Basidiomycota	10
k__Eukaryota|k__Fungi|p__Ascomycota	7
k__Eukaryota|k__Viridiplantae	31
k__Eukaryota|k__Viridiplantae|p__Streptophyta	31
