#Classification	NS29_bracken_C.kreport
k__Bacteria	4630888
k__Bacteria|p__Firmicutes	3206292
k__Bacteria|p__Firmicutes|c__Clostridia	2609910
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	546308
k__Bacteria|p__Firmicutes|c__Bacilli	42291
k__Bacteria|p__Firmicutes|c__Negativicutes	4788
k__Bacteria|p__Firmicutes|c__Tissierellia	2993
k__Bacteria|p__Actinobacteria	1125745
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1021821
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	103923
k__Bacteria|p__Bacteroidetes	286932
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	286932
k__Bacteria|p__Proteobacteria	11796
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	4488
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	7306
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1
k__Bacteria|p__Verrucomicrobia	40
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	40
k__Bacteria|p__Fusobacteria	39
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	39
k__Bacteria|p__Spirochaetes	23
k__Bacteria|p__Spirochaetes|c__Spirochaetia	23
k__Bacteria|p__Candidatus_Saccharibacteria	17
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	17
k__Eukaryota	19605
k__Eukaryota|k__Fungi	18759
k__Eukaryota|k__Fungi|p__Ascomycota	18759
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	18759
k__Eukaryota|k__Viridiplantae	845
k__Eukaryota|k__Viridiplantae|p__Streptophyta	845
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	845
k__Viruses	667
k__Viruses|k__Heunggongvirae	667
k__Viruses|k__Heunggongvirae|p__Uroviricota	667
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	667
