#Classification	S-2-POLCOM-B_bracken_O.kreport
k__Bacteria	1333408
k__Bacteria|p__Proteobacteria	888866
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	368461
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	223065
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	89101
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	33976
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	16407
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	5476
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	134
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	198
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	40
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	10
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	17
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	22
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	256557
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	252423
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2308
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	765
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1060
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	255983
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	131458
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	100917
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	18090
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	893
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	652
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	926
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	928
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	191
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	250
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	466
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	134
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	212
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	51
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	642
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	50
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	19
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	13
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	64
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	5
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	12
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	7579
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	6721
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	275
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	221
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	93
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	24
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	214
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	24
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	4
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	80
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	78
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	2
