#Classification	SRR20002354_bracken_P.kreport
k__Bacteria	8170
k__Bacteria|p__Proteobacteria	6109
k__Bacteria|p__Actinobacteria	1052
k__Bacteria|p__Firmicutes	984
k__Bacteria|p__Deinococcus-Thermus	10
k__Bacteria|p__Bacteroidetes	12
k__Bacteria|p__Fusobacteria	1
k__Eukaryota	4311
k__Eukaryota|k__Metazoa	2454
k__Eukaryota|k__Metazoa|p__Chordata	2454
k__Eukaryota|k__Fungi	46
k__Eukaryota|k__Fungi|p__Basidiomycota	45
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Eukaryota|k__Viridiplantae	1237
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1237
k__Eukaryota|p__Apicomplexa	572
