#Classification	S-20-POLJUN-B_bracken_C.kreport
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	631
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	66
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	219
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	18
k__Eukaryota|k__Metazoa	8423
k__Eukaryota|k__Metazoa|p__Chordata	8423
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	8423
k__Eukaryota|k__Viridiplantae	15557
k__Eukaryota|k__Viridiplantae|p__Streptophyta	14766
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	9949
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	4816
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	791
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae	698
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae	92
k__Eukaryota|p__Apicomplexa	26
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	24
k__Eukaryota|p__Apicomplexa|c__Conoidasida	2
k__Eukaryota|p__Bacillariophyta	23
k__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae	21
k__Eukaryota|p__Bacillariophyta|c__Bacillariophyceae	2
k__Eukaryota|p__Cercozoa	10
k__Eukaryota|p__Cercozoa|c__Chlorarachniophyceae	10
k__Eukaryota|p__Evosea	14
k__Eukaryota|p__Evosea|c__Eumycetozoa	14
k__Eukaryota|p__Euglenozoa	13
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	13
k__Eukaryota|c__Cryptophyceae	14
k__Eukaryota|p__Rhodophyta	1
k__Eukaryota|p__Rhodophyta|c__Bangiophyceae	1
k__Archaea	209
k__Archaea|p__Euryarchaeota	198
k__Archaea|p__Euryarchaeota|c__Halobacteria	179
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	11
k__Archaea|p__Euryarchaeota|c__Thermococci	3
k__Archaea|p__Euryarchaeota|c__Methanopyri	5
k__Archaea|p__Thaumarchaeota	6
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	6
k__Archaea|p__Crenarchaeota	5
k__Archaea|p__Crenarchaeota|c__Thermoprotei	5
k__Viruses	41
k__Viruses|k__Heunggongvirae	33
k__Viruses|k__Heunggongvirae|p__Uroviricota	33
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	33
k__Viruses|k__Bamfordvirae	5
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	5
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Megaviricetes	5
k__Viruses|c__Naldaviricetes	3
