#Classification	S-20-POLJUN-B_bracken_O.kreport
k__Bacteria	1587185
k__Bacteria|p__Proteobacteria	815919
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	482177
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	236636
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	166280
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	49732
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	20781
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	8247
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	314
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	100
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	19
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	8
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	12
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	23
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	18
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	232007
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	222030
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	6195
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1564
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2215
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	91847
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	18449
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	20321
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	31981
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1026
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	2164
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	254
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	187
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	1283
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	610
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	367
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	66
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	143
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1866
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	181
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	32
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	66
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	50
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	12755
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	14
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	22
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	9431
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	7977
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	527
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	410
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	44
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	80
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	292
