#Classification	NS39_bracken_P.kreport
k__Bacteria	8529058
k__Bacteria|p__Firmicutes	4872605
k__Bacteria|p__Actinobacteria	836658
k__Bacteria|p__Bacteroidetes	2733406
k__Bacteria|p__Verrucomicrobia	49136
k__Bacteria|p__Proteobacteria	36472
k__Bacteria|p__Spirochaetes	500
k__Bacteria|p__Candidatus_Saccharibacteria	150
k__Bacteria|p__Fusobacteria	88
k__Bacteria|p__Synergistetes	40
k__Eukaryota	447
k__Eukaryota|k__Fungi	263
k__Eukaryota|k__Fungi|p__Ascomycota	263
k__Eukaryota|k__Viridiplantae	184
k__Eukaryota|k__Viridiplantae|p__Streptophyta	183
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Viruses	141681
k__Viruses|k__Heunggongvirae	141681
k__Viruses|k__Heunggongvirae|p__Uroviricota	141681
