#Classification	SRR20002417_bracken_P.kreport
k__Bacteria	151674
k__Bacteria|p__Proteobacteria	140666
k__Bacteria|p__Actinobacteria	8288
k__Bacteria|p__Firmicutes	2485
k__Bacteria|p__Deinococcus-Thermus	40
k__Bacteria|p__Cyanobacteria	6
k__Bacteria|p__Bacteroidetes	172
k__Bacteria|p__Gemmatimonadetes	2
k__Bacteria|p__Chlamydiae	6
k__Bacteria|p__Planctomycetes	4
k__Bacteria|p__Spirochaetes	3
k__Bacteria|p__Fusobacteria	1
k__Eukaryota	4324
k__Eukaryota|k__Metazoa	3350
k__Eukaryota|k__Metazoa|p__Chordata	3350
k__Eukaryota|k__Fungi	260
k__Eukaryota|k__Fungi|p__Ascomycota	156
k__Eukaryota|k__Fungi|p__Basidiomycota	104
k__Eukaryota|k__Viridiplantae	690
k__Eukaryota|k__Viridiplantae|p__Streptophyta	690
k__Eukaryota|p__Apicomplexa	18
k__Eukaryota|p__Euglenozoa	4
k__Archaea	2
k__Archaea|p__Euryarchaeota	2
k__Viruses	35
k__Viruses|k__Heunggongvirae	35
k__Viruses|k__Heunggongvirae|p__Uroviricota	27
k__Viruses|k__Heunggongvirae|p__Peploviricota	8
