feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae	Coprobacillaceae	Coriobacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Selenomonadaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Turicibacteraceae	Veillonellaceae
NS10	301	0	0	0	40932	220	72150	0	0	0	0	0	71905	90	91319	81	11021	288	3926	78982	108	0	483060	0	0	0	83784	0	0	0	0	413	0	6835	0	369	0	0	0	203	0	708	0	63811
NS11	13984	0	3214	0	377008	0	31156	0	0	0	0	169	20099	10512	9907	8128	296	2134	3089	9006	407	0	77787	2356	0	15848	211747	796	0	1071	0	187	0	393107	0	21593	0	0	0	453	3355	100999	0	50947
NS13	0	107	0	0	234612	0	58	0	0	0	0	0	36155	76662	0	0	5959	0	7730	12603	712	0	862108	0	0	0	194961	0	0	0	474	979	0	876	0	91828	0	0	0	2965	0	243	288	365
NS21	0	61	63	0	652660	0	2835	0	0	0	0	0	120244	787	0	1944	1542	3092	6652	6378	0	0	504659	0	0	12315	373261	0	131	0	0	4183	0	1652	0	497	0	0	0	4479	0	21400	0	21749
NS25	31361	0	0	0	994771	0	8541	0	0	0	0	0	251106	1176	0	9739	852	0	18925	11052	325	0	264805	0	0	3582	667726	0	0	0	0	2535	0	413	0	19672	0	0	0	185	1289	38436	108	0
NS27	0	0	7164	720	269739	0	183132	0	0	0	0	0	56124	22477	9341	0	909	0	7862	10764	262	0	353222	357	0	0	254395	0	404	0	0	4691	0	3642	0	12571	0	0	0	16815	105	16657	0	9323
NS28	4667	0	62419	750	67958	17766	19704	0	0	421	0	5140	195602	12465	1065	830	700	724	9393	12690	0	56	167140	0	0	4414	253720	0	98	0	0	718	398	855532	0	22223	0	0	0	2115	4835	21615	0	25114
NS29	0	167	0	0	88084	8919	236882	0	0	0	0	360	106179	2062	20661	726	14096	86	66448	31291	5221	0	483033	0	0	0	369116	0	0	0	202	33028	0	437	0	5784	0	0	0	5511	109	81	83	15821
NS30	0	176	0	0	51876	66	93926	0	0	0	0	0	84100	0	22339	0	2769	25662	11220	46013	0	0	1055145	62	0	0	106789	0	0	0	0	7843	0	1355	61381	1240	0	0	0	2734	1115	176	0	2985
NS32	1306	0	3764	0	129249	1175	13902	0	0	332	0	1693	117766	17443	3485	3810	771	847	3430	152275	741	0	288655	8065	0	3659	343981	556	0	0	0	949	56	247833	0	12014	0	0	0	850	983	8961	132	67815
NS34	9874	1005	9366	0	597760	0	19180	0	0	362	0	78	163148	6311	3622	0	3054	29801	3817	10641	4152	1704	145272	0	0	15235	56755	0	0	107	6237	8710	4080	1270	0	21326	0	0	0	357	0	51259	1992	1519
NS36	16889	0	220320	0	249112	14279	22148	0	0	0	0	1180	72266	2113	15729	6255	2457	0	4275	6941	799	0	125539	73	0	15027	332251	0	0	0	68	4911	631	60	0	157227	0	0	100	427	806	42684	1635	75
NS38	0	0	107880	0	248610	7068	131752	0	0	0	0	3519	32788	5973	10426	2309	3654	2503	2413	4479	318	0	97691	1425	0	4826	195955	0	77	0	0	1448	322	0	2075	33893	0	0	160	349	217	20002	0	5052
NS39	2909	0	3029	0	170196	6898	63348	0	0	0	625	3872	126578	236	8633	884	3257	179	10025	10160	0	0	219081	0	0	7116	492515	0	703	0	174	933	0	36328	1246	37475	6202	0	0	1681	474	9618	93	31870
NS4	0	0	0	0	393643	0	50695	0	0	0	0	0	40364	0	3610	170	239	11168	2204	35703	0	0	472408	196	0	1616	235610	0	2598	159	0	75	0	320	0	6562	0	0	0	2884	23506	6338	108	3895
