feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae	Coprobacillaceae	Coriobacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Selenomonadaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Turicibacteraceae	Veillonellaceae
NS40	1990	0	0	7443	79771	8824	95273	0	0	0	0	426	96544	148	20074	0	3512	987	10585	67410	5281	0	453770	16468	0	1150	784660	0	0	5644	72	635	200	44993	0	56949	5320	0	0	880	916	21278	0	12474
NS41	2960	0	4021	324	312775	0	8915	0	0	79	0	1179	86881	28042	3220	111	265	0	7772	15085	367	0	369736	3563	0	9882	394884	0	0	617	0	550	0	715478	0	67728	4388	0	0	640	6336	57740	0	2394
NS46	0	53	2554	0	158757	0	42880	0	0	63	0	2933	56211	8467	391	1073	17419	4279	5111	110014	402	63	419673	314	0	3751	459525	219	0	0	133	6685	597	5379	0	11540	0	0	318	0	191	4622	4543	7786
NS51	451	58	0	0	40783	1104	164734	261	2474	0	0	0	143519	0	34285	70	5143	10781	5350	44593	191	327	792226	2517	0	0	348750	0	0	5332	2526	64845	2767	735	1548	211	0	117	0	10631	138	1559	300	609
NS55	0	0	168	0	56434	0	15382	0	0	0	0	85	52980	1043	5888	0	2721	1144	4624	29147	0	0	793904	0	0	578	190587	0	0	0	0	7132	0	0	0	482	0	0	0	2099	0	119	120	481
NS58	115	1992	0	0	2479	0	56816	0	2426	0	251	0	16238	0	19389	0	2402	0	7964	6350	0	0	1693558	0	75	0	60999	0	245	0	0	31818	0	8865	0	3432	0	0	0	13786	0	223	20661	199
NS6	0	0	59	0	671280	0	0	0	0	0	21775	0	106480	1762	6860	98	3312	335	3563	28176	66	0	571169	107	0	14199	171621	0	0	0	1531	2808	8586	2995	52	74107	0	0	0	1129	397	45692	0	1611
NS62	458	118	10071	0	14563	660	25771	0	0	0	0	256	39641	0	0	0	7220	0	15033	4994	2175	0	750023	0	0	229	230051	0	0	0	0	5858	0	0	0	11450	0	0	0	2545	52	2268	84	0
NS67	0	392	7587	0	86818	0	150527	0	747	0	0	1327	52590	0	18780	1001	9025	5112	7590	12600	6002	0	424753	18230	0	0	679924	0	0	0	1383	7569	58	25769	14554	0	0	0	22102	1961	0	2215	1246	246922
NS7	559	1249	0	0	27121	0	197361	0	0	0	0	0	78044	90	47367	992	2599	9707	1786	31358	94	0	516288	84210	52	953	408564	0	509	0	0	169019	0	162006	0	22756	4682	0	0	11441	2617	4211	8047	25385
NS70	898	86	0	0	34866	0	67551	198	2167	0	0	0	71455	0	31195	57	3464	0	1423	78118	1200	0	953376	93	59	0	216606	0	0	0	0	6345	0	172647	0	363	0	108	0	23265	259	2397	2030	136
NS71	4856	433	60008	0	84917	1342	134719	0	0	0	54	1712	80814	32898	23633	132	11750	0	20356	46504	1053	0	567521	318	0	269	285343	2981	0	0	0	57607	0	131	0	5522	0	0	0	6496	0	3182	6286	332
NS72	0	3676	1653	58	32224	0	272384	0	114	0	0	0	102764	3033	54159	0	6593	116	23426	13151	7788	0	760987	123323	204	0	253165	0	0	0	0	4243	0	8859	0	19696	17093	0	118	25264	0	235	289	7242
NS77	27199	0	0	0	258839	222	7452	0	0	0	0	985	160608	4641	9040	1303	638	47746	2344	13368	287	0	228131	0	56	3325	283575	0	0	308	0	1619	401	233431	0	23332	0	0	0	3099	5002	30179	0	149
NS78	0	0	0	1728	4529	0	64311	63	604	0	0	0	31319	27382	18366	0	1852	0	64625	73102	880	0	457926	1005	0	62	123628	0	0	1920	0	28709	0	8638	0	621	0	0	0	25282	0	498	868	7869
NS79	3545	0	0	0	118812	0	133833	170	1557	0	0	118	69468	884	16790	236	2263	0	3658	41535	479	0	523692	0	0	551	287098	0	0	0	0	479	0	0	0	40847	0	77	0	1026	1424	1187	0	0
NS81	0	126	313	0	29300	1507	36426	302	3167	0	0	0	52433	1788	0	0	4670	97	7205	9665	1279	0	732100	306	0	0	303044	0	0	0	0	53749	0	0	0	372	0	120	0	6737	0	361	1515	5337
NS83	7645	398	4042	0	31427	459	36703	0	292	0	0	1796	85306	824	50386	438	7964	1606	94201	18200	649	0	597501	8425	0	1241	426769	769	53	169	0	23864	0	24764	0	5000	0	0	0	21967	377	3594	1843	0
NS86	0	119	0	97	5101	0	44441	0	823	0	2357	0	77726	1410	7439	0	346	666	2643	8489	67	0	700257	6451	65	0	419656	0	370	0	0	9917	0	12199	0	2798	0	0	0	13969	138	476	0	9547
NS9	6206	0	52	0	214678	0	1510	0	0	0	0	166	60991	4606	6901	4045	1656	845	8260	121072	864	0	438157	114	0	14041	277949	1022	0	0	0	3200	0	78249	0	88462	0	0	0	4831	0	36463	0	0
