feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae	Coprobacillaceae	Coriobacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Selenomonadaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Turicibacteraceae	Veillonellaceae
NS10	0.0172597842425161	0	0	0	0.202646232321213	0.0147556264424395	0.270494041101386	0	0	0	0	0	0.270022874059202	0.00943752800463304	0.305337761637381	0.0089532119018537	0.104624564150107	0.0168829147367322	0.0623716624284515	0.283348936321191	0.0103383246451265	0	0.763428830607932	0	0	0	0.292081335421835	0	0	0	0	0.0202178590789814	0	0.0823361622101472	0	0.0191104172669687	0	0	0	0.0141740223301052	0	0.0264726798538975	0	0.254014656607464
NS11	0.101227763589515	0	0.0484657507770723	0	0.55237145636186	0	0.151416639465408	0	0	0	0	0.01110949351783	0.121449958814374	0.0877287360200845	0.0851604842022634	0.0771195338299325	0.0147029160326888	0.0394868096975904	0.0475132069074992	0.081186747592734	0.0172409302361953	0	0.240655414569402	0.0414910314165826	0	0.107788018621424	0.404145875648275	0.0241124084911467	0	0.0279700561000765	0	0.0116861824492526	0	0.565447130554339	0	0.125906022111741	0	0	0	0.0181892596696712	0.0495183011827268	0.275036125926972	0	0.19410279414555
NS13	0	0.00836365188259194	0	0	0.402400620039151	0	0.00615766045302474	0	0	0	0	0	0.154350841758193	0.225779841326314	0	0	0.0624551223262209	0	0.0711467710414108	0.0908937725195264	0.0215760872334244	0	0.849156123655457	0	0	0	0.365058375564481	0	0	0	0.0176039691307044	0.0253009412150889	0	0.0239327447406674	0	0.247531606201672	0	0	0	0.0440404496082564	0	0.0126041519979642	0.0137217299680743	0.0154476599585622
NS21	0	0.0059199761996826	0.00601624343958066	0	0.659023027180554	0	0.0403689080686665	0	0	0	0	0	0.265959978668571	0.0212653534548735	0	0.0334257769955456	0.0297686293333246	0.042160030284287	0.0618593909145512	0.0605703873468757	0	0	0.568605636284569	0	0	0.0842137815124892	0.481470469028028	0	0.00867548178164769	0	0	0.0490422676140447	0	0.0308124513231395	0	0.0168986250878977	0	0	0	0.0507492319001115	0	0.111110052857327	0	0.112016180638016
NS25	0.116362945911804	0	0	0	0.712706805456556	0	0.0606261051388726	0	0	0	0	0	0.334740950875888	0.0224843059092759	0	0.0647440508989893	0.0191375147670167	0	0.0903124682689302	0.06897696904355	0.0118192800605787	0	0.344118284035251	0	0	0.0392476379073423	0.56536094969556	0	0	0	0	0.033014681413518	0	0.0133237693791214	0	0.092082564894183	0	0	0	0.00891724812800919	0.0235399643142278	0.128887680915713	0.00681325226432478	0
NS27	0	0	0.0760619475848649	0.0240923449202991	0.485075996972494	0	0.394336915246095	0	0	0	0	0	0.214326148721614	0.13500818980389	0.0868788313663689	0	0.0270710934050696	0	0.0796887613593206	0.0932798083180509	0.0145323798704724	0	0.562820811209563	0.016963901708901	0	0	0.46992506348718	0	0.0180461708458536	0	0	0.0615286780366289	0	0.0542067647113118	0	0.100830487920971	0	0	0	0.116682348792865	0.00919965593098514	0.116130370000031	0	0.0867948727069816
NS28	0.0513676748737189	0	0.188896637398773	0.020584546436855	0.197205445806021	0.100346892544457	0.10569785149494	0	0	0.0154219135049197	0	0.0539103245569842	0.338851702122763	0.0840111883479573	0.024530045784211	0.0216547407486572	0.0198864675296641	0.0202245510647432	0.0729066207390113	0.0847678260634291	0	0.00562440134088982	0.312322942101646	0	0	0.0499547520816232	0.388261324792142	0	0.00744041303252775	0	0	0.020140561946854	0.014994701012937	0.768672190197656	0	0.112277879730636	0	0	0	0.0345717768568271	0.0522848816798118	0.1107249242304	0	0.11939061325924
NS29	0	0.010571455459029	0	0	0.24523291044828	0.0773320445422223	0.409486995100545	0	0	0	0	0.0155216236337308	0.26981753513212	0.0371546107710309	0.117855534209508	0.0220430629475134	0.0972750662812069	0.00758615742519503	0.212462214076184	0.145213024238633	0.059142341697107	0	0.604723397186359	0	0	0	0.520129560462839	0	0	0	0.0116266320603641	0.149218432112325	0	0.0171013480896248	0	0.0622534113884177	0	0	0	0.0607646441035325	0.00854057258848852	0.00736232343233772	0.00745266373115595	0.103075328128588
NS30	0	0.0105578913395016	0	0	0.182264998736592	0.00646528656273784	0.246381743502019	0	0	0	0	0	0.232886135559835	0	0.119226846350926	0	0.0418891241870406	0.12783256221812	0.0843965902645011	0.171547846941808	0	0	0.956994954353419	0.0062663041793379	0	0	0.263085882888941	0	0	0	0	0.070536528941308	0	0.0292984447978209	0.198465284258384	0.0280272500411994	0	0	0	0.0416233902647734	0.0265767178535757	0.0105578913395016	0	0.043493252398029
NS32	0.0301567756052442	0	0.0512108681029634	0	0.30464908520331	0.0286039258967615	0.0985346830022309	0	0	0.0152031387575935	0	0.034336917907922	0.290387788987939	0.11041826961289	0.0492747735795086	0.0515231184176689	0.0231693330848432	0.0242846517701077	0.0488840894261211	0.331628314936499	0.0227140164411462	0	0.464825999449336	0.0749992451383385	0	0.0504909142259405	0.51133795618427	0.0196749167184716	0	0	0	0.0257056401300933	0.00624373299046574	0.428341026618207	0	0.0915795549546959	0	0	0	0.0243276292843887	0.0261621716066928	0.0790639103638902	0.00958608121785529	0.21902222008383
