feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae	Coprobacillaceae	Coriobacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Selenomonadaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Turicibacteraceae	Veillonellaceae
NS10	0.000278417385284512	0	0	0	0.0403500964248628	0.000190269796121076	0.0712716257210365	0	0	0	0	0	0.0716543152544778	8.59976479643282e-05	0.0901792835965936	8.70726185638823e-05	0.0108324787317067	0.000289167091280054	0.00391611789417559	0.0780299658804332	0.000110721971754073	0	0.479566958843676	0	0	0	0.0822341758952893	0	0	0	0	0.000362265092049732	0	0.00668524215862696	0	0.000384839474640369	0	0	0	0.000195644649118847	0	0.000710555566305262	0	0.0625847883060398
NS11	0.0102679051366402	0	0.00239093508783246	0	0.275046765142231	0	0.0229385710292632	0	0	0	0	0.0001214818637253	0.0146745791137199	0.00784256810509794	0.0072609602442538	0.00587735707067449	0.000220387451891032	0.00153948698101443	0.00231030553226257	0.00667182695822314	0.000293491582274399	0	0.0569868197553162	0.00172547248919564	0	0.0114063944612871	0.154908727343095	0.00064073620159539	0	0.000789094583843987	0	0.000142983078543938	0	0.286671396933927	0	0.0159130490872734	0	0	0	0.000322518222279559	0.00255326925971317	0.0733083919241437	0	0.0371745253606829
NS13	0	8.06227949665577e-05	0	0	0.153909990561758	0	3.54740297852854e-05	0	0	0	0	0	0.0235794801012192	0.0498420868189255	0	0	0.00383334515800993	0	0.00504806193550606	0.00822567502778799	0.0004192385338261	0	0.563981175114861	0	0	0	0.127061524867295	0	0	0	0.000319266268067568	0.000714855448703478	0	0.000594458741553418	0	0.0598661876597675	0	0	0	0.00189409819641433	0	0.000162320560532669	0.000197794590317955	0.000234343590702794
NS21	0	2.25760085831835e-05	4.83771612496788e-05	0	0.375504600668035	0	0.00165557396276679	0	0	0	0	0	0.0687622219522657	0.000465495796024687	0	0.00115567662985344	0.000857888326160971	0.00172867722865519	0.00380351992225253	0.00372074122411419	0	0	0.290093109909685	0	0	0.00715444462481361	0.21405388785744	0	7.84785060272568e-05	0	0	0.00237370604531757	0	0.00090626548741065	0	0.000287037823414761	0	0	0	0.00255323906595527	0	0.0123394012627514	0	0.012435080537223
NS25	0.0135693538781714	0	0	0	0.426670880551417	0	0.00356675244932051	0	0	0	0	0	0.10822051516891	0.000474062034403359	0	0.00426440836843112	0.000349365444855083	0	0.00823964964558219	0.0047943688740113	0.000138671207342479	0	0.114186601996435	0	0	0.00151570854537128	0.287211719759465	0	0	0	0	0.00110721971754073	0	0.000183819972523751	0	0.00833532202894251	0	0	0	8.70726185638823e-05	0.000564359564765904	0.0164749994087662	4.51487651812723e-05	0
NS27	0	0	0.00577044217840642	0.000536410329177497	0.217491276613585	0	0.146960305635641	0	0	0	0	0	0.0452928112416125	0.017823012540607	0.00739257281313356	0	0.000749254507889209	0	0.00642832418533353	0.00876316032756504	0.000253693061494768	0	0.285301497004057	0.000288092120680499	0	0	0.205481705075366	0	0.00034076568005865	0	0	0.00382582036381305	0	0.00290134564819652	0	0.0101047236358086	0	0	0	0.0134855061714062	8.92225597629905e-05	0.0133371602286677	0	0.00738289807773757
NS28	0.00254511750335478	0	0.0349499363451812	0.000453755634311668	0.038232675566872	0.0100353112204521	0.0111847538106871	0	0	0.000246232322884768	0	0.00285371434469945	0.109889507277294	0.00696439631146131	0.000552678663592884	0.000486013143859891	0.000417197123490349	0.000420422874445171	0.00530313456972783	0.00714288786429481	0	2.36555070020301e-05	0.094349989677597	0	0	0.00251285999380656	0.143479251969859	0	5.80635171868011e-05	0	0	0.000404294119671059	0.000248382823521316	0.484048661528404	0	0.0126384922409937	0	0	0	0.00126341912397206	0.00277737157210199	0.0122600041289612	0	0.0142578192203145
NS29	0	0.000116096824751843	0	0	0.0589309632381554	0.00590266356215158	0.15853451408104	0	0	0	0	0.000228968737705024	0.070913660511385	0.00135553792603772	0.0138466962928564	0.000463312328407818	0.00938341836350776	5.91233829754756e-05	0.0447531760006364	0.0209952507798912	0.00357750215531605	0	0.323982164087812	0	0	0	0.246139243091701	0	0	0	0.000155870736935345	0.0221927680277944	0	0.000297766856076486	0	0.00376777195143713	0	0	0	0.00359685162610803	7.09480595705707e-05	5.15985887785969e-05	6.01983535750297e-05	0.0106239344353932
NS30	0	0.000115159016305225	0	0	0.0330915352741753	5.16601194640263e-05	0.0593413334768337	0	0	0	0	0	0.0533681321638056	0	0.0142151428725179	0	0.00175859656675456	0.0162826239035678	0.00724102674487435	0.0292030350320185	0	0	0.667882473228219	5.59651294193618e-05	0	0	0.0677242641123608	0	0	0	0	0.00491955012645967	0	0.00086530700102244	0.0387192595382877	0.000782435559382231	0	0	0	0.00170693644729053	0.000667276543077006	0.000107625248883388	0	0.00190066189528063
NS32	0.000926487141743874	0	0.00266906225647242	0	0.0902837908043986	0.000838817213611568	0.00976383236643865	0	0	0.000226210061477184	0	0.00118516754697376	0.0819161832193264	0.0121698848385142	0.00244068750541172	0.00268096804918175	0.000548748809420729	0.000611524807342627	0.0023584293012382	0.10636418737553	0.000524937224002078	0	0.201070438999048	0.00572343925881029	0	0.00261494501688458	0.239017447398043	0.000358256126071521	0	0	0	0.000623430600051953	3.35526885444627e-05	0.172012728374751	0	0.00829184344964932	0	0	0	0.000545501775045458	0.000702441769850203	0.00624512944843709	8.22582041735215e-05	0.0471696683695558
