#Classification	NS34_bracken_P.kreport
k__Bacteria	4544592
k__Bacteria|p__Bacteroidetes	4185012
k__Bacteria|p__Firmicutes	247564
k__Bacteria|p__Actinobacteria	23827
k__Bacteria|p__Proteobacteria	75607
k__Bacteria|p__Verrucomicrobia	11751
k__Bacteria|p__Fusobacteria	827
k__Bacteria|p__Spirochaetes	2
k__Archaea	4
k__Archaea|p__Euryarchaeota	4
k__Eukaryota	2
k__Eukaryota|k__Viridiplantae	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2
k__Viruses	4
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Uroviricota	4
