#Classification	SRR20002473_bracken_P.kreport
k__Bacteria	8913035
k__Bacteria|p__Firmicutes	7904943
k__Bacteria|p__Actinobacteria	58338
k__Bacteria|p__Deinococcus-Thermus	329
k__Bacteria|p__Cyanobacteria	31
k__Bacteria|p__Chloroflexi	14
k__Bacteria|p__Tenericutes	3
k__Bacteria|p__Proteobacteria	948480
k__Bacteria|p__Bacteroidetes	776
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Verrucomicrobia	40
k__Bacteria|p__Chlamydiae	30
k__Bacteria|p__Planctomycetes	6
k__Bacteria|p__Fusobacteria	22
k__Bacteria|p__Spirochaetes	11
k__Bacteria|p__Nitrospirae	5
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Bacteria|p__Candidatus_Bipolaricaulota	1
k__Eukaryota	9146
k__Eukaryota|k__Fungi	6462
k__Eukaryota|k__Fungi|p__Basidiomycota	6261
k__Eukaryota|k__Fungi|p__Ascomycota	200
k__Eukaryota|k__Metazoa	2279
k__Eukaryota|k__Metazoa|p__Chordata	2279
k__Eukaryota|k__Viridiplantae	399
k__Eukaryota|k__Viridiplantae|p__Streptophyta	399
k__Eukaryota|p__Apicomplexa	5
k__Archaea	3
k__Archaea|p__Euryarchaeota	3
k__Viruses	28
k__Viruses|k__Heunggongvirae	28
k__Viruses|k__Heunggongvirae|p__Uroviricota	28
