#Classification	GQ17b_bracken_P.kreport
k__Bacteria	15139393
k__Bacteria|p__Firmicutes	8184964
k__Bacteria|p__Actinobacteria	921279
k__Bacteria|p__Tenericutes	82
k__Bacteria|p__Chloroflexi	6
k__Bacteria|p__Cyanobacteria	3
k__Bacteria|p__Bacteroidetes	4306993
k__Bacteria|p__Rhodothermaeota	124
k__Bacteria|p__Proteobacteria	1092712
k__Bacteria|p__Fusobacteria	506177
k__Bacteria|p__Candidatus_Saccharibacteria	125373
k__Bacteria|p__Spirochaetes	1614
k__Bacteria|p__Synergistetes	58
k__Bacteria|p__Planctomycetes	2
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Chrysiogenetes	1
k__Bacteria|p__Acidobacteria	1
k__Eukaryota	12556
k__Eukaryota|k__Viridiplantae	7164
k__Eukaryota|k__Viridiplantae|p__Streptophyta	7157
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	7
k__Eukaryota|k__Metazoa	5375
k__Eukaryota|k__Metazoa|p__Chordata	5375
k__Eukaryota|k__Fungi	14
k__Eukaryota|k__Fungi|p__Basidiomycota	7
k__Eukaryota|k__Fungi|p__Ascomycota	7
k__Eukaryota|p__Apicomplexa	2
k__Archaea	4
k__Archaea|p__Euryarchaeota	3
k__Archaea|p__Candidatus_Thermoplasmatota	1
k__Viruses	1907
k__Viruses|k__Heunggongvirae	1907
k__Viruses|k__Heunggongvirae|p__Uroviricota	1867
k__Viruses|k__Heunggongvirae|p__Peploviricota	40
