#Classification	S-16-POLJUN-G_bracken_P.kreport
k__Bacteria	285575
k__Bacteria|p__Proteobacteria	202995
k__Bacteria|p__Cyanobacteria	43991
k__Bacteria|p__Actinobacteria	26884
k__Bacteria|p__Firmicutes	1526
k__Bacteria|p__Chloroflexi	3
k__Bacteria|p__Armatimonadetes	3
k__Bacteria|p__Deinococcus-Thermus	3
k__Bacteria|p__Acidobacteria	5773
k__Bacteria|p__Bacteroidetes	4050
k__Bacteria|p__Planctomycetes	287
k__Bacteria|p__Verrucomicrobia	48
k__Bacteria|p__Chlamydiae	5
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Eukaryota	104823
k__Eukaryota|k__Viridiplantae	98867
k__Eukaryota|k__Viridiplantae|p__Streptophyta	98856
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	10
k__Eukaryota|k__Metazoa	5205
k__Eukaryota|k__Metazoa|p__Chordata	5205
k__Eukaryota|k__Fungi	743
k__Eukaryota|k__Fungi|p__Ascomycota	684
k__Eukaryota|k__Fungi|p__Basidiomycota	57
k__Eukaryota|k__Fungi|p__Microsporidia	1
k__Eukaryota|p__Bacillariophyta	4
k__Eukaryota|p__Cercozoa	1
k__Eukaryota|p__Euglenozoa	2
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
