#Classification	NS62_bracken_P.kreport
k__Bacteria	6424540
k__Bacteria|p__Firmicutes	5340631
k__Bacteria|p__Actinobacteria	520526
k__Bacteria|p__Chloroflexi	30
k__Bacteria|p__Tenericutes	6
k__Bacteria|p__Cyanobacteria	1
k__Bacteria|p__Bacteroidetes	401546
k__Bacteria|p__Chlorobi	4
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Verrucomicrobia	147006
k__Bacteria|p__Proteobacteria	13338
k__Bacteria|p__Spirochaetes	934
k__Bacteria|p__Candidatus_Saccharibacteria	263
k__Bacteria|p__Fusobacteria	247
k__Bacteria|p__Synergistetes	4
k__Archaea	275962
k__Archaea|p__Euryarchaeota	275962
k__Eukaryota	106
k__Eukaryota|k__Fungi	71
k__Eukaryota|k__Fungi|p__Ascomycota	71
k__Eukaryota|k__Viridiplantae	34
k__Eukaryota|k__Viridiplantae|p__Streptophyta	34
k__Viruses	61053
k__Viruses|k__Heunggongvirae	61053
k__Viruses|k__Heunggongvirae|p__Uroviricota	61053
