#Classification	S-9-POLPIL-G_bracken_P.kreport
k__Bacteria	325181
k__Bacteria|p__Proteobacteria	203137
k__Bacteria|p__Actinobacteria	38170
k__Bacteria|p__Cyanobacteria	21472
k__Bacteria|p__Firmicutes	38901
k__Bacteria|p__Chloroflexi	145
k__Bacteria|p__Deinococcus-Thermus	52
k__Bacteria|p__Armatimonadetes	12
k__Bacteria|p__Tenericutes	21
k__Bacteria|p__Acidobacteria	17137
k__Bacteria|p__Bacteroidetes	3596
k__Bacteria|p__Chlorobi	4
k__Bacteria|p__Rhodothermaeota	18
k__Bacteria|p__Ignavibacteriae	2
k__Bacteria|p__Gemmatimonadetes	93
k__Bacteria|p__Planctomycetes	2005
k__Bacteria|p__Verrucomicrobia	197
k__Bacteria|p__Chlamydiae	22
k__Bacteria|p__Kiritimatiellaeota	49
k__Bacteria|p__Spirochaetes	77
k__Bacteria|p__Thermotogae	10
k__Bacteria|p__Nitrospirae	9
k__Bacteria|p__Candidatus_Saccharibacteria	4
k__Bacteria|p__Chrysiogenetes	30
k__Bacteria|p__Synergistetes	7
k__Bacteria|p__Fusobacteria	1
k__Bacteria|p__Thermodesulfobacteria	1
k__Bacteria|p__Elusimicrobia	1
k__Eukaryota	315040
k__Eukaryota|k__Viridiplantae	273045
k__Eukaryota|k__Viridiplantae|p__Streptophyta	272875
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	169
k__Eukaryota|k__Metazoa	35067
k__Eukaryota|k__Metazoa|p__Chordata	35067
k__Eukaryota|k__Fungi	6770
k__Eukaryota|k__Fungi|p__Ascomycota	6499
k__Eukaryota|k__Fungi|p__Basidiomycota	270
k__Eukaryota|p__Bacillariophyta	58
k__Eukaryota|p__Cercozoa	33
k__Eukaryota|p__Apicomplexa	20
k__Eukaryota|p__Euglenozoa	44
k__Eukaryota|p__Evosea	1
k__Archaea	41
k__Archaea|p__Euryarchaeota	39
k__Archaea|p__Thaumarchaeota	1
k__Archaea|p__Crenarchaeota	1
k__Viruses	9
k__Viruses|k__Heunggongvirae	9
k__Viruses|k__Heunggongvirae|p__Uroviricota	9
