#Classification	S-23-POLPIL-B_bracken_P.kreport
k__Bacteria	431330
k__Bacteria|p__Proteobacteria	259563
k__Bacteria|p__Actinobacteria	88033
k__Bacteria|p__Cyanobacteria	61604
k__Bacteria|p__Chloroflexi	39
k__Bacteria|p__Armatimonadetes	19
k__Bacteria|p__Firmicutes	213
k__Bacteria|p__Acidobacteria	13749
k__Bacteria|p__Bacteroidetes	5403
k__Bacteria|p__Gemmatimonadetes	126
k__Bacteria|p__Planctomycetes	2403
k__Bacteria|p__Verrucomicrobia	146
k__Bacteria|p__Chlamydiae	24
k__Bacteria|p__Candidatus_Saccharibacteria	5
k__Eukaryota	3963
k__Eukaryota|k__Viridiplantae	2010
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2007
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	3
k__Eukaryota|k__Metazoa	1384
k__Eukaryota|k__Metazoa|p__Chordata	1384
k__Eukaryota|k__Fungi	569
k__Eukaryota|k__Fungi|p__Ascomycota	335
k__Eukaryota|k__Fungi|p__Basidiomycota	233
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
