feature	Acidovorax	Acinetobacter	Alcaligenes	Anoxybacillus	Aquabacterium	Corynebacterium	Cutibacterium	Effusibacillus	GGB2722	GGB796	Herbaspirillum	Lactobacillus	Meiothermus	Micrococcus	Moraxella	Paraburkholderia	Prevotella	Pseudomonas	Rothia	Staphylococcus	Streptococcus	Stutzerimonas
SRR20002340	0	0.130133736772897	0	0	0.227769003829421	0	0.261357875263891	0	0	0	0	0	0	0	0	0.0820123105375425	0	0.63861664874719	0	0	0	0.788775675177441
SRR20002343	0	0.140826312607467	0	0.0843302580786657	0.23064166742342	0	0.369303634796521	0.0478058509066889	0	0.148387006242378	0.0091441486068995	0	0.205276399350324	0.0100930744348231	0.0222019673565001	0.104917978106358	0	0.514931707763755	0	0.496198819111354	0	0.516783806009107
SRR20002345	0	0.0826164086202281	0.293721065178891	0.0289883830832466	0.190342976946802	0	0.728269122869208	0.0274248571344626	0.239881919009291	0.0317131206603612	0	0	0.105705442375397	0.0301992644010126	0.116204585245456	0.0929873853349776	0	0.426634783822014	0	0	0	0.419892011013457
SRR20002351	0	0.133225931800847	0.0769688810671593	0	0.186234724931438	0.0750559784634407	0.64792333152253	0	0.141552214320659	0	0.0203889471773314	0	0	0	0	0.123319658160707	0	0.463192735918441	0.0687931753160974	0.0816936476049054	0.332072770397135	0.487646018229029
SRR20002352	0	0.0107634279358858	0	0	0.057990400446518	0	0.117415516935818	0	0.00738621425203565	0	0	0	0	0	0	0.027461484883376	0	0.150147820165847	0	1.29520028345934	0.0793961890520991	0.166224314360193
SRR20002353	0.012256731418188	0.136913435654611	0.00614427242587178	0	0.302175522361476	0	0.268864313197994	0	0	0	0.0109877821627448	0	0	0	0	0.107529854151785	0	0.571538976438753	0	0	0	0.803217155072976
SRR20002355	0	0.118542692407421	0	0	0.262919374055753	0	0.456560770659577	0	0	0	0	0	0	0	0	0.102439915944177	0	0.616049655081525	0	0	0	0.6639845095177
SRR20002356	0	0	0	0	0.0353636913461183	0	0.152418433546827	0	0	0.0441658273002192	0	0	0.0632919970473944	0	0	0	0	1.34053760802669	0	0	0.0814572678823641	0.123668367216485
SRR20002360	0	0.117979184521851	0	0	0.247040758343855	0	0.473741815817437	0	0	0	0	0	0	0.0726048242938452	0	0.128797190536177	0	0.706121350200148	0	0	0	0.552460420710829
SRR20002363	0	0.00765065597263198	0	0	0.0622746311033843	0	0.0460945729028297	0	0	0	0.00444633225226054	0	0	0	0	0.0276491138699946	0	0.130927072324036	0	1.32647134450498	0.102607388534601	0.156008498024087
