feature	Acidovorax	Acinetobacter	Alcaligenes	Anoxybacillus	Aquabacterium	Corynebacterium	Cutibacterium	Effusibacillus	GGB2722	GGB796	Herbaspirillum	Lactobacillus	Meiothermus	Micrococcus	Moraxella	Paraburkholderia	Prevotella	Pseudomonas	Rothia	Staphylococcus	Streptococcus	Stutzerimonas
SRR20002384	0	4619	0	930	16364	2001836	38548	165	0	7919	0	0	11439	0	0	1691	0	93043	0	0	0	84873
SRR20002386	0	0	0	0	5118	0	19468	0	0	0	0	0	0	0	0	0	0	70604	0	0	0	56177
SRR20002388	0	15144	0	431	116339	0	109386	106	0	0	1346	0	11769	7469	341	31664	0	531682	0	0	0	530670
SRR20002391	3669	128544	12472	0	454607	3238	3134146	0	65679	0	18674	0	0	12937	0	167164	0	2310380	0	0	0	2084057
SRR20002394	0	0	0	0	0	5151434	0	0	0	0	0	254	0	0	0	0	0	2816	0	47855	0	2670
SRR20002396	0	57790	0	6055	200449	0	196165	1889	0	12626	2640	0	63118	5036	4389	41896	0	1027028	0	5687	92307	983404
SRR20002397	0	72485	32077	0	258812	0	244318	0	0	0	1222	0	0	210349	0	50337	0	1050701	22197	347	0	1270866
SRR20002401	5258	43038	0	0	261859	0	1077243	0	0	0	0	0	0	2810	0	66257	0	1458582	0	647024	637638	1314830
SRR20002402	0	0	0	0	41429	0	20260	0	0	0	0	0	0	0	0	2683	0	228967	0	0	0	280785
SRR20002403	0	0	0	0	8811	0	0	0	0	0	0	0	0	0	0	0	0	55170	0	0	0	71853
SRR20002406	0	1617	0	990	28116	0	463427	0	0	5552	0	0	14233	1947	0	5565	0	189569	0	0	0	162550
SRR20002410	0	4766	0	0	29120	1587690	14507	0	0	0	196	0	0	148	2287	6377	49	177485	0	0	0	195205
SRR20002412	0	2550	0	0	52000	268471	138390	0	9445	0	249	6476	0	0	0	15361	24686	289791	28190	1238545	149163	277294
SRR20002416	0	13495	0	0	18292	0	16048	0	0	0	0	0	0	0	0	0	0	120844	0	0	0	169684
SRR20002417	0	4875	0	0	4406	0	3139	0	0	0	0	0	0	0	0	0	0	71236	0	0	0	217545
SRR20002419	4121	21254	0	0	124942	0	895896	0	10137	0	5323	0	0	0	2885	48841	0	598554	0	1839	0	607124
SRR20002420	0	0	0	0	60983	0	132025	0	0	0	0	0	0	0	0	1423	0	529425	0	0	0	570288
SRR20002421	0	569	0	0	7122	0	37712	0	0	0	0	0	0	0	0	0	0	77153	0	766056	6445	171556
SRR20002422	266	20885	0	0	106102	1549	3321778	0	62245	0	2469	0	0	0	0	31895	0	479114	0	5329496	102743	568515
SRR20002425	10164	100118	0	0	362278	0	337649	0	0	0	13774	0	0	36984	16077	114427	0	2067960	0	2427	0	1635372
SRR20002427	0	6193	0	0	34933	503354	28611	0	0	0	603	1631	0	0	0	10192	16229111	181908	4477	0	42697	178051
SRR20002430	0	692	0	0	48367	4668	624424	0	914	0	0	0	0	0	0	202	0	2438210	82246	663	24678	629338
SRR20002433	131	62942	0	0	187536	0	1923722	0	35567	0	1547	0	0	0	0	45338	0	909801	0	3295	0	1190960
SRR20002435	0	0	0	0	538	3718996	1923	0	0	0	0	5206	641	0	0	0	0	14036	0	0	0	16203
SRR20002439	0	0	0	0	1924	0	17492	0	0	0	0	0	0	0	0	0	0	37374	0	0	0	51714
SRR20002441	0	0	0	0	0	0	0	0	0	714	0	3981	1488	0	0	0	4016	7109	0	59186	0	9407
SRR20002442	0	58482	0	0	306995	0	117842	0	0	0	2975	0	0	0	0	41551	0	1330492	0	0	0	1309275
SRR20002443	0	20515	0	0	111815	1178462	901099	0	69964	0	1335	0	0	463	0	49401	544	610528	0	865665	0	684501
SRR20002446	0	0	82114	0	25000	135805	403869	0	563	0	0	0	0	15625	0	2199	0	181984	0	453655	1630956	224695
SRR20002448	0	51903	0	0	218642	0	557292	0	0	0	7313	0	0	6672	0	59625	0	990386	11614	67933	756607	1142176
SRR20002450	0	0	817	0	0	0	21082	0	0	0	0	0	0	0	0	0	0	1988	0	2086804	0	4445
SRR20002455	156	60444	0	0	252924	0	624372	0	4310	0	5536	0	0	0	5644	70612	0	1114965	0	0	0	1265392
SRR20002456	0	12989	0	0	94904	0	47040	0	0	0	0	33456	0	0	0	10112	0	636749	0	0	0	901615
SRR20002459	0	5522	0	0	95001	0	70458	0	0	0	0	0	0	0	101239	13628	0	512288	0	1107543	0	583830
SRR20002464	0	0	0	749	56489	0	42321	0	0	3786	0	0	12553	0	0	8214	0	288705	0	0	0	243274
SRR20002465	0	2902	0	0	25416	7748946	26355	0	0	0	0	0	0	0	0	8755	211684	132128	0	0	13392	117489
SRR20002466	0	30480	0	0	184598	0	193333	0	0	0	0	0	0	0	0	18492	0	818741	0	1681998	0	759851
SRR20002468	0	0	0	0	0	3276404	0	0	0	0	0	0	0	0	0	0	34985	96	0	32267	0	0
SRR20002473	0	7161	0	0	49749	667	46271	0	386	0	294	0	0	0	0	12184	0	272009	0	8808206	37992	273856
SRR20002474	0	39148	11232	0	218405	0	228403	0	0	0	0	0	0	1117	0	44980	0	1091206	0	44674	21556	1369388
SRR20002475	0	46781	27986	0	259222	0	712730	0	6440	0	0	0	0	0	0	72373	0	1277652	0	20147	628441	1398788
SRR20002477	0	29157	0	1295	163874	13406	201902	1938	0	0	0	0	20489	5248	285	38385	0	783601	0	0	7634	738503
SRR20002478	0	1058	0	0	24312	0	42110	0	0	0	0	0	9427	0	0	6764	0	227369	0	0	0	227298
SRR20002479	0	0	0	0	433	0	2826	0	0	0	0	0	0	0	0	0	0	19046	0	264327	0	35239
SRR20002481	0	0	0	0	0	0	0	0	0	5014	0	0	20165	0	0	0	0	24641	0	0	0	0
SRR20002482	0	0	0	524	31163	0	39107	0	0	5575	0	0	8131	0	0	4444	0	162265	0	0	0	187294
SRR20002486	0	10215	0	0	64500	0	96633	0	0	0	0	0	0	402	0	17298	0	352850	0	0	0	298577
SRR20002487	588	34844	0	9275	146482	0	407333	2292	0	25102	0	0	59530	0	1162	56353	0	863853	0	144	0	746247
