feature	Acidovorax	Acinetobacter	Alcaligenes	Anoxybacillus	Aquabacterium	Corynebacterium	Cutibacterium	Effusibacillus	GGB2722	GGB796	Herbaspirillum	Lactobacillus	Meiothermus	Micrococcus	Moraxella	Paraburkholderia	Prevotella	Pseudomonas	Rothia	Staphylococcus	Streptococcus	Stutzerimonas
SRR20002340	0	0.0168394093401096	0	0	0.0509877679512319	0	0.0667667106860352	0	0	0	0	0	0	0	0	0.00671095281924047	0	0.355317673109502	0	0	0	0.503377486093881
SRR20002343	0	0.0197012930985414	0	0.00709475015574416	0.052258987134963	0	0.130296528249655	0.0022836588945717	0	0.0218575695588564	8.36131232563425e-05	0	0.0415498340102856	0.000101866692417938	0.000492846367363089	0.0109674509420608	0	0.242532033051129	0	0.226658101228406	0	0.244121467492749
SRR20002345	0	0.00680995608079566	0.0838194708880691	0.000840090997358971	0.0357950086136494	0	0.442995180764197	0.000751934244857829	0.0564480236358049	0.00100538490829861	0	0	0.0111320857520322	0.000911718358766148	0.0134428334070014	0.00862176100459517	0	0.171238369736766	0	0	0	0.166188181607808
SRR20002351	0	0.0176443863406674	0.00591251914021185	0	0.0342842437075034	0.00562282944739825	0.364250754131696	0	0.019903558886497	0	0.00041565156548898	0	0	0	0	0.0151308024721092	0	0.199636225730008	0.0047250401574139	0.00665901849694695	0.106278125171728	0.219536844752331
SRR20002352	0	0.000115846907152624	0	0	0.00335911856516814	0	0.0137231649860951	0	5.45551688592912e-05	0	0	0	0	0	0	0.000753943598790245	0	0.0223754601573883	0	0.925950413989801	0.00629052018905685	0.0273769764376888
SRR20002353	0.000150219942444527	0.0186284526008892	3.77516085724465e-05	0	0.0885644872191143	0	0.0705628686188967	0	0	0	0.000120726498247303	0	0	0	0	0.0115181730738225	0	0.292602100405122	0	0	0	0.517815220032891
SRR20002355	0	0.0139866700952831	0	0	0.0675483770829424	0	0.194360852613509	0	0	0	0	0	0	0	0	0.0104572801341794	0	0.333870792126229	0	0	0	0.379776027947857
SRR20002356	0	0	0	0	0.00125006942687345	0	0.0230520362130572	0	0	0.00194935232441172	0	0	0.00400053072987701	0	0	0	0	0.947911331082874	0	0	0.00662062379274381	0.0152160564301627
SRR20002360	0	0.0138546273778701	0	0	0.0597976763782587	0	0.20813595064596	0	0	0	0	0	0	0.00526220425342409	0	0.0164971904348168	0	0.421054929509821	0	0	0	0.275397421399849
SRR20002363	0	5.85313948011935e-05	0	0	0.00387311897403734	0	0.00212320528029667	0	0	0	1.97697402152426e-05	0	0	0	0	0.000764278711075164	0	0.0170441736371746	0	0.941483707983955	0.0104913798098968	0.0241418344685485
