name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas aeruginosa	138123	S	3046	136323	139369	0.98625
Pseudomonas paraeruginosa	138137	S	23	617	640	0.00453
Pseudoxanthomonas taiwanensis	141040	S	1	29	30	0.00021
Paracoccus chinensis	121822	S	2	8	10	0.00007
Cutibacterium acnes	48418	S	5	210	215	0.00152
Cutibacterium modestum	48421	S	1	5	6	0.00004
UBA3913 sp002391425	44759	S	4	18	22	0.00016
Yimella indica	43553	S	1	3	4	0.00003
Winkia neuii	42688	S	1	24	25	0.00018
Gordonia otitidis	46320	S	1	0	1	0.00001
Mycobacterium sp023404955	46761	S	1	9	10	0.00007
Enterococcus faecalis	55088	S	8	673	681	0.00482
Streptococcus oralis_BD	56048	S	3	62	65	0.00046
Streptococcus sp000187445	56205	S	1	220	221	0.00156
Sphingobacterium sp000814685	90242	S	1	1	2	0.00001
QFOI01 sp003241175	83699	S	1	0	1	0.00001
TA-21 sp021324715	38666	S	1	0	1	0.00001
