#Classification	S-1-POLCOM-B_bracken_P.kreport
k__Bacteria	17182
k__Bacteria|p__Proteobacteria	13285
k__Bacteria|p__Actinobacteria	1246
k__Bacteria|p__Cyanobacteria	49
k__Bacteria|p__Firmicutes	1721
k__Bacteria|p__Acidobacteria	752
k__Bacteria|p__Bacteroidetes	107
k__Bacteria|p__Planctomycetes	18
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	758
k__Eukaryota|k__Viridiplantae	482
k__Eukaryota|k__Viridiplantae|p__Streptophyta	482
k__Eukaryota|k__Metazoa	246
k__Eukaryota|k__Metazoa|p__Chordata	246
k__Eukaryota|k__Fungi	29
k__Eukaryota|k__Fungi|p__Ascomycota	29
