Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
NS29_paired_1 - illumina_universal_adapter	(1, 0.0006485323445055268)	(2, 0.000798605944886971)	(3, 0.0009647588595949985)	(4, 0.0010880336027654705)	(5, 0.0013774612606439701)	(6, 0.0017526452615975806)	(7, 0.0021653476626465524)	(8, 0.0024601350919672463)	(9, 0.002829959321478662)	(10, 0.003071149036377412)	(11, 0.0034141744086778557)	(12, 0.003810797495400244)	(13, 0.0041055849247209385)	(14, 0.004416451668368216)	(15, 0.0047219586405732985)	(16, 0.005070343784315937)	(17, 0.0053651312136366305)	(18, 0.00560632092853538)	(19, 0.005868949729202907)	(20, 0.006061901501121908)	(21, 0.006281652130251879)	(22, 0.0064156464163067405)	(23, 0.006662195902647684)	(24, 0.006790830417260351)	(25, 0.006989141960621545)	(26, 0.0071284960181186)	(27, 0.007267850075615655)	(28, 0.007417923675997099)	(29, 0.007594796133589516)	(30, 0.0077609490482975435)	(31, 0.007948541048774349)	(32, 0.008103974420597987)	(33, 0.008275487106748209)	(34, 0.00850595727876257)	(35, 0.00878466539375668)	(36, 0.00907409305163518)	(37, 0.00960471042441243)	(38, 0.010001333511134818)	(39, 0.010773140598810817)	(40, 0.011432392486200732)	(41, 0.012284596145509648)	(42, 0.013260074547989035)	(43, 0.01449818175113595)	(44, 0.015918521183317477)	(45, 0.017413897415689723)	(46, 0.01940237262074386)	(47, 0.021744592740982827)	(48, 0.024252965775929825)	(49, 0.02727051709788529)	(50, 0.03036310522003148)	(51, 0.03385767620034225)	(52, 0.03764167483853153)	(53, 0.04203668742113097)	(54, 0.046994476005160817)	(55, 0.05223097270418478)	(56, 0.05777297637541383)	(57, 0.06408678713431887)	(58, 0.07132247858128136)	(59, 0.07898159197217722)	(60, 0.08692477324950937)	(61, 0.09542537075682975)	(62, 0.1042314752363552)	(63, 0.11376114886057691)	(64, 0.12421806294429825)	(65, 0.13431051256995039)
NS29_paired_1 - polya	(1, 5.359771442194436e-06)	(2, 1.607931432658331e-05)	(3, 1.607931432658331e-05)	(4, 1.607931432658331e-05)	(5, 2.1439085768777743e-05)	(6, 2.679885721097218e-05)	(7, 3.215862865316662e-05)	(8, 3.751840009536105e-05)	(9, 3.751840009536105e-05)	(10, 4.287817153755549e-05)	(11, 4.823794297974993e-05)	(12, 4.823794297974993e-05)	(13, 4.823794297974993e-05)	(14, 4.823794297974993e-05)	(15, 5.359771442194436e-05)	(16, 5.359771442194436e-05)	(17, 5.359771442194436e-05)	(18, 5.359771442194436e-05)	(19, 5.359771442194436e-05)	(20, 6.431725730633324e-05)	(21, 6.967702874852766e-05)	(22, 6.967702874852766e-05)	(23, 7.50368001907221e-05)	(24, 8.039657163291655e-05)	(25, 8.039657163291655e-05)	(26, 8.039657163291655e-05)	(27, 8.039657163291655e-05)	(28, 8.039657163291655e-05)	(29, 8.575634307511097e-05)	(30, 8.575634307511097e-05)	(31, 9.111611451730541e-05)	(32, 9.111611451730541e-05)	(33, 9.111611451730541e-05)	(34, 9.111611451730541e-05)	(35, 0.00010183565740169428)	(36, 0.00010719542884388872)	(37, 0.00010719542884388872)	(38, 0.00011255520028608316)	(39, 0.00012327474317047203)	(40, 0.00012327474317047203)	(41, 0.00012863451461266647)	(42, 0.00012863451461266647)	(43, 0.00013399428605486092)	(44, 0.00013935405749705533)	(45, 0.00013935405749705533)	(46, 0.00013935405749705533)	(47, 0.00013935405749705533)	(48, 0.0001500736003814442)	(49, 0.0001500736003814442)	(50, 0.0001500736003814442)	(51, 0.0001500736003814442)	(52, 0.0001607931432658331)	(53, 0.00016615291470802753)	(54, 0.00016615291470802753)	(55, 0.00017151268615022195)	(56, 0.00017151268615022195)	(57, 0.00017151268615022195)	(58, 0.00017151268615022195)	(59, 0.0001768724575924164)	(60, 0.00018223222903461083)	(61, 0.00025726902922533295)	(62, 0.0002840678864363051)	(63, 0.0004555805725865271)	(64, 0.001414979660739331)	(65, 0.22483169245717222)
NS29_paired_2 - illumina_universal_adapter	(1, 0.0005734955443148046)	(2, 0.0007182093732540544)	(3, 0.0008682829736354987)	(4, 0.0009969174882481651)	(5, 0.0012595462889156924)	(6, 0.0015811325754473587)	(7, 0.0019509568049587748)	(8, 0.002224305148510691)	(9, 0.0025458914350423574)	(10, 0.002765642064172329)	(11, 0.0030657892649352176)	(12, 0.0034409732658888283)	(13, 0.0037143216094407444)	(14, 0.003982310181550466)	(15, 0.004261018296544577)	(16, 0.004582604583076243)	(17, 0.004861312698070354)	(18, 0.005081063327200325)	(19, 0.005311533499214686)	(20, 0.005504485271133686)	(21, 0.005718876128821463)	(22, 0.005868949729202907)	(23, 0.006099419901217268)	(24, 0.006206615330061157)	(25, 0.006421006187748934)	(26, 0.006555000473803796)	(27, 0.006694354531300851)	(28, 0.006822989045913518)	(29, 0.006999861503505934)	(30, 0.0071767339610983505)	(31, 0.00736968573301735)	(32, 0.007535838647725377)	(33, 0.007718070876759988)	(34, 0.007969980134543126)	(35, 0.008259407792421626)	(36, 0.008527396364531347)	(37, 0.009058013737308598)	(38, 0.009465356366915374)	(39, 0.01022108414026479)	(40, 0.01092321419919226)	(41, 0.011780777629943371)	(42, 0.012766975575307147)	(43, 0.013999723007011867)	(44, 0.015462940610730948)	(45, 0.01700119501464075)	(46, 0.019005749534021472)	(47, 0.021390847825797994)	(48, 0.023926019717955962)	(49, 0.027018607840102155)	(50, 0.03013263504801712)	(51, 0.033627206028327895)	(52, 0.03751840009536105)	(53, 0.04197772993526683)	(54, 0.04699983577660301)	(55, 0.0523060095043755)	(56, 0.058019525861754774)	(57, 0.06448341022104126)	(58, 0.07181021778252106)	(59, 0.07960868523091397)	(60, 0.08769658033718536)	(61, 0.09642228824507791)	(62, 0.10536774678210042)	(63, 0.11502605492093479)	(64, 0.12563840237647977)	(65, 0.13632578663221548)
NS30_paired_1 - illumina_universal_adapter	(1, 0.0009230365875920831)	(2, 0.0010282531934315952)	(3, 0.0010856440693440563)	(4, 0.0011860781021908631)	(5, 0.001329555291972016)	(6, 0.00153042335766563)	(7, 0.001683465693432193)	(8, 0.001898681478103922)	(9, 0.002133027554746472)	(10, 0.002343460766425496)	(11, 0.002463025091243123)	(12, 0.0026256325729950964)	(13, 0.002812152919710595)	(14, 0.0029364998175209277)	(15, 0.0030704118613166702)	(16, 0.0031899761861342974)	(17, 0.0032808450729956942)	(18, 0.003409974543798732)	(19, 0.003534321441609064)	(20, 0.0036012774635069355)	(21, 0.0036969289233610373)	(22, 0.00383084096715678)	(23, 0.004012578740879573)	(24, 0.004108230200733675)	(25, 0.004194316514602367)	(26, 0.004323445985405404)	(27, 0.004409532299274097)	(28, 0.00457213978102607)	(29, 0.004729964689785338)	(30, 0.0049308327554789515)	(31, 0.005251265145990193)	(32, 0.00561474069343578)	(33, 0.006016476824823007)	(34, 0.006614298448911145)	(35, 0.007240815510955512)	(36, 0.008063418065700788)	(37, 0.009024715237234512)	(38, 0.010272966788330541)	(39, 0.011769912135047236)	(40, 0.013678158759136567)	(41, 0.015471623631400977)	(42, 0.017738563229943192)	(43, 0.020445499543814274)	(44, 0.023448955383233074)	(45, 0.02650501952557163)	(46, 0.03040281651462628)	(47, 0.03442017782849856)	(48, 0.03923622883215259)	(49, 0.04444445082120844)	(50, 0.05024571186135971)	(51, 0.05618566751829944)	(52, 0.06312039835772182)	(53, 0.070609907664298)	(54, 0.07871158631394043)	(55, 0.08762151979935003)	(56, 0.09724405666067266)	(57, 0.10691441925192237)	(58, 0.11789042427018055)	(59, 0.12940207746362173)	(60, 0.14152590000012913)	(61, 0.154826235492842)	(62, 0.1689252606753366)	(63, 0.18305298129578745)	(64, 0.19874938585784557)	(65, 0.21422579206223927)
NS30_paired_1 - polya	(1, 4.782572992705094e-06)	(2, 1.4347718978115281e-05)	(3, 1.9130291970820376e-05)	(4, 2.8695437956230562e-05)	(5, 2.8695437956230562e-05)	(6, 2.8695437956230562e-05)	(7, 2.8695437956230562e-05)	(8, 4.304315693434584e-05)	(9, 4.304315693434584e-05)	(10, 4.7825729927050935e-05)	(11, 5.7390875912461124e-05)	(12, 6.217344890516622e-05)	(13, 6.217344890516622e-05)	(14, 6.217344890516622e-05)	(15, 6.217344890516622e-05)	(16, 6.695602189787131e-05)	(17, 7.17385948905764e-05)	(18, 7.17385948905764e-05)	(19, 7.17385948905764e-05)	(20, 7.17385948905764e-05)	(21, 7.17385948905764e-05)	(22, 7.17385948905764e-05)	(23, 7.65211678832815e-05)	(24, 8.13037408759866e-05)	(25, 8.608631386869169e-05)	(26, 8.608631386869169e-05)	(27, 8.608631386869169e-05)	(28, 9.086888686139678e-05)	(29, 9.565145985410187e-05)	(30, 0.00010043403284680696)	(31, 0.00010521660583951207)	(32, 0.00010999917883221716)	(33, 0.00011956432481762734)	(34, 0.00011956432481762734)	(35, 0.00012434689781033243)	(36, 0.00012912947080303752)	(37, 0.00013391204379574261)	(38, 0.00013391204379574261)	(39, 0.00013391204379574261)	(40, 0.0001482597627738579)	(41, 0.0001578249087592681)	(42, 0.0001578249087592681)	(43, 0.0001578249087592681)	(44, 0.0001578249087592681)	(45, 0.0001578249087592681)	(46, 0.0001626074817519732)	(47, 0.00017217262773738337)	(48, 0.00019130291970820374)	(49, 0.00019608549270090883)	(50, 0.00021521578467172922)	(51, 0.00021999835766443431)	(52, 0.0002343460766425496)	(53, 0.0002343460766425496)	(54, 0.00023912864963525468)	(55, 0.00024391122262795977)	(56, 0.00025825894160607505)	(57, 0.00026304151459878014)	(58, 0.0002726066605841903)	(59, 0.0002869543795623056)	(60, 0.0002965195255477158)	(61, 0.0005739087591246112)	(62, 0.0006217344890516622)	(63, 0.0007556465328474048)	(64, 0.002907804379564697)	(65, 0.6395734863144522)
NS30_paired_2 - illumina_universal_adapter	(1, 0.0008512979927015067)	(2, 0.0009469494525556085)	(3, 0.0010043403284680696)	(4, 0.0010999917883221715)	(5, 0.0012482515510960294)	(6, 0.0014156416058407077)	(7, 0.0015591187956218605)	(8, 0.0017599868613154745)	(9, 0.0019225943430674476)	(10, 0.0021186798357683565)	(11, 0.0022238964416078687)	(12, 0.002458242518250418)	(13, 0.0026256325729950964)	(14, 0.0029508475364990426)	(15, 0.003084759580294785)	(16, 0.0032043239051124128)	(17, 0.0033047579379592196)	(18, 0.0034434525547476676)	(19, 0.0035725820255507047)	(20, 0.0036538857664266916)	(21, 0.0037591023722662034)	(22, 0.003883449270076536)	(23, 0.004055621897813919)	(24, 0.0041512733576680215)	(25, 0.004223011952558598)	(26, 0.004352141423361635)	(27, 0.004447792883215737)	(28, 0.004615182937960416)	(29, 0.004773007846719683)	(30, 0.004978658485406002)	(31, 0.005303873448909949)	(32, 0.005705609580297177)	(33, 0.00612169343066252)	(34, 0.006714732481757951)	(35, 0.0073508146897877285)	(36, 0.0081686346715403)	(37, 0.009129931843074023)	(38, 0.010363835675191937)	(39, 0.011884693886872157)	(40, 0.01381207080293231)	(41, 0.01563423111315295)	(42, 0.017968126733593038)	(43, 0.02069419333943494)	(44, 0.023711996897831853)	(45, 0.026801539051119344)	(46, 0.030728031478130226)	(47, 0.03480278366791496)	(48, 0.03964753010952522)	(49, 0.0449800989963914)	(50, 0.050862663777418674)	(51, 0.05691740118618332)	(52, 0.0639430009124671)	(53, 0.07149468366794845)	(54, 0.07972549178839392)	(55, 0.08871672901467949)	(56, 0.09856882937965197)	(57, 0.10843527746360258)	(58, 0.11957388996361275)	(59, 0.13131510666070376)	(60, 0.1436637101278683)	(61, 0.15720795684320912)	(62, 0.1716465447081858)	(63, 0.18608513257316248)	(64, 0.2020445786498194)	(65, 0.21809011104034498)
NS30_paired_2 - polya	(1, 1.9130291970820376e-05)	(2, 2.3912864963525467e-05)	(3, 2.8695437956230562e-05)	(4, 2.8695437956230562e-05)	(5, 3.3478010948935654e-05)	(6, 4.304315693434584e-05)	(7, 4.7825729927050935e-05)	(8, 4.7825729927050935e-05)	(9, 5.260830291975603e-05)	(10, 5.7390875912461124e-05)	(11, 5.7390875912461124e-05)	(12, 5.7390875912461124e-05)	(13, 6.217344890516622e-05)	(14, 6.695602189787131e-05)	(15, 7.65211678832815e-05)	(16, 8.608631386869169e-05)	(17, 9.086888686139678e-05)	(18, 9.565145985410187e-05)	(19, 0.00010043403284680696)	(20, 0.00010043403284680696)	(21, 0.00010521660583951207)	(22, 0.00010521660583951207)	(23, 0.00011478175182492225)	(24, 0.00011478175182492225)	(25, 0.00011478175182492225)	(26, 0.00011956432481762734)	(27, 0.00012912947080303752)	(28, 0.00013391204379574261)	(29, 0.0001386946167884477)	(30, 0.0001434771897811528)	(31, 0.0001434771897811528)	(32, 0.0001434771897811528)	(33, 0.0001434771897811528)	(34, 0.0001482597627738579)	(35, 0.0001482597627738579)	(36, 0.000153042335766563)	(37, 0.0001578249087592681)	(38, 0.00016739005474467828)	(39, 0.00018652034671549865)	(40, 0.00018652034671549865)	(41, 0.00018652034671549865)	(42, 0.00020086806569361392)	(43, 0.000205650638686319)	(44, 0.00021521578467172922)	(45, 0.0002247809306571394)	(46, 0.0002247809306571394)	(47, 0.0002343460766425496)	(48, 0.00023912864963525468)	(49, 0.00024391122262795977)	(50, 0.00025347636861336995)	(51, 0.0002726066605841903)	(52, 0.0002917369525550107)	(53, 0.0005308656021902654)	(54, 0.0005452133211683806)	(55, 0.0005499958941610857)	(56, 0.0005691261861319061)	(57, 0.5026292912413345)	(58, 0.5259682474457353)	(59, 0.5260686814785822)	(60, 0.5261021594895311)	(61, 0.5261452026464655)	(62, 0.5261452026464655)	(63, 0.5261547677924509)	(64, 0.5261882458033998)	(65, 0.5262217238143487)
NS32_paired_1 - illumina_universal_adapter	(1, 0.0005427118958585968)	(2, 0.0005479302794726218)	(3, 0.0005583670467006717)	(4, 0.0005583670467006717)	(5, 0.0005688038139287217)	(6, 0.0005792405811567716)	(7, 0.0005948957319988465)	(8, 0.0006366428009110462)	(9, 0.0006627347189811711)	(10, 0.0006731714862092211)	(11, 0.000678389869823246)	(12, 0.000683608253437271)	(13, 0.0006992634042793459)	(14, 0.0007044817878933708)	(15, 0.0007149185551214209)	(16, 0.0007305737059634958)	(17, 0.0007357920895775207)	(18, 0.0007410104731915457)	(19, 0.0007462288568055707)	(20, 0.0007514472404195956)	(21, 0.0007566656240336206)	(22, 0.0007723207748756955)	(23, 0.0007775391584897204)	(24, 0.0007827575421037454)	(25, 0.0007984126929458204)	(26, 0.0008192862274019202)	(27, 0.0008297229946299702)	(28, 0.00087147006354217)	(29, 0.0009027803652263197)	(30, 0.0009601825849805944)	(31, 0.0010488951064190188)	(32, 0.0011532627786995182)	(33, 0.0013045959035062425)	(34, 0.0014350554938568666)	(35, 0.00170119305817214)	(36, 0.002009077691399613)	(37, 0.0024630770658197855)	(38, 0.002901421289397883)	(39, 0.0034441331852564797)	(40, 0.004007718615571177)	(41, 0.004790476157674922)	(42, 0.005609762385076842)	(43, 0.006632565573425737)	(44, 0.00779104673573928)	(45, 0.009064332337561373)	(46, 0.010786398930189612)	(47, 0.012404097850537353)	(48, 0.014376646856638791)	(49, 0.01647443706947683)	(50, 0.018906203833612464)	(51, 0.021645855230975574)	(52, 0.02493865529142533)	(53, 0.028398443627523886)	(54, 0.03232266810527066)	(55, 0.03650259338010466)	(56, 0.04097474813732406)	(57, 0.04570782207524471)	(58, 0.05121321678804105)	(59, 0.05706302481936304)	(60, 0.06337726899233326)	(61, 0.07023944344477609)	(62, 0.0778269732195684)	(63, 0.08565976702421987)	(64, 0.09424400806929095)	(65, 0.10266126083871323)
NS32_paired_1 - polya	(1, 1.565515084207491e-05)	(2, 2.6091918070124847e-05)	(3, 2.6091918070124847e-05)	(4, 3.131030168414982e-05)	(5, 3.131030168414982e-05)	(6, 3.131030168414982e-05)	(7, 4.174706891219976e-05)	(8, 4.174706891219976e-05)	(9, 4.6965452526224726e-05)	(10, 4.6965452526224726e-05)	(11, 4.6965452526224726e-05)	(12, 6.262060336829964e-05)	(13, 6.262060336829964e-05)	(14, 7.305737059634958e-05)	(15, 7.827575421037454e-05)	(16, 7.827575421037454e-05)	(17, 7.827575421037454e-05)	(18, 7.827575421037454e-05)	(19, 7.827575421037454e-05)	(20, 7.827575421037454e-05)	(21, 7.827575421037454e-05)	(22, 8.349413782439951e-05)	(23, 8.349413782439951e-05)	(24, 8.349413782439951e-05)	(25, 8.349413782439951e-05)	(26, 8.349413782439951e-05)	(27, 9.914928866647443e-05)	(28, 9.914928866647443e-05)	(29, 9.914928866647443e-05)	(30, 9.914928866647443e-05)	(31, 0.00010436767228049939)	(32, 0.00010958605589452436)	(33, 0.00010958605589452436)	(34, 0.00012524120673659928)	(35, 0.0001356779739646492)	(36, 0.0001356779739646492)	(37, 0.0001356779739646492)	(38, 0.00014611474119269915)	(39, 0.00014611474119269915)	(40, 0.00015133312480672411)	(41, 0.00016176989203477407)	(42, 0.000172206659262824)	(43, 0.000172206659262824)	(44, 0.0001878618101048989)	(45, 0.00020351696094697382)	(46, 0.00020351696094697382)	(47, 0.00020873534456099878)	(48, 0.00021917211178904873)	(49, 0.00023482726263112364)	(50, 0.0002400456462451486)	(51, 0.00025048241347319856)	(52, 0.0002557007970872235)	(53, 0.0002609191807012485)	(54, 0.00027657433154332337)	(55, 0.00029744786599942327)	(56, 0.00030266624961344823)	(57, 0.0003183214004555231)	(58, 0.00032353978406954813)	(59, 0.000339194934911623)	(60, 0.00034963170213967294)	(61, 0.00041747068912199756)	(62, 0.000866251679928145)	(63, 0.11919310012794433)	(64, 0.18514303224199188)	(65, 0.18613452512865664)
NS32_paired_2 - illumina_universal_adapter	(1, 0.0004696545252622473)	(2, 0.00047487290887627225)	(3, 0.00048530967610432217)	(4, 0.00048530967610432217)	(5, 0.0004905280597183472)	(6, 0.0004957464433323721)	(7, 0.0005061832105604221)	(8, 0.0005479302794726218)	(9, 0.0006001141156128715)	(10, 0.0006209876500689713)	(11, 0.0006366428009110462)	(12, 0.0007149185551214209)	(13, 0.0007201369387354458)	(14, 0.0008819068307702199)	(15, 0.0008819068307702199)	(16, 0.0008975619816122948)	(17, 0.0008975619816122948)	(18, 0.0009132171324543697)	(19, 0.0009132171324543697)	(20, 0.0009236538996824196)	(21, 0.0009340906669104695)	(22, 0.0009549642013665695)	(23, 0.0009601825849805944)	(24, 0.0009706193522086443)	(25, 0.0009862745030507192)	(26, 0.0009967112702787692)	(27, 0.001007148037506819)	(28, 0.0010384583391909688)	(29, 0.0010749870244891437)	(30, 0.0011376076278574435)	(31, 0.0012211017656818428)	(32, 0.0013254694379623423)	(33, 0.0014715841791550415)	(34, 0.0016072621531196907)	(35, 0.001883836484663014)	(36, 0.002191721117890487)	(37, 0.0026561572595387097)	(38, 0.0031153750175729068)	(39, 0.003637213378975404)	(40, 0.004200798809290101)	(41, 0.004978337967779821)	(42, 0.005823716113251866)	(43, 0.006862174452442835)	(44, 0.008015437231142354)	(45, 0.009283504449350421)	(46, 0.010995134274750611)	(47, 0.012659798647624575)	(48, 0.014674094722638214)	(49, 0.016803195237160402)	(50, 0.019250617152138112)	(51, 0.02207376268732562)	(52, 0.0253926546658455)	(53, 0.02892028198892638)	(54, 0.03287581676835731)	(55, 0.03708183396126143)	(56, 0.041595735787393034)	(57, 0.04640186709591003)	(58, 0.05193857211039052)	(59, 0.05785621912869484)	(60, 0.06423308390503335)	(61, 0.07114744219361643)	(62, 0.07875584550286484)	(63, 0.08655211062221814)	(64, 0.09510504136560508)	(65, 0.10377277654850055)
NS32_paired_2 - polya	(1, 2.6091918070124847e-05)	(2, 3.131030168414982e-05)	(3, 3.652868529817479e-05)	(4, 3.652868529817479e-05)	(5, 3.652868529817479e-05)	(6, 4.174706891219976e-05)	(7, 4.174706891219976e-05)	(8, 5.2183836140249695e-05)	(9, 5.740221975427466e-05)	(10, 6.78389869823246e-05)	(11, 6.78389869823246e-05)	(12, 7.305737059634958e-05)	(13, 7.827575421037454e-05)	(14, 8.349413782439951e-05)	(15, 8.871252143842448e-05)	(16, 8.871252143842448e-05)	(17, 9.393090505244945e-05)	(18, 9.393090505244945e-05)	(19, 9.914928866647443e-05)	(20, 9.914928866647443e-05)	(21, 9.914928866647443e-05)	(22, 0.00010958605589452436)	(23, 0.00010958605589452436)	(24, 0.00011480443950854933)	(25, 0.00011480443950854933)	(26, 0.0001200228231225743)	(27, 0.00012524120673659928)	(28, 0.00013045959035062424)	(29, 0.0001356779739646492)	(30, 0.00014611474119269915)	(31, 0.00015655150842074908)	(32, 0.00015655150842074908)	(33, 0.00016176989203477407)	(34, 0.00016176989203477407)	(35, 0.00016176989203477407)	(36, 0.000172206659262824)	(37, 0.00019308019371892387)	(38, 0.00019308019371892387)	(39, 0.00019308019371892387)	(40, 0.00019829857733294885)	(41, 0.0002243904954030737)	(42, 0.00022960887901709865)	(43, 0.0002400456462451486)	(44, 0.0002400456462451486)	(45, 0.00025048241347319856)	(46, 0.0002609191807012485)	(47, 0.0002609191807012485)	(48, 0.00026613756431527344)	(49, 0.0002713559479292984)	(50, 0.00028701109877137334)	(51, 0.0003078846332274732)	(52, 0.0003183214004555231)	(53, 0.0003287581676835731)	(54, 0.000339194934911623)	(55, 0.00034963170213967294)	(56, 0.0003548500857536979)	(57, 0.09087815063824485)	(58, 0.10085570010826059)	(59, 0.10089744717717279)	(60, 0.10090788394440084)	(61, 0.10091832071162889)	(62, 0.10092353909524292)	(63, 0.10093397586247096)	(64, 0.10093397586247096)	(65, 0.10094963101331303)
NS40_paired_1 - illumina_universal_adapter	(1, 0.00030530680804523563)	(2, 0.00036200664382506515)	(3, 0.0004448756345802005)	(4, 0.0005059369961892476)	(5, 0.0005844444611151654)	(6, 0.0006847595551871714)	(7, 0.0007763515976007421)	(8, 0.0008199668558929186)	(9, 0.0009115588983064893)	(10, 0.000990066363232407)	(11, 0.0010816584056459778)	(12, 0.0011427197672550249)	(13, 0.001203781128864072)	(14, 0.0012692040163023368)	(15, 0.0013433499553990368)	(16, 0.0014262189461541723)	(17, 0.0015003648852508723)	(18, 0.0015657877726891372)	(19, 0.0016181260826397489)	(20, 0.0016791874442487961)	(21, 0.0017576949091747138)	(22, 0.0018100332191253257)	(23, 0.0018710945807343727)	(24, 0.0019408789940018553)	(25, 0.0019888557781232493)	(26, 0.0020368325622446438)	(27, 0.0021109785013413438)	(28, 0.0022025705437549144)	(29, 0.002315970215314573)	(30, 0.002394477680240491)	(31, 0.0025384080326046735)	(32, 0.002695422962456509)	(33, 0.0028437148406499093)	(34, 0.003070514183769227)	(35, 0.003371459465985245)	(36, 0.0037160200064934395)	(37, 0.004173980218561293)	(38, 0.0046886402664089765)	(39, 0.00522074641757353)	(40, 0.005957844282711313)	(41, 0.006782172664433449)	(42, 0.007789685130982727)	(43, 0.008919320320750098)	(44, 0.010249585698661483)	(45, 0.011688889222303309)	(46, 0.013416053450673497)	(47, 0.015260978876432565)	(48, 0.01736759585194469)	(49, 0.019984511349475282)	(50, 0.022457496494641693)	(51, 0.025571625936703094)	(52, 0.02871628605956902)	(53, 0.03240177538525794)	(54, 0.03648852508723488)	(55, 0.04112918856952246)	(56, 0.0461056895406598)	(57, 0.05123920544164898)	(58, 0.05705748089782533)	(59, 0.06335552419521562)	(60, 0.06963612138928904)	(61, 0.0770158230923253)	(62, 0.08491454636903847)	(63, 0.0925341319926817)	(64, 0.10151015214921164)	(65, 0.10999331988703998)
NS40_paired_2 - illumina_universal_adapter	(1, 0.0002834991788991474)	(2, 0.0003358374888497592)	(3, 0.00043179105709254754)	(4, 0.0005059369961892476)	(5, 0.0005539137803106418)	(6, 0.0006411442968949949)	(7, 0.0007414593909670008)	(8, 0.0007937977009176127)	(9, 0.000889751269160401)	(10, 0.0009551741565986658)	(11, 0.0010467661990122366)	(12, 0.0011209121381089366)	(13, 0.0011732504480595485)	(14, 0.0012473963871562485)	(15, 0.0013215423262529487)	(16, 0.001391326739520431)	(17, 0.0014698342044463487)	(18, 0.0015265340402261783)	(19, 0.0015788723501767902)	(20, 0.0016268491342981842)	(21, 0.0017009950733948844)	(22, 0.0017620564350039314)	(23, 0.001831840848271414)	(24, 0.0019103483131973316)	(25, 0.001958325097318726)	(26, 0.0020019403556109025)	(27, 0.0020717247688783846)	(28, 0.002158955285462738)	(29, 0.0022592703795347438)	(30, 0.002346500896119097)	(31, 0.002499154300141715)	(32, 0.0026648922816519855)	(33, 0.002830630263162256)	(34, 0.0030661526579400093)	(35, 0.0033670979401560276)	(36, 0.003737827635639528)	(37, 0.004195787847707381)	(38, 0.004714809421384282)	(39, 0.005246915572548835)	(40, 0.006005821066832707)	(41, 0.006847595551871714)	(42, 0.007833300389274904)	(43, 0.008976020156529927)	(44, 0.010301924008612094)	(45, 0.011732504480595485)	(46, 0.013481476338111763)	(47, 0.0153438478671877)	(48, 0.01748099552350435)	(49, 0.020154610856814772)	(50, 0.022662488208614922)	(51, 0.02579842527982241)	(52, 0.028947446928517556)	(53, 0.032663466935010994)	(54, 0.03682872410191385)	(55, 0.04155225657495657)	(56, 0.04656801127855687)	(57, 0.05175386548949666)	(58, 0.05766373298808658)	(59, 0.06403592222457356)	(60, 0.07042119603854821)	(61, 0.07788812825816883)	(62, 0.08592205883558775)	(63, 0.09358525971752316)	(64, 0.10260925665817448)	(65, 0.11154602308224146)
NS4_paired_1 - polya	(1, 2.6639776476291498e-05)	(2, 3.329972059536437e-05)	(3, 4.661960883351012e-05)	(4, 5.993949707165587e-05)	(5, 7.325938530980161e-05)	(6, 7.99193294288745e-05)	(7, 7.99193294288745e-05)	(8, 8.657927354794737e-05)	(9, 9.323921766702024e-05)	(10, 0.00011321905002423886)	(11, 0.00013985882650053037)	(12, 0.00014651877061960323)	(13, 0.00016649860297682185)	(14, 0.00017981849121496762)	(15, 0.00017981849121496762)	(16, 0.00018647843533404048)	(17, 0.00019313837945311336)	(18, 0.00019313837945311336)	(19, 0.00019979832357218624)	(20, 0.0002064582676912591)	(21, 0.00021311821181033198)	(22, 0.00021977815592940487)	(23, 0.0002330980441675506)	(24, 0.0002397579882866235)	(25, 0.0002597378206438421)	(26, 0.0002597378206438421)	(27, 0.000266397764762915)	(28, 0.00027305770888198783)	(29, 0.00027971765300106074)	(30, 0.00029303754123920645)	(31, 0.00029303754123920645)	(32, 0.0003063574294773522)	(33, 0.00032633726183457085)	(34, 0.0003396571500727166)	(35, 0.00035963698242993524)	(36, 0.00037295687066808095)	(37, 0.0003929367030252996)	(38, 0.0003995966471443725)	(39, 0.00042623642362066397)	(40, 0.0004328963677397368)	(41, 0.0004462162559778826)	(42, 0.0004728560324541741)	(43, 0.0004928358648113927)	(44, 0.0004994958089304656)	(45, 0.0005194756412876842)	(46, 0.00053279552952583)	(47, 0.0005394554736449028)	(48, 0.0005461154177639757)	(49, 0.0005594353060021215)	(50, 0.0005727551942402672)	(51, 0.00057941513835934)	(52, 0.0005927350265974859)	(53, 0.0006060549148356316)	(54, 0.0006060549148356316)	(55, 0.0006326946913119231)	(56, 0.000639354635430996)	(57, 0.0006593344677882145)	(58, 0.0006659944119072874)	(59, 0.0007725535178124534)	(60, 0.0007792134619315263)	(61, 0.0008058532384078178)	(62, 0.0011854700531949717)	(63, 0.06847088548818822)	(64, 0.10774457595836097)	(65, 0.10838393059379196)
