Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
NS13_paired_1 - illumina_universal_adapter	(1, 0.000397918499085836)	(2, 0.0004140503301298564)	(3, 0.00045169126923257064)	(4, 0.0004732003772912645)	(5, 0.000526973147437999)	(6, 0.0005538595325113664)	(7, 0.0005699913635553867)	(8, 0.0006183868566874478)	(9, 0.0006560277957901621)	(10, 0.0006882914578782029)	(11, 0.0006990460119075497)	(12, 0.0007474415050396109)	(13, 0.0007743278901129782)	(14, 0.0008012142751863455)	(15, 0.0008603643223477536)	(16, 0.0009248916465238351)	(17, 0.0009571553086118759)	(18, 0.0010055508017439369)	(19, 0.0010378144638319778)	(20, 0.0011023417880080592)	(21, 0.0011346054500961)	(22, 0.0011614918351694674)	(23, 0.0012152646053162019)	(24, 0.001252905544418916)	(25, 0.0012905464835216303)	(26, 0.0013120555915803241)	(27, 0.0013496965306830384)	(28, 0.0014088465778444464)	(29, 0.0014411102399324873)	(30, 0.001532523949181936)	(31, 0.001650824043504752)	(32, 0.001731483198724854)	(33, 0.0019573288333411395)	(34, 0.0022477017921335063)	(35, 0.002591847521072608)	(36, 0.00298438874314377)	(37, 0.0034683436744643815)	(38, 0.004231917010548013)	(39, 0.005011622177675664)	(40, 0.006124718519713071)	(41, 0.007635733360836313)	(42, 0.009211275526135636)	(43, 0.011147095251418082)	(44, 0.013394797043551588)	(45, 0.01577155348403726)	(46, 0.018804337720313088)	(47, 0.022294190502836164)	(48, 0.026009888919975525)	(49, 0.030575197105433292)	(50, 0.03590945590398936)	(51, 0.04140503301298564)	(52, 0.04758890157986012)	(53, 0.05450407982073019)	(54, 0.06141925806160026)	(55, 0.07010356044029789)	(56, 0.07931483596643353)	(57, 0.08863903430987731)	(58, 0.09956566120369378)	(59, 0.11113756133927107)	(60, 0.12267182053574564)	(61, 0.13573322640438748)	(62, 0.150133574249683)	(63, 0.1635660122323373)	(64, 0.17891813810923002)	(65, 0.19420573666194668)
NS13_paired_2 - illumina_universal_adapter	(1, 0.00039254122207116256)	(2, 0.00041942760714452985)	(3, 0.00043555943818855025)	(4, 0.0004570685462472441)	(5, 0.0005108413163939787)	(6, 0.0005323504244526726)	(7, 0.0005431049784820195)	(8, 0.0005861231945994071)	(9, 0.0006291414107167948)	(10, 0.000666782349819509)	(11, 0.0006936687348928763)	(12, 0.0007689506130983048)	(13, 0.0007904597211569986)	(14, 0.0008065915522010189)	(15, 0.0008496097683184066)	(16, 0.0009195143695091616)	(17, 0.000946400754582529)	(18, 0.00099479624771459)	(19, 0.0010270599098026309)	(20, 0.001075455402934692)	(21, 0.0010969645109933858)	(22, 0.0011292281730814265)	(23, 0.0011883782202428345)	(24, 0.0012313964363602223)	(25, 0.001263660098448263)	(26, 0.0012851692065069568)	(27, 0.0013120555915803241)	(28, 0.0013873374697857526)	(29, 0.00141422385485912)	(30, 0.0015110148411232422)	(31, 0.0016293149354460583)	(32, 0.0017099740906661603)	(33, 0.001930442448267772)	(34, 0.002236947238104159)	(35, 0.002586470244057934)	(36, 0.00298438874314377)	(37, 0.003484475505508402)	(38, 0.004264180672636054)	(39, 0.005076149501851746)	(40, 0.006194623120903826)	(41, 0.007705637962027068)	(42, 0.009313443789414433)	(43, 0.011276149899770245)	(44, 0.013583001739065159)	(45, 0.01600815367268289)	(46, 0.0191054652331348)	(47, 0.02263295895476059)	(48, 0.026386298311002667)	(49, 0.031059152036753905)	(50, 0.03644180632844204)	(51, 0.042034174423702435)	(52, 0.04831483397684103)	(53, 0.05535368958904859)	(54, 0.06240867703230017)	(55, 0.07124892044442334)	(56, 0.08055160967980843)	(57, 0.09003174905667774)	(58, 0.1011035624298904)	(59, 0.11284215815292255)	(60, 0.12461301753804276)	(61, 0.13796479636547695)	(62, 0.15247806702808062)	(63, 0.16607182332117512)	(64, 0.18168743577178686)	(65, 0.1973568209925453)
NS21_paired_1 - polya	(1, 4.790860494597898e-06)	(2, 9.581720989195796e-06)	(3, 9.581720989195796e-06)	(4, 1.4372581483793693e-05)	(5, 1.4372581483793693e-05)	(6, 1.916344197839159e-05)	(7, 1.916344197839159e-05)	(8, 3.3536023462185284e-05)	(9, 3.832688395678318e-05)	(10, 8.144462840816427e-05)	(11, 8.144462840816427e-05)	(12, 8.623548890276215e-05)	(13, 9.581720989195795e-05)	(14, 9.581720989195795e-05)	(15, 0.00010539893088115375)	(16, 0.00011018979137575164)	(17, 0.00011498065187034954)	(18, 0.00012456237285954534)	(19, 0.00012935323335414324)	(20, 0.00012935323335414324)	(21, 0.00013893495434333904)	(22, 0.00014372581483793694)	(23, 0.00014372581483793694)	(24, 0.00015330753582713273)	(25, 0.00015809839632173063)	(26, 0.00015809839632173063)	(27, 0.00015809839632173063)	(28, 0.0001676801173109264)	(29, 0.0001724709778055243)	(30, 0.0001916344197839159)	(31, 0.0002060070012677096)	(32, 0.0002251704432461012)	(33, 0.00022996130374069909)	(34, 0.00023954302472989488)	(35, 0.00023954302472989488)	(36, 0.0002491247457190907)	(37, 0.0002539156062136886)	(38, 0.0002539156062136886)	(39, 0.0002587064667082865)	(40, 0.0002634973272028844)	(41, 0.0002730790481920802)	(42, 0.0002778699086866781)	(43, 0.00029224249017047177)	(44, 0.00029703335066506967)	(45, 0.00029703335066506967)	(46, 0.00029703335066506967)	(47, 0.00030182421115966757)	(48, 0.00031619679264346126)	(49, 0.00032098765313805916)	(50, 0.00032577851363265706)	(51, 0.0003401510951164507)	(52, 0.0003497328161056465)	(53, 0.0003545236766002444)	(54, 0.0003593145370948423)	(55, 0.0003641053975894402)	(56, 0.000373687118578636)	(57, 0.000373687118578636)	(58, 0.000373687118578636)	(59, 0.0003784779790732339)	(60, 0.0003832688395678318)	(61, 0.00047429518896519187)	(62, 0.0004982494914381814)	(63, 0.0005796941198463456)	(64, 0.0016193108471740895)	(65, 0.3625531587891905)
NS21_paired_2 - polya	(1, 9.581720989195796e-06)	(2, 1.4372581483793693e-05)	(3, 1.916344197839159e-05)	(4, 2.3954302472989487e-05)	(5, 2.3954302472989487e-05)	(6, 2.3954302472989487e-05)	(7, 2.3954302472989487e-05)	(8, 2.8745162967587386e-05)	(9, 3.3536023462185284e-05)	(10, 5.749032593517477e-05)	(11, 6.228118642977267e-05)	(12, 6.707204692437057e-05)	(13, 7.186290741896847e-05)	(14, 7.665376791356637e-05)	(15, 7.665376791356637e-05)	(16, 7.665376791356637e-05)	(17, 8.144462840816427e-05)	(18, 8.623548890276215e-05)	(19, 0.00010060807038655585)	(20, 0.00010539893088115375)	(21, 0.00010539893088115375)	(22, 0.00011018979137575164)	(23, 0.00011018979137575164)	(24, 0.00011498065187034954)	(25, 0.00011977151236494744)	(26, 0.00012935323335414324)	(27, 0.00013414409384874114)	(28, 0.00013414409384874114)	(29, 0.00013893495434333904)	(30, 0.00014851667533253483)	(31, 0.0001676801173109264)	(32, 0.0001772618383001222)	(33, 0.000186843559289318)	(34, 0.000186843559289318)	(35, 0.0002012161407731117)	(36, 0.0002012161407731117)	(37, 0.0002060070012677096)	(38, 0.0002155887222569054)	(39, 0.0002155887222569054)	(40, 0.0002251704432461012)	(41, 0.00023475216423529698)	(42, 0.00023954302472989488)	(43, 0.0002443338852244928)	(44, 0.0002539156062136886)	(45, 0.0002634973272028844)	(46, 0.0002730790481920802)	(47, 0.0002778699086866781)	(48, 0.0002778699086866781)	(49, 0.00029224249017047177)	(50, 0.00031140593214886336)	(51, 0.00031140593214886336)	(52, 0.00031619679264346126)	(53, 0.0003688962580840381)	(54, 0.0003784779790732339)	(55, 0.0003928505605570276)	(56, 0.0003976414210516255)	(57, 0.135360972414369)	(58, 0.16507388920186516)	(59, 0.1652271967376923)	(60, 0.16523198759818689)	(61, 0.16524156931917608)	(62, 0.16526073276115447)	(63, 0.16527031448214366)	(64, 0.16528947792412207)	(65, 0.16530864136610046)
NS25_paired_1 - illumina_universal_adapter	(1, 0.00018739701723050704)	(2, 0.00020901974998787325)	(3, 0.00025586900429550003)	(4, 0.00030271825860312676)	(5, 0.0003351523577391761)	(6, 0.00038200161204680286)	(7, 0.00047930390945495074)	(8, 0.0005477758965199437)	(9, 0.0006414744051351973)	(10, 0.0006919274482357183)	(11, 0.0007459842801291339)	(12, 0.0008144562671941268)	(13, 0.0008973434094306972)	(14, 0.0009369850861525353)	(15, 0.0010054570732175281)	(16, 0.0010595139051109437)	(17, 0.0011279858921759366)	(18, 0.0012072692456196127)	(19, 0.0012793450214775)	(20, 0.0013334018533709155)	(21, 0.0013946662628501198)	(22, 0.0014523268835364297)	(23, 0.0015099875042227395)	(24, 0.0015856670688735213)	(25, 0.0016757617886958803)	(26, 0.0017658565085182396)	(27, 0.0018919891162695423)	(28, 0.002054159611949789)	(29, 0.0022884058834879224)	(30, 0.002547878676576317)	(31, 0.002951503021380486)	(32, 0.0035172978618649015)	(33, 0.004281301085958507)	(34, 0.005225493749696831)	(35, 0.0063354606979082965)	(36, 0.007805806525409197)	(37, 0.009578870611513225)	(38, 0.011510501404504606)	(39, 0.013831341387128578)	(40, 0.016826089874023797)	(41, 0.020069499787628727)	(42, 0.023727345412416508)	(43, 0.02806991090785422)	(44, 0.03287376136878241)	(45, 0.03847765294173315)	(46, 0.044463546126730695)	(47, 0.05137921682029498)	(48, 0.05919943850087576)	(49, 0.06797826800036644)	(50, 0.0773985719049923)	(51, 0.0877666722621494)	(52, 0.09943574037354136)	(53, 0.11231568151934582)	(54, 0.12554158638926816)	(55, 0.14030270528496347)	(56, 0.15641884876678708)	(57, 0.17373145012785163)	(58, 0.19298288985949333)	(59, 0.21324339045314544)	(60, 0.23484810426654718)	(61, 0.25852499663586315)	(62, 0.2838163863843958)	(63, 0.3094969853225611)	(64, 0.33812548349331395)	(65, 0.36569807154774875)
NS25_paired_2 - illumina_universal_adapter	(1, 0.00018379322843761268)	(2, 0.00020901974998787325)	(3, 0.00025226521550260567)	(4, 0.0003099258361889155)	(5, 0.00034956751291075354)	(6, 0.0004000205560112747)	(7, 0.0004937190646265282)	(8, 0.0005621910516915212)	(9, 0.0006450781939280916)	(10, 0.0007099463922001902)	(11, 0.0007531918577149226)	(12, 0.0008288714223657043)	(13, 0.000904550987016486)	(14, 0.000983834340460162)	(15, 0.0010450987499393662)	(16, 0.0010955517930398874)	(17, 0.0011532124137261972)	(18, 0.0012360995559627676)	(19, 0.0013225904869922326)	(20, 0.0013910624740572255)	(21, 0.0014595344611222185)	(22, 0.0015280064481872115)	(23, 0.0015748557024948381)	(24, 0.0016469314783527254)	(25, 0.0017334224093821901)	(26, 0.0018307247067903382)	(27, 0.0019460459481629578)	(28, 0.002115424021428993)	(29, 0.0023568778705529156)	(30, 0.0026307658188128875)	(31, 0.0030415977412028452)	(32, 0.003600185004101472)	(33, 0.004367792016987972)	(34, 0.005319192258312085)	(35, 0.006450781939280916)	(36, 0.007935542921953394)	(37, 0.009708607008057424)	(38, 0.011665464322599064)	(39, 0.01399711567160172)	(40, 0.01700988310246141)	(41, 0.020289330903995283)	(42, 0.023947176528783063)	(43, 0.02837623295525024)	(44, 0.03321972509290027)	(45, 0.038892088652916004)	(46, 0.04491762351463538)	(47, 0.05193059650560782)	(48, 0.059794063651703325)	(49, 0.06864857271584479)	(50, 0.07818419786184327)	(51, 0.0887216762922664)	(52, 0.10054210353295993)	(53, 0.11364547958392385)	(54, 0.12714887619089904)	(55, 0.1421442413581325)	(56, 0.158400932602879)	(57, 0.17583245899410904)	(58, 0.19528571089815283)	(59, 0.21593181689264465)	(60, 0.23785726790861397)	(61, 0.2618621050580833)	(62, 0.28764000629365677)	(63, 0.3137134182102475)	(64, 0.3426734649499466)	(65, 0.3710208675948537)
NS28_paired_1 - illumina_universal_adapter	(1, 0.0023826723848065197)	(2, 0.002386780440642393)	(3, 0.0023908884964782664)	(4, 0.002399104608150013)	(5, 0.0024073207198217596)	(6, 0.002411428775657633)	(7, 0.002427860999001126)	(8, 0.002440185166508746)	(9, 0.0024442932223446194)	(10, 0.002505914059882719)	(11, 0.002505914059882719)	(12, 0.0025100221157185925)	(13, 0.0025223462832262124)	(14, 0.002530562394897959)	(15, 0.0025346704507338324)	(16, 0.0025346704507338324)	(17, 0.0025387785065697057)	(18, 0.0025387785065697057)	(19, 0.002542886562405579)	(20, 0.002542886562405579)	(21, 0.0025511026740773256)	(22, 0.0025511026740773256)	(23, 0.0025634268415849456)	(24, 0.002579859064928439)	(25, 0.002596291288271932)	(26, 0.002633263790794792)	(27, 0.0026661282374817784)	(28, 0.0026825604608252712)	(29, 0.0027277490750198777)	(30, 0.0028181263034090906)	(31, 0.002994772704351643)	(32, 0.0031508788261148286)	(33, 0.003352173562072621)	(34, 0.003672601917270739)	(35, 0.004017678607484097)	(36, 0.004453132526086668)	(37, 0.0051186375714981445)	(38, 0.0058621956777912135)	(39, 0.006581105449069043)	(40, 0.0075711469055145105)	(41, 0.008581728641139345)	(42, 0.009797713168557844)	(43, 0.011334126051174462)	(44, 0.013047185334733633)	(45, 0.014813649344159156)	(46, 0.01705253977471011)	(47, 0.01948450882954711)	(48, 0.022220474016238733)	(49, 0.025289191725636095)	(50, 0.02873174251609793)	(51, 0.03242899276838391)	(52, 0.0370012589137109)	(53, 0.042050059535999204)	(54, 0.04748501740685959)	(55, 0.05357726421145971)	(56, 0.06035555634065067)	(57, 0.06739265598750165)	(58, 0.07514866540563046)	(59, 0.08402206601111681)	(60, 0.09330627220019048)	(61, 0.10406937849017857)	(62, 0.11575268928740226)	(63, 0.12836031264769746)	(64, 0.14202370635781209)	(65, 0.15636903733668167)
NS28_paired_1 - polya	(1, 1.643222334349324e-05)	(2, 1.643222334349324e-05)	(3, 2.054027917936655e-05)	(4, 2.875639085111317e-05)	(5, 2.875639085111317e-05)	(6, 3.286444668698648e-05)	(7, 3.286444668698648e-05)	(8, 4.10805583587331e-05)	(9, 4.929667003047972e-05)	(10, 5.340472586635303e-05)	(11, 5.340472586635303e-05)	(12, 6.162083753809965e-05)	(13, 6.162083753809965e-05)	(14, 6.572889337397296e-05)	(15, 6.983694920984628e-05)	(16, 7.394500504571958e-05)	(17, 7.805306088159289e-05)	(18, 7.805306088159289e-05)	(19, 7.805306088159289e-05)	(20, 7.805306088159289e-05)	(21, 7.805306088159289e-05)	(22, 8.21611167174662e-05)	(23, 8.21611167174662e-05)	(24, 8.21611167174662e-05)	(25, 8.62691725533395e-05)	(26, 9.859334006095944e-05)	(27, 0.00010270139589683275)	(28, 0.00011502556340445268)	(29, 0.000119133619240326)	(30, 0.0001232416750761993)	(31, 0.0001273497309120726)	(32, 0.00013145778674794592)	(33, 0.00014378195425556584)	(34, 0.00014378195425556584)	(35, 0.00015199806592731247)	(36, 0.00015610612176318578)	(37, 0.0001602141775990591)	(38, 0.0001643222334349324)	(39, 0.000172538345106679)	(40, 0.000172538345106679)	(41, 0.00017664640094255233)	(42, 0.00017664640094255233)	(43, 0.00018075445677842564)	(44, 0.00018897056845017227)	(45, 0.00019718668012191887)	(46, 0.0002012947359577922)	(47, 0.00020951084762953882)	(48, 0.00021361890346541213)	(49, 0.00022183501513715873)	(50, 0.00023005112680890536)	(51, 0.00023415918264477867)	(52, 0.000238267238480652)	(53, 0.0002505914059882719)	(54, 0.0002546994618241452)	(55, 0.0002546994618241452)	(56, 0.00025880751766001853)	(57, 0.0002711316851676385)	(58, 0.0002711316851676385)	(59, 0.0002752397410035118)	(60, 0.0002793477968393851)	(61, 0.00046421030945368403)	(62, 0.00047242642112543066)	(63, 0.000661396989575603)	(64, 0.0033193091153856345)	(65, 0.8080093943020855)
NS28_paired_2 - illumina_universal_adapter	(1, 0.0024196448873293796)	(2, 0.0024196448873293796)	(3, 0.002423752943165253)	(4, 0.002427860999001126)	(5, 0.002440185166508746)	(6, 0.0024484012781804928)	(7, 0.0024566173898522394)	(8, 0.002464833501523986)	(9, 0.0024976979482109725)	(10, 0.0025346704507338324)	(11, 0.0025511026740773256)	(12, 0.0025757510090925655)	(13, 0.002579859064928439)	(14, 0.002596291288271932)	(15, 0.0026003993441078054)	(16, 0.0026003993441078054)	(17, 0.0026045073999436787)	(18, 0.0026127235116154253)	(19, 0.0026250476791230453)	(20, 0.0026250476791230453)	(21, 0.002637371846630665)	(22, 0.002637371846630665)	(23, 0.0026538040699741585)	(24, 0.0026702362933176517)	(25, 0.0026866685166611446)	(26, 0.002703100740004638)	(27, 0.0027236410191840044)	(28, 0.0027400732425274976)	(29, 0.0027893699125579774)	(30, 0.0028674229734395704)	(31, 0.0030399613185462496)	(32, 0.003196067440309435)	(33, 0.0033973621762672275)	(34, 0.003726006643137092)	(35, 0.00407108333335045)	(36, 0.0045065372519530215)	(37, 0.005163826185692751)	(38, 0.005923816515329313)	(39, 0.006638618230771269)	(40, 0.00763276774305261)	(41, 0.008639241422841571)	(42, 0.009888090396947057)	(43, 0.011453259670414788)	(44, 0.013182751177317452)	(45, 0.014990295745101708)	(46, 0.017241510343160283)	(47, 0.019730992179699508)	(48, 0.022491605701406372)	(49, 0.025560323410803734)	(50, 0.0290439547596243)	(51, 0.032806933905284254)	(52, 0.037428496720641725)	(53, 0.04248962151043765)	(54, 0.047986200218836136)	(55, 0.05411952758179499)	(56, 0.060955332492688176)	(57, 0.06801297241871852)	(58, 0.07582238656271369)	(59, 0.08469989522403591)	(60, 0.09404983030648356)	(61, 0.10489098965735323)	(62, 0.11666467768296614)	(63, 0.12936267827165054)	(64, 0.1430055317025858)	(65, 0.15760145408744367)
NS28_paired_2 - polya	(1, 1.232416750761993e-05)	(2, 1.232416750761993e-05)	(3, 1.232416750761993e-05)	(4, 2.875639085111317e-05)	(5, 2.875639085111317e-05)	(6, 2.875639085111317e-05)	(7, 2.875639085111317e-05)	(8, 3.697250252285979e-05)	(9, 3.697250252285979e-05)	(10, 3.697250252285979e-05)	(11, 4.10805583587331e-05)	(12, 4.518861419460641e-05)	(13, 4.929667003047972e-05)	(14, 4.929667003047972e-05)	(15, 4.929667003047972e-05)	(16, 5.340472586635303e-05)	(17, 5.751278170222634e-05)	(18, 6.572889337397296e-05)	(19, 6.572889337397296e-05)	(20, 6.983694920984628e-05)	(21, 6.983694920984628e-05)	(22, 7.805306088159289e-05)	(23, 8.62691725533395e-05)	(24, 9.037722838921282e-05)	(25, 9.448528422508614e-05)	(26, 9.859334006095944e-05)	(27, 9.859334006095944e-05)	(28, 9.859334006095944e-05)	(29, 9.859334006095944e-05)	(30, 9.859334006095944e-05)	(31, 9.859334006095944e-05)	(32, 0.00010680945173270606)	(33, 0.00011091750756857937)	(34, 0.00011091750756857937)	(35, 0.000119133619240326)	(36, 0.0001232416750761993)	(37, 0.0001232416750761993)	(38, 0.00013145778674794592)	(39, 0.00013967389841969255)	(40, 0.00014378195425556584)	(41, 0.00014789001009143915)	(42, 0.0001602141775990591)	(43, 0.0001602141775990591)	(44, 0.00017664640094255233)	(45, 0.00017664640094255233)	(46, 0.00018075445677842564)	(47, 0.00018075445677842564)	(48, 0.00018897056845017227)	(49, 0.00019307862428604556)	(50, 0.00019718668012191887)	(51, 0.00021361890346541213)	(52, 0.00021361890346541213)	(53, 0.00030810418769049825)	(54, 0.00031221224352637157)	(55, 0.0003245364110339915)	(56, 0.0003286444668698648)	(57, 0.16202172216684335)	(58, 0.18282080886386992)	(59, 0.18291529414809501)	(60, 0.18291940220393088)	(61, 0.1829440505389461)	(62, 0.1829604827622896)	(63, 0.1829769149856331)	(64, 0.182981023041469)	(65, 0.18298923915314072)
