Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
NS67_paired_2	(50, 50055.0)	(51, 48830.0)	(52, 48369.0)	(53, 49490.0)	(54, 52555.0)	(55, 55538.0)	(56, 57075.0)	(57, 64689.0)	(58, 69625.0)	(59, 72870.0)	(60, 81072.0)	(61, 80414.0)	(62, 79436.0)	(63, 77874.0)	(64, 72448.0)	(65, 70388.0)	(66, 68281.0)	(67, 69246.0)	(68, 67895.0)	(69, 71175.0)	(70, 76998.0)	(71, 88262.0)	(72, 109318.0)	(73, 162757.0)	(74, 378303.0)	(75, 3257046.0)	(76, 23649072.0)
NS6_paired_1	(50, 27323.0)	(51, 26932.0)	(52, 27697.0)	(53, 28865.0)	(54, 27021.0)	(55, 26826.0)	(56, 28131.0)	(57, 28386.0)	(58, 29080.0)	(59, 31646.0)	(60, 31965.0)	(61, 32968.0)	(62, 33850.0)	(63, 34629.0)	(64, 35238.0)	(65, 36069.0)	(66, 36836.0)	(67, 37873.0)	(68, 40141.0)	(69, 43166.0)	(70, 45564.0)	(71, 54387.0)	(72, 78829.0)	(73, 118178.0)	(74, 240011.0)	(75, 2066487.0)	(76, 17895573.0)
NS6_paired_2	(50, 34380.0)	(51, 35042.0)	(52, 34657.0)	(53, 35125.0)	(54, 34645.0)	(55, 37465.0)	(56, 37465.0)	(57, 40541.0)	(58, 44978.0)	(59, 45917.0)	(60, 49367.0)	(61, 50592.0)	(62, 51400.0)	(63, 51571.0)	(64, 50926.0)	(65, 51198.0)	(66, 71773.0)	(67, 86647.0)	(68, 49648.0)	(69, 47490.0)	(70, 50920.0)	(71, 58529.0)	(72, 72005.0)	(73, 103133.0)	(74, 253352.0)	(75, 2366353.0)	(76, 17298552.0)
NS70_paired_1	(50, 12440.0)	(51, 12410.0)	(52, 12794.0)	(53, 13160.0)	(54, 15147.0)	(55, 15289.0)	(56, 14617.0)	(57, 14639.0)	(58, 15046.0)	(59, 16230.0)	(60, 16309.0)	(61, 16699.0)	(62, 18567.0)	(63, 19953.0)	(64, 18732.0)	(65, 19064.0)	(66, 20237.0)	(67, 22739.0)	(68, 26424.0)	(69, 28121.0)	(70, 30768.0)	(71, 32241.0)	(72, 41478.0)	(73, 59689.0)	(74, 165505.0)	(75, 1628563.0)	(76, 18613678.0)
NS70_paired_2	(50, 37067.0)	(51, 47430.0)	(52, 42388.0)	(53, 81324.0)	(54, 62897.0)	(55, 37440.0)	(56, 54246.0)	(57, 50346.0)	(58, 41660.0)	(59, 43343.0)	(60, 41943.0)	(61, 39248.0)	(62, 42553.0)	(63, 40741.0)	(64, 42279.0)	(65, 42256.0)	(66, 50347.0)	(67, 58533.0)	(68, 54657.0)	(69, 77751.0)	(70, 92211.0)	(71, 118166.0)	(72, 132143.0)	(73, 180912.0)	(74, 365330.0)	(75, 2691686.0)	(76, 16351642.0)
NS71_paired_1	(50, 11828.0)	(51, 11896.0)	(52, 12648.0)	(53, 13022.0)	(54, 14773.0)	(55, 15037.0)	(56, 14333.0)	(57, 14473.0)	(58, 14942.0)	(59, 15923.0)	(60, 16250.0)	(61, 17116.0)	(62, 19052.0)	(63, 20454.0)	(64, 19304.0)	(65, 19519.0)	(66, 20873.0)	(67, 23597.0)	(68, 28034.0)	(69, 30531.0)	(70, 33471.0)	(71, 34942.0)	(72, 47300.0)	(73, 71019.0)	(74, 187823.0)	(75, 1669525.0)	(76, 18015809.0)
NS71_paired_2	(50, 43019.0)	(51, 55608.0)	(52, 49028.0)	(53, 91399.0)	(54, 72804.0)	(55, 43388.0)	(56, 63243.0)	(57, 57837.0)	(58, 48055.0)	(59, 50075.0)	(60, 48614.0)	(61, 46527.0)	(62, 50335.0)	(63, 47803.0)	(64, 51179.0)	(65, 51933.0)	(66, 69141.0)	(67, 78533.0)	(68, 65369.0)	(69, 92364.0)	(70, 109624.0)	(71, 138471.0)	(72, 156837.0)	(73, 213594.0)	(74, 408745.0)	(75, 2695865.0)	(76, 15514104.0)
NS72_paired_1	(50, 13572.0)	(51, 12563.0)	(52, 12916.0)	(53, 16268.0)	(54, 15308.0)	(55, 14777.0)	(56, 13997.0)	(57, 13614.0)	(58, 14443.0)	(59, 17738.0)	(60, 16638.0)	(61, 16909.0)	(62, 18577.0)	(63, 19523.0)	(64, 17992.0)	(65, 18090.0)	(66, 19201.0)	(67, 22632.0)	(68, 30026.0)	(69, 31766.0)	(70, 38006.0)	(71, 45856.0)	(72, 103990.0)	(73, 122974.0)	(74, 181287.0)	(75, 1624257.0)	(76, 19277356.0)
NS72_paired_2	(50, 48328.0)	(51, 65744.0)	(52, 52305.0)	(53, 99258.0)	(54, 76368.0)	(55, 45618.0)	(56, 66202.0)	(57, 59670.0)	(58, 50535.0)	(59, 51950.0)	(60, 50576.0)	(61, 49314.0)	(62, 54155.0)	(63, 51640.0)	(64, 56251.0)	(65, 60868.0)	(66, 143160.0)	(67, 126355.0)	(68, 73364.0)	(69, 95487.0)	(70, 113253.0)	(71, 142137.0)	(72, 160233.0)	(73, 218530.0)	(74, 420768.0)	(75, 2802564.0)	(76, 16515643.0)
NS77_paired_1	(50, 8373.0)	(51, 8956.0)	(52, 9712.0)	(53, 11316.0)	(54, 11659.0)	(55, 13762.0)	(56, 13445.0)	(57, 13698.0)	(58, 14039.0)	(59, 14279.0)	(60, 16143.0)	(61, 16769.0)	(62, 16291.0)	(63, 19740.0)	(64, 19938.0)	(65, 20391.0)	(66, 22822.0)	(67, 23846.0)	(68, 25865.0)	(69, 29240.0)	(70, 35551.0)	(71, 44458.0)	(72, 68481.0)	(73, 120298.0)	(74, 290121.0)	(75, 3028979.0)	(76, 13849363.0)
NS77_paired_2	(50, 36676.0)	(51, 36643.0)	(52, 39032.0)	(53, 40384.0)	(54, 40789.0)	(55, 48028.0)	(56, 46213.0)	(57, 48700.0)	(58, 56718.0)	(59, 50604.0)	(60, 57097.0)	(61, 66222.0)	(62, 67742.0)	(63, 79725.0)	(64, 82478.0)	(65, 91165.0)	(66, 91965.0)	(67, 98421.0)	(68, 108504.0)	(69, 113918.0)	(70, 126667.0)	(71, 158401.0)	(72, 204140.0)	(73, 299237.0)	(74, 566772.0)	(75, 3308749.0)	(76, 11802545.0)
NS78_paired_1	(50, 13426.0)	(51, 16396.0)	(52, 19395.0)	(53, 38509.0)	(54, 30817.0)	(55, 52755.0)	(56, 46349.0)	(57, 37500.0)	(58, 39877.0)	(59, 29488.0)	(60, 44099.0)	(61, 49855.0)	(62, 34828.0)	(63, 42308.0)	(64, 55322.0)	(65, 45584.0)	(66, 47022.0)	(67, 52325.0)	(68, 62647.0)	(69, 67884.0)	(70, 85872.0)	(71, 106050.0)	(72, 167874.0)	(73, 240519.0)	(74, 514983.0)	(75, 3309481.0)	(76, 9322247.0)
NS78_paired_2	(50, 62427.0)	(51, 59570.0)	(52, 67527.0)	(53, 60623.0)	(54, 63894.0)	(55, 99761.0)	(56, 78981.0)	(57, 89307.0)	(58, 115942.0)	(59, 76446.0)	(60, 123373.0)	(61, 156138.0)	(62, 116810.0)	(63, 176684.0)	(64, 121219.0)	(65, 145829.0)	(66, 106267.0)	(67, 112778.0)	(68, 132107.0)	(69, 128276.0)	(70, 140750.0)	(71, 154466.0)	(72, 178591.0)	(73, 246122.0)	(74, 477322.0)	(75, 2656651.0)	(76, 8625551.0)
NS79_paired_1	(50, 9403.0)	(51, 9503.0)	(52, 9968.0)	(53, 10045.0)	(54, 11824.0)	(55, 12177.0)	(56, 11338.0)	(57, 11413.0)	(58, 11681.0)	(59, 12760.0)	(60, 12887.0)	(61, 13540.0)	(62, 15013.0)	(63, 16040.0)	(64, 15240.0)	(65, 14983.0)	(66, 16386.0)	(67, 18198.0)	(68, 21818.0)	(69, 23601.0)	(70, 26392.0)	(71, 27335.0)	(72, 35811.0)	(73, 52898.0)	(74, 147791.0)	(75, 1363378.0)	(76, 15065440.0)
NS79_paired_2	(50, 36562.0)	(51, 47082.0)	(52, 41049.0)	(53, 75768.0)	(54, 60083.0)	(55, 35579.0)	(56, 51656.0)	(57, 47215.0)	(58, 39790.0)	(59, 41383.0)	(60, 39704.0)	(61, 37756.0)	(62, 41255.0)	(63, 39657.0)	(64, 42225.0)	(65, 43032.0)	(66, 68629.0)	(67, 80635.0)	(68, 55047.0)	(69, 74808.0)	(70, 88620.0)	(71, 111549.0)	(72, 125490.0)	(73, 170498.0)	(74, 332630.0)	(75, 2243779.0)	(76, 12925382.0)
NS7_paired_1	(50, 25465.0)	(51, 24853.0)	(52, 25483.0)	(53, 27296.0)	(54, 25314.0)	(55, 25509.0)	(56, 26322.0)	(57, 26683.0)	(58, 27793.0)	(59, 30082.0)	(60, 30234.0)	(61, 31803.0)	(62, 32880.0)	(63, 33528.0)	(64, 34075.0)	(65, 35056.0)	(66, 35905.0)	(67, 37131.0)	(68, 39099.0)	(69, 43045.0)	(70, 46324.0)	(71, 56023.0)	(72, 76885.0)	(73, 110940.0)	(74, 258348.0)	(75, 2204883.0)	(76, 18710055.0)
NS7_paired_2	(50, 35468.0)	(51, 36016.0)	(52, 36525.0)	(53, 36204.0)	(54, 36337.0)	(55, 38844.0)	(56, 39158.0)	(57, 42084.0)	(58, 46302.0)	(59, 48028.0)	(60, 51441.0)	(61, 52645.0)	(62, 53643.0)	(63, 53877.0)	(64, 53762.0)	(65, 54267.0)	(66, 73031.0)	(67, 76507.0)	(68, 52515.0)	(69, 51281.0)	(70, 55743.0)	(71, 65113.0)	(72, 83168.0)	(73, 120532.0)	(74, 286747.0)	(75, 2536048.0)	(76, 17965728.0)
NS81_paired_1	(50, 51622.0)	(51, 54996.0)	(52, 58048.0)	(53, 70337.0)	(54, 69475.0)	(55, 78492.0)	(56, 80088.0)	(57, 85081.0)	(58, 87234.0)	(59, 97575.0)	(60, 100111.0)	(61, 110294.0)	(62, 110602.0)	(63, 113118.0)	(64, 131497.0)	(65, 128789.0)	(66, 130620.0)	(67, 136017.0)	(68, 145872.0)	(69, 157290.0)	(70, 183416.0)	(71, 199277.0)	(72, 252525.0)	(73, 358298.0)	(74, 623772.0)	(75, 3986358.0)	(76, 8744491.0)
NS81_paired_2	(50, 81179.0)	(51, 87218.0)	(52, 92058.0)	(53, 96356.0)	(54, 102705.0)	(55, 115148.0)	(56, 111162.0)	(57, 114813.0)	(58, 121894.0)	(59, 132195.0)	(60, 137183.0)	(61, 149235.0)	(62, 152252.0)	(63, 163224.0)	(64, 157869.0)	(65, 163473.0)	(66, 159439.0)	(67, 178995.0)	(68, 177692.0)	(69, 198947.0)	(70, 214200.0)	(71, 232875.0)	(72, 255717.0)	(73, 338779.0)	(74, 634681.0)	(75, 3455683.0)	(76, 8520323.0)
NS83_paired_1	(50, 10241.0)	(51, 10072.0)	(52, 10496.0)	(53, 11515.0)	(54, 12479.0)	(55, 12556.0)	(56, 11991.0)	(57, 12123.0)	(58, 12415.0)	(59, 13851.0)	(60, 13635.0)	(61, 14190.0)	(62, 15663.0)	(63, 16983.0)	(64, 16158.0)	(65, 16058.0)	(66, 16931.0)	(67, 19406.0)	(68, 23304.0)	(69, 25010.0)	(70, 27479.0)	(71, 29166.0)	(72, 42602.0)	(73, 62905.0)	(74, 148843.0)	(75, 1427712.0)	(76, 16782616.0)
NS83_paired_2	(50, 38457.0)	(51, 50121.0)	(52, 43553.0)	(53, 82174.0)	(54, 64754.0)	(55, 38381.0)	(56, 56034.0)	(57, 51014.0)	(58, 43148.0)	(59, 44862.0)	(60, 43368.0)	(61, 41288.0)	(62, 44326.0)	(63, 42646.0)	(64, 45289.0)	(65, 45249.0)	(66, 61615.0)	(67, 62379.0)	(68, 57577.0)	(69, 81294.0)	(70, 96607.0)	(71, 122667.0)	(72, 139147.0)	(73, 190803.0)	(74, 367409.0)	(75, 2491635.0)	(76, 14370603.0)
NS86_paired_1	(50, 9498.0)	(51, 10259.0)	(52, 12093.0)	(53, 20881.0)	(54, 18032.0)	(55, 29992.0)	(56, 24525.0)	(57, 24485.0)	(58, 24297.0)	(59, 18267.0)	(60, 25076.0)	(61, 27189.0)	(62, 16206.0)	(63, 18148.0)	(64, 21756.0)	(65, 15807.0)	(66, 15919.0)	(67, 17664.0)	(68, 20100.0)	(69, 22135.0)	(70, 30199.0)	(71, 38380.0)	(72, 73335.0)	(73, 160159.0)	(74, 324488.0)	(75, 2256986.0)	(76, 14570630.0)
NS86_paired_2	(50, 31934.0)	(51, 29933.0)	(52, 40387.0)	(53, 34852.0)	(54, 39710.0)	(55, 90688.0)	(56, 54133.0)	(57, 61992.0)	(58, 168253.0)	(59, 45242.0)	(60, 91369.0)	(61, 158431.0)	(62, 89221.0)	(63, 163119.0)	(64, 76183.0)	(65, 111111.0)	(66, 57769.0)	(67, 58062.0)	(68, 74950.0)	(69, 64282.0)	(70, 78046.0)	(71, 98070.0)	(72, 129624.0)	(73, 201350.0)	(74, 371596.0)	(75, 2763287.0)	(76, 12662912.0)
NS9_paired_1	(50, 25480.0)	(51, 23477.0)	(52, 24677.0)	(53, 30656.0)	(54, 24119.0)	(55, 23918.0)	(56, 24755.0)	(57, 24628.0)	(58, 25456.0)	(59, 29440.0)	(60, 28679.0)	(61, 30466.0)	(62, 30661.0)	(63, 32144.0)	(64, 31730.0)	(65, 33195.0)	(66, 35277.0)	(67, 36919.0)	(68, 42586.0)	(69, 46793.0)	(70, 54510.0)	(71, 76313.0)	(72, 143951.0)	(73, 292323.0)	(74, 287514.0)	(75, 1760287.0)	(76, 15410939.0)
NS9_paired_2	(50, 43208.0)	(51, 41675.0)	(52, 40823.0)	(53, 41025.0)	(54, 40265.0)	(55, 39959.0)	(56, 41035.0)	(57, 43869.0)	(58, 47548.0)	(59, 48409.0)	(60, 52618.0)	(61, 53981.0)	(62, 58692.0)	(63, 59562.0)	(64, 62186.0)	(65, 72785.0)	(66, 176361.0)	(67, 402922.0)	(68, 88292.0)	(69, 56934.0)	(70, 57757.0)	(71, 63924.0)	(72, 77686.0)	(73, 108445.0)	(74, 253971.0)	(75, 2115584.0)	(76, 14441377.0)
